年份,综合零售营业面积,食品、饮料及烟草制品专门零售营业面积,纺织、服装及日用品专门零售营业面积,文化、体育用品及器材专门零售营业面积,医药及医疗器材专门零售营业面积,汽车、摩托车、燃料及零配件专门零售营业面积,家用电器及电子产品专门零售营业面积,五金、家具及室内装修材料专门零售营业面积,无店铺及其他零售营业面积
2019,9145.3362,129.0562,427.7082,184.1878,946.0354,3438.3252,861.4103,55.1468,12.6284
2018,8715.5295,144.2525,399.2091,174.7671,903.9567,2979.9488,1424.1052,51.2949,12.7877
2017,8965.0614,126.3245,297.6264,128.6261,937.4974,2483.9748,1291.2462,46.9889,12.3219
2016,8772.5524,109.3006,253.2697,123.4253,680.1111,2001.5175,1499.428,40.257,5.8376
2015,7774.2392,82.3419,282.6318,116.0769,566.3489,2075.897,1479.4753,35.1862,5.4388
2014,7364.2143,71.5317,254.6266,107.9747,527.1271,2091.164,1509.3985,49.4706,2.1371
2013,7178.616,71.1474,223.6516,98.8976,490.6441,1961.0083,1496.9202,46.7511,2.8786
2012,6592.9987,58.6686,147.6895,104.2059,436.6151,1849.1686,1491.9215,35.4994,2.0403
2011,6080.0718,51.0592,152.3273,105.7879,397.6935,1692.3154,1529.507,68.9834,6.0549
2010,5969.5,49.2,127.8,162.9,348.7,2751.8,759.9,69.3,7.1
2009,5670.7417,78.8536,92.5836,148.0621,335.8166,2211.6075,667.7518,93.6416,38.1689
2008,4568.4637,49.5643,102.3833,86.0372,344.6122,720.6587,962.6095,116.9644,2.1984
2007,3915.3362,44.9391,85.712,82.8308,287.5537,700.7464,636.4518,83.9262,1.4848
2006,3551.8981,46.9115,70.5794,79.4874,216.802,921.9521,605.3613,85.8793,0.578
2005,3053.1328,38.1966,56.5443,98.0584,188.1808,1869.6346,451.2786,82.7539,5.4962
2004,,,,,,,,,
2003,,,,,,,,,
2002,,,,,,,,,
2001,,,,,,,,,
2000,,,,,,,,,
