年份,连锁零售企业门店总数,内资连锁零售企业门店总数,国有连锁零售企业门店总数,集体连锁零售企业门店总数,股份合作连锁零售企业门店总数,联营连锁零售企业门店总数,国有联营连锁零售企业门店总数,集体联营连锁零售企业门店总数,国有与集体联营连锁零售企业门店总数,其他联营连锁零售企业门店总数,有限责任公司连锁零售企业门店总数,国有独资公司连锁零售企业门店总数,其他有限责任公司连锁零售企业门店总数,股份有限公司连锁零售企业门店总数,私营连锁零售企业门店总数,私营独资连锁零售企业门店总数,私营合伙连锁零售企业门店总数,私营有限责任公司连锁零售企业门店总数,私营股份有限公司连锁零售企业门店总数,其他连锁零售企业门店总数,港澳台商投资连锁零售企业门店总数,港澳台商合资经营连锁零售企业门店总数,港澳台商合作经营连锁零售企业门店总数,港澳台商独资经营连锁零售企业门店总数,港澳台商投资股份有限公司连锁零售企业门店总数,其他港澳台商投资连锁零售企业门店总数,外商投资连锁零售企业门店总数,中外合资经营连锁零售企业门店总数,中外合作经营连锁零售企业门店总数,外资连锁零售企业门店总数,外商投资股份有限公司连锁零售企业门店总数,其他外商投资连锁零售企业门店总数
2019,252656,221533,9934,311,348,304,255,,5,44,90946,1181,89765,46510,71424,1088,401,62927,7008,1756,14058,4170,274,9228,222,164,17065,7570,585,6312,1855,743
2018,249711,224100,12444,340,348,255,209,,5,41,88420,1928,86492,52306,67975,890,457,58936,7692,2012,13329,3803,244,8153,280,849,12282,5029,544,5983,613,113
2017,236103,214398,13348,739,389,238,188,,5,45,82983,2205,80778,50436,63696,808,496,53261,9131,2569,11279,4257,239,5971,278,534,10426,4893,434,4908,187,4
2016,232444,213025,14772,791,390,242,191,,5,46,76814,2607,74207,60584,56905,1027,652,46328,8898,2527,9477,3482,229,5072,218,476,9942,4956,1075,3721,190,
2015,209812,191052,15426,1205,310,205,154,,5,46,67240,1188,66052,52204,52055,1535,304,43392,6824,2407,8980,3313,224,4721,330,392,9780,4757,1204,3644,172,3
2014,206415,186649,15600,1275,358,220,173,,5,42,66801,1184,65617,52488,47609,1757,301,39071,6480,2298,7677,2864,216,3985,324,288,12089,4608,1327,6141,10,3
2013,204090,184844,16330,2609,341,250,204,,5,41,65664,1155,64509,50040,47289,1794,302,39123,6070,2321,7773,2922,201,3955,453,242,11473,4470,1490,5500,9,4
2012,192870,174933,17433,2476,391,376,330,,5,41,58278,1144,57134,50420,43325,1858,291,37961,3215,2234,6673,2504,191,3445,211,322,11264,4556,1419,5271,18,
2011,195779,169699,16508,2941,570,372,348,,5,19,59202,600,58602,48461,40610,1863,309,34498,3940,1035,5624,2639,286,2426,,273,20456,4503,2013,13918,22,
2010,176792,158196,15497,3099,1317,605,392,,5,208,55696,194,55502,45632,35687,2257,229,28307,4894,663,4379,2663,273,1409,34,,14217,4175,1206,8740,96,
2009,175677,158920,20988,2952,934,564,365,,4,195,55888,233,55655,44710,32518,2095,230,26422,3771,366,3132,1973,243,893,23,,13625,4317,1711,7579,18,
2008,168502,153789,20012,1881,746,489,205,83.0,5,196,59591,358,59233,41214,29481,1583,243,24871,2784,375,2446,1395,218,826,7,,12267,4133,749,7372,13,
2007,145366,138114,19382,1746,718,468,214,76.0,5,173,50879,353,50526,38989,25651,1424,221,21811,2195,281,2059,1339,68,645,7,,11521,3776,770,6973,2,
2006,128924,115832,10719,2121,1029,529,313,5.0,211,5,43288,1795,41493,38631,18762,1332,534,16210,686,753,2803,1263,1278,247,15,,10289,8763,1052,452,22,
2005,105684,98599,13525,1473,1163,392,161,7.0,216,8,33196,1622,31574,36177,12486,716,195,10962,613,187,3304,2944,25,169,166,,3781,2449,1094,238,,
2004,77631,51110,6999,1023,909,287,115,0.0,163,9,19834,508,18021,14344,7628,864,25,6023,525,86,1396,1138,151,97,1,,2385,1743,573,69,,
2003,46517,43256,6571,846,750,269,108,0.0,155,6,16933,277,15360,10783,7047,857,24,5406,516,57,1237,1027,126,79,1,,2024,1491,484,49,,
2002,30746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
