年份,连锁零售企业年末从业人数,内资连锁零售企业年末从业人数,国有连锁零售企业年末从业人数,集体连锁零售企业年末从业人数,股份合作连锁零售企业年末从业人数,联营连锁零售企业年末从业人数,国有联营连锁零售企业年末从业人数,集体联营连锁零售企业年末从业人数,国有与集体联营连锁零售企业年末从业人数,其他联营连锁零售企业年末从业人数,有限责任公司连锁零售企业年末从业人数,国有独资公司连锁零售企业年末从业人数,其他有限责任公司连锁零售企业年末从业人数,股份有限公司连锁零售企业年末从业人数,私营连锁零售企业年末从业人数,私营独资连锁零售企业年末从业人数,私营合伙连锁零售企业年末从业人数,私营有限责任公司连锁零售企业年末从业人数,私营股份有限公司连锁零售企业年末从业人数,其他连锁零售企业年末从业人数,港澳台商投资连锁零售企业年末从业人数,港澳台商合资经营连锁零售企业年末从业人数,港澳台商合作经营连锁零售企业年末从业人数,港澳台商独资经营连锁零售企业年末从业人数,港澳台商投资股份有限公司连锁零售企业年末从业人数,其他港澳台商投资连锁零售企业年末从业人数,外商投资连锁零售企业年末从业人数,中外合资经营连锁零售企业年末从业人数,中外合作经营连锁零售企业年末从业人数,外资连锁零售企业年末从业人数,外商投资股份有限公司连锁零售企业年末从业人数,其他外商投资连锁零售企业年末从业人数
2019,226.607,169.3848,8.7745,0.6336,0.3891,0.1166,0.0781,,0.0013,0.0372,68.6083,0.8135,67.7948,51.1128,38.9629,0.4069,0.0782,35.1206,3.3572,0.787,20.9483,2.8158,6.3403,11.4515,0.296,0.0447,36.2739,12.4016,1.2831,14.541,7.6217,0.4265
2018,238.9945,184.8283,9.5909,0.6356,0.3975,0.1303,0.0902,,0.0026,0.0375,69.5507,1.4224,68.1283,63.189,40.4547,0.4435,0.0917,34.6006,5.3189,0.8796,26.6201,3.0991,5.8834,12.4198,0.1728,5.045,27.5461,11.4942,1.3769,14.0863,0.523,0.0657
2017,234.9171,185.2219,11.0215,0.8955,0.4343,0.1158,0.0739,,0.0035,0.0384,66.839,1.8954,64.9436,64.7279,39.6205,0.4072,0.1163,33.2997,5.7973,1.5674,24.8748,3.7004,6.3255,10.0086,0.2435,4.5968,24.8204,12.1661,1.3811,10.8906,0.3663,0.0163
2016,244.992,193.7662,11.5099,0.9315,0.4713,0.1178,0.0751,,0.0026,0.0401,64.4346,1.983,62.4516,76.2456,38.4995,0.4835,0.3047,31.0898,6.6215,1.556,24.5025,3.8013,5.8742,10.3959,0.2163,4.2148,26.7233,13.6436,2.1032,10.6119,0.3646,
2015,248.0779,195.5476,12.3826,1.0523,0.4559,0.1207,0.0767,,0.003,0.041,63.5919,0.6086,62.9833,78.6072,37.7283,0.6854,0.342,30.4472,6.2537,1.6087,24.1248,3.7363,6.0466,10.2258,0.2017,3.9144,28.4055,15.7269,2.3032,10.079,0.2937,
2014,250.1671,199.3246,12.2751,1.1173,0.5149,0.2236,0.1826,,0.0029,0.0381,65.1267,0.6715,64.4552,82.0391,36.4961,0.7119,0.3554,29.3635,6.0653,1.5318,22.5813,3.4549,5.3198,9.8173,0.2365,3.7528,28.2612,16.9936,2.3644,8.8728,0.0289,0.0015
2013,255.9442,205.4961,14.819,1.4684,0.4028,0.2499,0.2026,,0.0043,0.043,66.976,0.7039,66.2721,82.2024,37.7699,0.8037,0.3597,31.0055,5.601,1.6077,21.6019,3.9988,4.8548,9.4636,0.4432,2.8415,28.8462,18.1881,2.4845,8.1461,0.024,0.0035
2012,256.3484,207.0679,15.8153,1.0628,0.4856,0.2893,0.2359,,,,68.9794,0.5473,68.4321,84.2543,34.3026,0.8664,0.3691,29.9605,3.1066,1.8786,21.5621,3.6644,4.5554,9.1691,0.2509,3.9223,27.7184,17.6396,2.4086,7.6338,,
2011,249.0554,198.2213,14.2769,0.9824,0.4536,0.2272,0.201,,,,62.1432,0.3851,61.7581,85.7309,33.1059,0.6357,0.4245,28.0487,3.997,1.3012,20.0383,3.1917,5.1025,8.051,,3.6931,30.7958,18.1686,3.0654,9.4999,0.0619,
2010,225.1633,179.6925,15.1349,2.4515,1.1044,0.2951,0.2594,,,,57.7788,0.428,57.3508,70.9069,31.2027,1.2019,0.4388,25.8028,3.7592,0.8182,18.0347,3.3914,7.0135,7.5873,,,27.4361,16.3963,2.0676,8.7539,0.2183,
2009,210.8839,166.2756,11.467,2.4979,0.9681,0.5315,0.2327,,,0.2936,53.2368,0.4189,52.8179,67.0191,30.1902,1.6174,0.5261,25.0545,2.9922,0.365,14.8565,3.5549,5.8261,5.429,,,29.7518,15.9271,5.5333,8.1735,0.1179,
2008,197.0776,161.4948,13.7382,1.5721,0.8115,0.2483,0.13,0.042,0.0053,0.071,58.7709,1.1682,57.6027,57.3245,28.6365,1.0539,0.5142,24.9907,2.0777,0.3928,8.9854,4.0339,0.2782,4.6348,0.0385,,26.5974,16.8207,3.1323,6.5337,0.1107,
2007,186.1901,143.6477,13.3737,1.313,0.6879,0.2855,0.1713,0.0396,0.0065,0.0681,50.2289,1.1426,49.0863,53.0127,24.3906,0.9998,0.4668,21.4445,1.4795,0.3554,7.5848,3.5676,0.3223,3.6319,0.063,,23.4665,15.1285,3.0099,5.2984,0.0297,
2006,187.1,158.7883,10.3144,1.117,1.0498,1.9053,0.2095,,1.6863,,45.6268,3.1138,42.513,74.5172,23.6404,1.5784,0.6212,20.2564,1.1844,0.6174,5.9929,3.8778,0.6587,1.4461,0.6825,,22.2801,13.7796,4.9567,3.5229,,
2005,160.1,130.9951,14.8477,0.9232,2.0602,1.9445,0.1281,,1.7474,0.062,41.2099,1.1586,40.0513,48.6915,21.1333,1.0313,0.4195,18.5539,1.1286,0.1848,12.2927,10.5414,0.1222,1.0531,0.576,,16.82,9.679,6.1577,0.9833,,
2004,128.2,89.2342,8.1315,1.5767,1.0893,1.269,0.0848,0.0,1.1122,0.072,32.3054,1.0257,30.2602,29.1243,15.6182,1.2497,0.093,12.879,0.9941,0.1198,6.415,5.461,0.712,0.0943,,,9.8342,6.0878,3.535,0.2114,,
2003,92.406,78.2733,8.1142,1.429,0.9603,1.167,0.0808,0.0,1.0162,0.07,27.9629,0.9573,25.8323,24.2879,14.2576,1.1653,0.081,11.8269,0.8472,0.0944,5.5997,4.7679,0.6405,0.0992,,,8.4238,5.2761,2.9711,0.1766,,
2002,63.3183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
