年份,便利店零售营业面积,折扣店零售营业面积,超市零售营业面积,大型超市零售营业面积,仓储会员店零售营业面积,百货店零售营业面积,专业店零售营业面积,加油站零售营业面积,专卖店零售营业面积,家居建材商店零售营业面积,厂家直销中心零售营业面积,其他业态连锁零售企业零售营业面积
2019,259.9195,28.2762,2091.4097,3793.0862,62.6191,2653.8745,8677.8866,6279.5047,672.7287,17.3065,14.8174,112.9767
2018,273.8325,7.974,2061.1499,3562.3773,71.4083,2508.6363,8439.1391,5453.0397,629.8932,19.1754,16.9561,334.1367
2017,190.7888,19.3592,2112.8919,3539.8107,68.1161,2842.9495,7774.9891,4841.9437,498.5815,21.0034,16.3857,244.7431
2016,162.2461,18.3101,1918.0385,3762.1657,68.181,2737.8799,8547.7601,5680.2699,459.2806,21.1629,15.6454,249.4218
2015,149.6187,18.8862,1918.6624,3369.384,69.732,2104.3835,8480.6186,5751.3695,467.8795,32.7121,2.7997,247.7237
2014,144.803,17.7007,1890.816,3109.153,66.3795,1984.8085,8260.7567,5490.3967,444.0702,44.5003,3.271,255.0251
2013,131.3541,17.7325,1853.2925,3106.5188,64.8142,1860.907,6848.198,4079.5733,477.8,44.9827,3.0523,1231.7252
2012,111.1722,18.5354,1771.2543,2744.8581,90.4401,1696.7286,6480.3842,3666.2551,471.2117,32.4119,0.5776,1348.2807
2011,109.665,26.8552,2190.8917,1760.6241,234.1744,1722.2969,7142.531,4737.8976,366.7129,60.7638,0.1581,55.9865
2010,107.2,21.4,1924.5,1843.7,54.4,1480.6,6755.3,4741.6,450.2,62.5,4.0,52.9
2009,144.2707,24.3244,1924.8523,1844.7677,54.841,1338.3742,6075.3451,4295.232,247.1493,79.2936,3.2427,72.7411
2008,184.1747,22.4518,1959.4052,1324.9279,43.982,1110.4026,5111.2057,3412.7403,319.593,94.8882,6.5473,20.251
2007,126.5821,18.4114,1735.4134,1124.497,39.6372,940.1701,4565.4326,3278.0998,220.6644,67.7785,5.1633,48.382
2006,143.7804,,2450.0729,,13.2114,937.8958,4969.125,3040.1697,132.871,96.1564,,
2005,123.3201,,2046.8624,,9.9255,868.8532,5435.5825,4376.2629,71.3988,131.5419,,
2004,,,1594.3112,,,611.057,1187.4235,,39.3422,,,1.6579
2003,,,1331.4138,,,455.9992,887.871,,32.03,,,3.8457
2002,,,930.4755,,,334.6435,352.5512,,34.1714,,,37.6478
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
