年份,人民法院审理刑事一审案件收案数,人民法院审理危害公共安全罪刑事一审案件收案数,人民法院审理破坏社会主义市场经济秩序罪刑事一审案件收案数,人民法院审理侵犯公民人身权利民主权利罪刑事一审案件收案数,人民法院审理侵犯财产罪刑事一审案件收案数,人民法院审理妨害社会管理秩序罪刑事一审案件收案数,人民法院审理危害国防利益罪刑事一审案件收案数,人民法院审理贪污贿赂罪刑事一审案件收案数,人民法院审理渎职罪刑事一审案件收案数,人民法院审理其他刑事一审案件收案数,人民法院审理刑事一审案件中自诉案件收案数
2019,1293911,417017,69743,166237,315482,309166,482,13408,2059,317,10221
2018,1203055,340629,81381,168019,310216,283126,802,16201,2424,257,13225
2017,1294377,346856,59461,172203,329175,355179,341,25443,5278,441,14724
2016,1101191,271877,58946,167304,319007,254357,293,24011,5131,265,17360
2015,1126748,247795,61639,183526,318680,279822,222,28846,5779,439,9952
2014,1040457,219894,57776,187631,311652,228684,257,27543,5927,1093,7166
2013,971567,193275,51987,186280,306014,201688,247,25416,5703,957,8240
2012,996611,175439,64963,195816,342667,183841,213,26680,5596,1396,9905
2011,845714,119659,34577,188147,302157,171840,180,23232,4611,1311,10716
2010,779595,88950,30386,184233,293561,153201,207,23889,4489,679,12540
2009,768507,86987,25240,180677,314219,134380,196,22233,4003,572,14613
2008,767842,90396,21833,176416,330525,121901,181,22214,3793,583,16546
2007,724112,84795,19228,172101,317339,106412,220,20563,3148,306,19321
2006,702445,79583,16792,175705,310666,95330,192,20952,2881,344,23914
2005,684897,75099,15229,177701,304641,87501,216,21558,2664,288,29396
2004,647541,68795,13920,175494,285242,79073,151,21973,2560,333,34142
2003,632605,57369,14591,182642,278629,76072,151,20765,2082,304,39464
2002,631348,53433,15252,186463,277796,77196,134,19192,1541,341,42863
2001,628996,51572,15204,193579,265586,78933,158,21800,1839,325,53591
2000,560432,,,,,,,,,,
