年份,人民法院审理刑事一审案件结案数,人民法院审理危害公共安全罪刑事一审案件结案数,人民法院审理破坏社会主义市场经济秩序罪刑事一审案件结案数,人民法院审理侵犯公民人身权利民主权利罪刑事一审案件结案数,人民法院审理侵犯财产罪刑事一审案件结案数,人民法院审理妨害社会管理秩序罪刑事一审案件结案数,人民法院审理危害国防利益罪刑事一审案件结案数,人民法院审理贪污贿赂罪刑事一审案件结案数,人民法院审理渎职罪刑事一审案件结案数,人民法院审理其他刑事一审案件结案数,人民法院审理刑事一审案件中自诉案件结案数
2019,1297191,419710,67535,167820,314302,310502,457,14342,2240,283,10617
2018,1198383,341709,79823,167055,308620,278773,769,18047,3369,218,13287
2017,1296650,344409,59748,174573,331522,354583,348,25757,5262,448,15102
2016,1115873,272974,58320,169191,321810,255607,281,32063,5342,285,17171
2015,1099205,245407,58274,182455,312749,274994,230,19493,5187,416,9290
2014,1023017,217826,55858,185295,307688,223954,243,25583,5496,1074,7102
2013,953976,190435,50410,182199,303324,197353,236,23941,5185,893,8224
2012,986392,174510,62709,194269,339849,182128,217,25886,5439,1385,10071
2011,839973,118403,34103,187256,300423,170903,177,22868,4526,1314,10995
2010,779641,89028,30150,184729,294233,152873,207,23441,4310,670,12950
2009,766746,86814,25020,180293,314173,133639,197,21942,3970,698,15004
2008,768130,90590,21674,177105,330811,121405,182,22111,3786,466,17103
2007,720666,84519,19100,171816,315762,105701,227,20213,3022,306,19872
2006,701379,79072,16679,176253,310219,94925,188,20822,2911,310,24428
2005,683997,74987,15082,178046,303869,87221,216,21645,2632,299,29996
2004,644248,68342,13957,174137,284471,78670,151,21588,2596,336,34236
2003,634953,57505,14775,184018,278969,76217,155,20933,2053,328,40250
2002,628549,53057,15129,185275,277206,76925,128,19019,1558,252,42726
2001,623792,51079,14953,192285,263464,78081,155,21681,1789,305,52906
2000,560111,39988,16940,187416,231397,61236,116,21249,1445,324,58318
