年份,零售业企业主营业务利润,内资零售业企业主营业务利润,国有零售业企业主营业务利润,集体零售业企业主营业务利润,股份合作零售业企业主营业务利润,联营零售业企业主营业务利润,国有联营零售业企业主营业务利润,集体联营零售业企业主营业务利润,国有与集体联营零售业企业主营业务利润,其他联营零售业企业主营业务利润,有限责任公司零售业企业主营业务利润,国有独资公司零售业企业主营业务利润,其他有限责任公司零售业企业主营业务利润,股份有限公司零售业企业主营业务利润,私营零售业企业主营业务利润,私营独资零售业企业主营业务利润,私营合伙零售业企业主营业务利润,私营有限责任公司零售业企业主营业务利润,私营股份有限公司零售业企业主营业务利润,其他零售业企业主营业务利润,港澳台商投资零售业企业主营业务利润,港澳台商合资经营零售业企业主营业务利润,港澳台商合作经营零售业企业主营业务利润,港澳台商独资经营零售业企业主营业务利润,港澳台商投资股份有限公司零售业企业主营业务利润,其他港澳台商投资零售业企业主营业务利润,外商投资零售业企业主营业务利润,中外合资经营零售业企业主营业务利润,中外合作经营零售业企业主营业务利润,外资零售业企业主营业务利润,外商投资股份有限公司零售业企业主营业务利润,其他外商投资零售业企业主营业务利润
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,13281.5686,10546.0363,148.0905,68.4675,12.643,10.6066,1.6313,5.5837,1.8193,1.5724,4506.7789,207.2068,4299.57199999999,1230.3141,4543.9182,147.7646,16.2703,4197.9472,181.936,25.2173,1308.4159,242.456,11.5101,1012.7452,26.0017,15.7031,1427.1163,510.7146,14.6786,795.7138,56.5566,49.4529
2017,12630.5337,10030.854,124.557,92.95,20.427,10.218,1.883,2.601,2.285,3.447,4617.971,202.348,4415.624,1269.264,3846.861,164.84,18.878,3485.412,177.731,48.606,1251.411,295.943,12.034,897.606,28.949,16.88,1348.268,489.648,17.861,734.399,39.592,66.77
2016,12449.5868,10244.6744,174.9028,147.9271,18.3975,13.9239,1.6794,4.1561,3.4325,4.6552,4565.687,187.1652,4378.5219,1342.5691,3919.4692,210.3389,20.0873,3487.8839,201.159,61.7973,1100.695,282.8683,11.6913,774.8873,21.1267,10.1205,1104.2182,339.269,18.8803,654.6132,41.1333,50.3217
2015,11117.1942,9222.76389999999,203.5793,151.4556,19.8581,12.0253,2.2772,3.5386,2.7247,3.4844,3975.1551,158.3816,3816.7731,1286.4046,3498.7889,211.7089,22.5779,3082.6518,181.85,75.4962,950.33,263.95,10.3687,650.0007,21.5342,4.4764,944.0997,325.034,19.8791,557.0912,25.6976,16.3972
2014,10689.4868,8902.73482,206.4819,163.30122,19.01625,10.73168,2.0501,3.02835,2.93856,2.71467,3819.61427,158.46447,3661.1498,1254.35408,3357.94864,201.68836,21.82004,2953.21728,181.22296,71.28678,874.02131,221.18791,10.43402,605.29132,26.71132,10.39674,912.73064,318.25584,24.51219,543.25972,20.36479,6.3381
2013,9863.1249,8250.49093000001,250.64848,168.34581,19.89351,12.02645,2.31733,3.5316,2.94765,3.22987,3376.69431,135.90962,3240.78469,1259.91007,3079.59466,203.62722,21.65041,2671.998,182.31903,83.37764,792.68864,197.67598,9.92441999999999,532.7805,30.27088,22.03686,819.94527,298.82198,31.95961,468.47339,16.65038,4.03991
2012,7748.73608999999,6349.46952,492.42331,162.76017,45.75821,19.16332,7.68097,3.9808,3.665,3.83654999999999,2501.13798,40.87005,2460.26793,892.962590000002,2039.54668,120.18146,39.80007,1752.95798,126.60717,195.71726,686.983979999999,171.7451,26.08728,424.93267,23.20798,41.01095,712.28259,262.19889,34.62247,404.22184,6.58724,4.65215
2011,6804.5123,5605.1927,447.9518,123.173,37.5344,19.3846,9.9778,3.7402,2.3272,3.3395,2067.2435,32.1108,2035.1328,949.330500000001,1830.7213,240.7649,40.7226,1447.8872,101.3467,129.8534,550.5862,147.7093,26.7336,339.9755,11.676,24.4921,648.7334,248.7167,41.0711,351.2686,6.72980000000001,0.9472
2010,5366.9,4453.2,371.9,119.1,30.2,15.5,6.5,2.8,3.3,2.9,1633.1,37.1,1596.1,719.0,1517.7,206.8,36.6,1185.0,89.3,46.6,370.5,100.4,22.8,230.4,16.9,,543.2,222.5,35.8,268.4,16.5,
