年份,综合零售主营业务利润,百货零售主营业务利润,超级市场零售主营业务利润,食品、饮料及烟草制品专门零售主营业务利润,纺织、服装及日用品专门零售主营业务利润,服装零售主营业务利润,文化、体育用品及器材专门零售主营业务利润,体育用品零售主营业务利润,图书零售主营业务利润,医药及医疗器材专门零售主营业务利润,西药零售主营业务利润,汽车、摩托车、燃料及零配件专门零售主营业务利润,汽车新车零售主营业务利润,机动车燃料零售主营业务利润,家用电器及电子产品专门零售主营业务利润,日用家电零售主营业务利润,计算机、软件及辅助设备零售主营业务利润,通信设备零售主营业务利润,五金、家具及室内装修材料专门零售主营业务利润,无店铺及其他零售主营业务利润,邮购及电子销售主营业务利润
2019,,,,,,,,,,,,,,,,,,,,,
2018,3055.7511,1662.5198,1237.3095,780.071,1591.4699,1040.3996,628.188,59.7995,283.7951,760.4827,666.5661,3834.77529999999,2463.3967,1211.4996,867.9136,377.9891,179.8768,105.932,436.3989,1326.518,1137.1335
2017,2983.626,1572.498,1253.339,718.59,1470.785,982.954,565.186,62.145,241.415,750.092,688.907,3636.47,2384.121,1158.456,930.22,375.288,215.812,107.025,482.364,1093.2,865.047
2016,3177.5923,1718.2565,1288.2387,645.6234,1321.1214,882.9362,553.2041,46.1471,252.7313,770.778600000001,709.9569,3531.4712,2301.9149,1116.0379,947.748,386.7479,204.3107,111.5905,612.9389,889.1069,608.7128
2015,3215.2634,1760.7204,1292.385,590.5745,1178.3047,759.7497,492.89,38.8015,226.0759,644.9654,586.077799999999,2997.9342,1994.5807,894.096599999999,919.1726,376.2916,175.6383,122.4446,541.5278,536.5608,260.1809
2014,3078.23738,1697.16365,1215.98478,544.56486,1074.80206,699.92201,525.65193,27.08074,221.13085,626.72672,555.22673,2991.55822,2007.65856,878.162679999998,858.2811,380.2496,194.11946,81.25371,501.65594,488.00856,201.67472
2013,2965.55684,1647.64142,1156.83216,455.50655,930.29344,622.07623,470.48681,26.00759,189.59491,533.25985,472.93944,2920.16311,1930.86612,887.110989999999,760.30434,358.51149,136.816,71.15912,464.99155,362.56235,92.94213
2012,2661.22435,1500.5575,1021.04684,356.45771,733.86195,493.67614,357.6256,23.47967,167.49196,368.49092,326.42363,2076.69291,1499.48986,497.590279999998,634.55421,355.54271,102.29352,64.7132700000001,309.83534,249.9931,47.6
2011,2237.4884,1273.8429,855.8059,262.9566,548.135,363.9728,291.7732,17.5146,134.9719,317.5015,289.966,2167.1092,1380.4133,712.0979,560.257400000001,420.293,79.0034000000001,49.1895,234.7597,184.5315,44.7393
2010,1834.8,1027.3,714.0,158.9,440.9,303.1,237.1,14.3,126.8,245.9,230.0,1724.1,1109.3,561.9,400.9,292.8,58.6,39.5,181.4,142.9,27.9
2009,1483.0281,854.45703,562.84369,110.67983,359.13351,217.53362,186.52143,10.63695,109.08566,189.06622,177.49475,1302.05086,752.44666,513.98323,308.13607,222.11853,43.2548,34.54692,153.21061,93.85346,19.737
2008,1487.2851,857.7449,548.9097,100.6922,283.114,174.1042,178.223,6.7503,102.9699,176.8686,165.6693,1204.3132,656.1586,513.5984,304.9941,213.9141,48.2798,35.5046,99.4306,88.3004,15.8316
2007,1041.82279,585.09166,414.15702,51.67082,130.70489,91.43626,117.61679,9.69493,73.09612,97.63079,90.66672,485.8797,298.61245,173.63049,150.4233,93.94531,29.50949,20.74848,55.44787,34.50964,4.18858
2006,846.5892,479.9081,334.0234,47.0828,83.9236,57.1781,112.4437,4.7718,78.3782,78.3798,69.0358,383.9963,216.2848,154.2295,132.0272,88.3719,24.1103,14.8311,42.6178,25.4357,3.0257
2005,670.0,389.37299,258.52499,34.76425,62.39036,38.88592,100.63889,2.20814,69.61037,65.79544,59.00654,282.13847,151.92544,120.57173,97.66999,63.77261,18.19918,11.67102,26.82098,19.71314,2.41908
2004,496.15387,317.14644,162.70235,33.33129,54.60406,34.00835,76.01539,1.65006,60.70493,59.66424,53.47686,201.05402,96.86577,94.09421,82.52635,57.65147,9.91826,11.74055,23.2282,16.55665,1.16174
2003,184.10447,176.51119,5.607,9.55355,14.93471,8.28458,40.70092,0.52492,33.92315,21.08004,20.10658,52.67698,32.29161,16.98754,16.10829,10.71889,2.66416,2.63326,3.11875,3.62096,0.0902
2002,,175.6842,,12.3136,8.0314,,1.1793,,33.3156,21.5049,,16.1279,,,,,4.4741,,,,
2001,,172.0143,,11.4017,9.5797,,1.4754,,27.9533,19.4859,,6.9302,,,,,3.1025,,,,
2000,,158.9789,,21.062,8.3,,1.0948,,24.8568,16.1842,,3.732,,,,,0.9193,,,,
