年份,综合零售主营业务成本,百货零售主营业务成本,超级市场零售主营业务成本,食品、饮料及烟草制品专门零售主营业务成本,纺织、服装及日用品专门零售主营业务成本,服装零售主营业务成本,文化、体育用品及器材专门零售主营业务成本,体育用品零售主营业务成本,图书零售主营业务成本,医药及医疗器材专门零售主营业务成本,西药零售主营业务成本,汽车、摩托车、燃料及零配件专门零售主营业务成本,汽车新车零售主营业务成本,机动车燃料零售主营业务成本,家用电器及电子产品专门零售主营业务成本,日用家电零售主营业务成本,计算机、软件及辅助设备零售主营业务成本,通信设备零售主营业务成本,五金、家具及室内装修材料专门零售主营业务成本,无店铺及其他零售主营业务成本,邮购及电子销售主营业务成本
2019,,,,,,,,,,,,,,,,,,,,,
2018,16392.1967,8491.8924,7260.0905,2774.4083,3686.4871,2152.4312,2328.6443,184.9867,886.5731,3503.7723,3144.5013,47084.6868,32712.0799,12972.4129,7610.151,3050.97,2026.6594,1049.8565,1940.5632,9281.3229,8382.673
2017,17175.35,8859.757,7490.226,3072.872,3568.813,2112.587,2464.737,177.878,828.295,4207.58,4019.518,46165.582,34489.253,10773.041,7849.375,3069.748,2062.726,943.252,2412.488,6975.064,5778.214
2016,19313.9913,10128.7422,8140.4583,3208.2289,3647.1223,2166.7129,2506.1477,138.7786,833.3385,5489.1167,5253.1881,46459.578,34785.3076,10749.3877,8065.3775,3126.2434,1932.3846,1000.8162,2858.4328,5869.1384,4575.5019
2015,18994.383,10154.1672,7820.892,2801.9546,3278.3131,1881.8219,2282.1536,121.7589,780.3222,4638.513,4419.8004,41384.111,30108.9469,10413.8166,7850.9054,2774.6524,1835.5725,1561.1228,2504.9744,4025.1734,2637.0529
2014,18421.65618,9914.37427,7556.05296,2502.79857,2935.76033,1722.56212,2501.99975,108.26661,754.02881,4279.71047,3982.30265,42014.84463,29041.71232,12132.57075,6963.3949,2715.12176,2034.86909,721.77908,2192.1478,3833.4224,2322.52551
2013,17445.08467,9435.11157,7149.11635,2039.80981,2654.07644,1680.24093,2215.32847,152.57766,670.8516,3636.45834,3388.73106,36998.00372,25207.06596,11047.04138,6077.17679,2551.67735,1614.94436,663.31102,2000.39704,2760.46311,1286.25135
2012,15478.06998,8333.19585,6439.09736,1832.2369,2184.40592,1410.94066,1504.23012,109.53674,584.08999,2962.47905,2776.49144,31821.96936,21193.5871,10001.70674,5174.02072,2538.18734,1296.13196,585.41962,1391.24542,2245.07604,914.0
2011,14020.3036,7543.3132,5744.081,1426.7803,1725.9735,1110.5941,1153.0998,66.3952,449.2738,2189.4155,2065.9569,28023.3662,18441.8591,9013.3241,4748.6667,3235.5017,978.7086,420.7252,1207.3858,1429.1675,425.4844
2010,12008.5,6230.7,5205.2,803.7,1293.2,856.3,919.5,54.2,401.2,1771.0,1687.9,22827.5,15751.0,6641.1,3714.0,2622.1,699.7,301.8,930.3,913.1,251.6
2009,9697.44284,4957.82175,4332.65874,558.14259,1042.01105,650.23768,778.2222,46.87053,348.1003,1338.09602,1273.62008,16523.80344,11192.90481,4969.51142,2907.42157,1981.40992,570.12,280.85198,591.70402,552.49998,106.27161
2008,8612.0322,4366.3425,3862.1024,475.4163,882.1963,554.2894,660.9304,29.1166,308.4159,1100.7671,1049.4072,13366.6823,8150.4184,4943.491,2869.8717,1928.7866,581.428,298.0709,460.8371,492.0191,59.7991
2007,7165.19022,3591.74336,3283.42667,350.69909,429.71486,280.2718,485.59245,43.71335,245.90028,730.51563,684.97852,8242.18157,5808.04682,2244.16923,2313.28265,1561.50076,461.10968,226.99311,323.67105,283.30566,17.59036
2006,6092.6659,3041.6271,2818.4266,284.5062,303.9874,189.5934,409.7092,24.851,244.34,632.4109,578.4767,6585.1368,4384.3098,2030.9516,1935.1247,1292.2548,359.2206,229.8025,229.9468,266.5536,22.8792
2005,4972.6,2426.8625,2367.97467,225.13639,259.69947,159.11104,363.89223,12.07241,233.77488,587.40721,543.04544,5085.6324,3344.45862,1609.81973,1618.17756,1084.71518,286.56209,198.96683,203.38077,181.46389,6.9602
2004,4186.32425,2101.20163,1921.46007,256.95686,257.74705,153.2254,325.25094,12.527,220.63054,577.21833,520.34672,4180.53783,2937.35011,1085.69102,1462.29475,968.09911,235.96789,210.34364,195.60929,181.70139,6.85531
2003,3569.39858,2062.15558,1393.41095,193.80443,144.82043,72.19198,252.43069,5.03574,169.10611,308.5164,292.7257,1742.38365,1247.54476,377.23202,877.88758,650.649,133.32173,83.30693,135.11057,79.16413,4.443
2002,,2721.1767,,342.8289,78.2957,,13.2607,,169.6175,296.5024,,779.802,,,,,127.1663,,,,
2001,,2404.051,,347.2834,77.3034,,14.52,,150.4343,222.3525,,345.0194,,,,,84.9648,,,,
2000,,1988.6155,,467.9538,77.6,,11.3844,,140.9769,166.0443,,199.042,,,,,42.7962,,,,
