年份,综合零售主营业务税金及附加,百货零售主营业务税金及附加,超级市场零售主营业务税金及附加,食品、饮料及烟草制品专门零售主营业务税金及附加,纺织、服装及日用品专门零售主营业务税金及附加,服装零售主营业务税金及附加,文化、体育用品及器材专门零售主营业务税金及附加,体育用品零售主营业务税金及附加,图书零售主营业务税金及附加,医药及医疗器材专门零售主营业务税金及附加,西药零售主营业务税金及附加,汽车、摩托车、燃料及零配件专门零售主营业务税金及附加,汽车新车零售主营业务税金及附加,机动车燃料零售主营业务税金及附加,家用电器及电子产品专门零售主营业务税金及附加,日用家电零售主营业务税金及附加,计算机、软件及辅助设备零售主营业务税金及附加,通信设备零售主营业务税金及附加,五金、家具及室内装修材料专门零售主营业务税金及附加,无店铺及其他零售主营业务税金及附加,邮购及电子销售主营业务税金及附加
2019,,,,,,,,,,,,,,,,,,,,,
2018,120.0458,83.8796,30.9899,24.6873,32.7327,21.5839,25.9751,1.4375,4.2536,16.829,14.6726,133.1584,99.4316,27.2603,25.5247,11.4577,4.4245,2.3985,23.8025,27.3113,22.1828
2017,136.959,94.648,35.948,29.52,36.377,23.465,26.459,1.204,3.528,22.114,20.346,139.728,102.761,32.024,38.58,14.478,8.329,2.672,38.174,25.532,15.664
2016,156.951,99.4325,45.9789,38.4536,45.8977,28.1288,21.9864,0.8848,2.8664,31.8562,29.8412,132.6132,88.4672,35.9377,51.6004,24.3314,8.7223,3.9307,52.7035,29.3202,14.9638
2015,184.2025,118.4293,52.9812,39.6778,45.5659,27.9781,23.96,0.9655,2.7279,21.1187,19.3055,134.952,85.3134,40.858,47.1041,18.2635,9.6109,4.9575,56.8681,21.4819,6.0622
2014,188.06858,120.74337,54.00626,38.08381,45.01496,26.71164,26.84767,0.93018,2.60769,20.75844,18.37959,118.18856,81.58924,28.03489,44.41545,20.41065,8.52067,4.41331,50.66639,21.29245,4.13576
2013,192.87819,126.941,52.04237,33.24526,40.45897,26.72752,26.22167,0.78891,4.5366,18.96199,16.42499,117.83826,82.55496,26.66251,39.90221,18.12289,7.02842,3.56371,46.53001,18.83177,1.81886
2012,144.39898,90.21854,45.97147,21.1408,27.18245,18.54125,17.32466,0.5943,2.84095,13.67255,12.15158,78.74153,53.68615,18.14243,29.81378,17.2605,5.09653,2.67985,30.54621,13.05773,1.6
2011,125.5662,80.2028,37.947,17.2743,20.6572,14.3597,14.8925,0.3304,3.2101,10.2484,9.4856,62.6563,42.0329,16.336,23.853,17.0995,3.9778,2.2331,24.3797,10.7134,1.3416
2010,97.7,63.3,26.6,10.9,13.3,9.6,12.0,0.4,3.4,9.5,9.0,71.9,51.4,16.9,19.4,14.1,2.7,2.3,18.6,8.1,0.7
2009,81.18263,44.45214,31.9835,9.18878,9.21947,6.02742,9.53897,0.16605,3.04782,7.10993,6.83254,51.01228,30.99751,17.85318,13.27432,9.32649,2.01761,1.58518,11.73619,3.98552,0.4681
2008,83.705,46.9809,32.2445,5.2644,9.5991,6.378,9.7895,0.1522,3.2126,5.3239,5.0713,48.996,29.9989,16.8789,18.9481,14.9818,2.0951,1.4988,9.0677,4.6453,0.6232
2007,38.53116,25.60872,11.30602,1.89246,3.28222,2.21469,5.23706,0.08713,1.19686,2.84106,2.68671,12.5442,7.82239,4.01625,6.6663,4.63201,1.01215,0.80279,3.38356,1.61434,0.07115
2006,30.1876,17.9495,11.0434,1.5287,2.0352,1.2667,4.6078,0.0713,1.576,1.9678,1.7385,8.9903,5.5391,2.7242,4.186,2.5489,0.826,0.6318,2.1496,0.9757,0.0635
2005,22.7,15.94708,5.86583,1.34417,1.9594,1.18271,4.0132,,1.48451,1.54271,1.42711,8.65207,5.57126,2.67905,5.23919,4.06987,0.61779,0.40674,1.17218,0.75011,
2004,22.96806,15.55169,6.62243,1.22759,1.94321,1.16002,3.11812,0.04752,1.38411,1.59894,1.43595,6.09392,3.1973,2.4505,3.40496,1.80989,0.64152,0.82495,1.20577,0.73423,0.02087
2003,14.45591,10.65055,3.37306,1.07273,1.05028,0.54224,1.85241,,0.96972,0.81972,0.78168,1.87154,1.06401,0.64896,1.52306,0.91219,0.11893,0.45059,0.59072,0.24576,
2002,,12.3991,,2.0219,0.5295,,0.0562,,1.0215,0.9859,,0.8478,,,,,0.7487,,,,
2001,,11.1292,,1.3875,0.5691,,0.0767,,0.8958,0.6918,,0.3726,,,,,0.2776,,,,
2000,,9.7968,,1.628,0.6,,0.0587,,0.9269,0.5474,,0.3803,,,,,0.0835,,,,
