年份,零售业企业主营业务税金及附加,内资零售业企业主营业务税金及附加,国有零售业企业主营业务税金及附加,集体零售业企业主营业务税金及附加,股份合作零售业企业主营业务税金及附加,联营零售业企业主营业务税金及附加,国有联营零售业企业主营业务税金及附加,集体联营零售业企业主营业务税金及附加,国有与集体联营零售业企业主营业务税金及附加,其他联营零售业企业主营业务税金及附加,有限责任公司零售业企业主营业务税金及附加,国有独资公司零售业企业主营业务税金及附加,其他有限责任公司零售业企业主营业务税金及附加,股份有限公司零售业企业主营业务税金及附加,私营零售业企业主营业务税金及附加,私营独资零售业企业主营业务税金及附加,私营合伙零售业企业主营业务税金及附加,私营有限责任公司零售业企业主营业务税金及附加,私营股份有限公司零售业企业主营业务税金及附加,其他零售业企业主营业务税金及附加,港澳台商投资零售业企业主营业务税金及附加,港澳台商合资经营零售业企业主营业务税金及附加,港澳台商合作经营零售业企业主营业务税金及附加,港澳台商独资经营零售业企业主营业务税金及附加,港澳台商投资股份有限公司零售业企业主营业务税金及附加,其他港澳台商投资零售业企业主营业务税金及附加,外商投资零售业企业主营业务税金及附加,中外合资经营零售业企业主营业务税金及附加,中外合作经营零售业企业主营业务税金及附加,外资零售业企业主营业务税金及附加,外商投资股份有限公司零售业企业主营业务税金及附加,其他外商投资零售业企业主营业务税金及附加
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,430.0667,366.5297,5.1054,4.0361,0.4452,0.2582,,0.1232,0.0573,,144.7005,8.2236,136.4769,39.163,172.3507,9.5621,0.8781,156.0064,5.9042,0.4708,32.5065,6.4725,0.2979,24.5734,0.5232,0.6393,31.0305,11.4124,0.4886,17.2471,1.0601,0.8222
2017,493.4422,428.515,6.346,6.336,0.952,0.404,,0.154,0.103,0.105,173.691,7.495,166.196,50.111,187.909,14.182,1.336,162.411,9.98,2.766,33.187,8.404,0.31,23.282,0.671,0.519,31.742,12.236,0.634,16.252,1.356,1.264
2016,561.3814,504.6292,9.1678,13.5077,1.0671,0.7814,0.0768,0.2507,0.0946,0.3598,187.2911,6.7427,180.5484,47.9707,240.1473,20.1471,1.9595,206.0459,11.9949,4.6972,30.4452,9.4639,0.2275,19.9394,0.5718,0.2432,26.3067,8.3332,0.61,14.7493,1.3516,1.2629
2015,574.93,516.7908,11.6126,14.7093,2.4914,0.6932,0.1384,0.2166,0.0758,0.2626,191.37,5.6125,185.758,63.047,227.6458,23.3845,2.9755,190.2278,11.0582,5.2226,29.0609,7.5297,0.2523,20.6452,0.482,0.1521,29.0786,9.7778,0.8802,16.9427,0.8425,0.6358
2014,553.3363,499.53475,12.29082,14.93205,1.30479,0.73543,0.13929,0.25007,0.24019,0.10588,185.03746,6.26186,178.7756,58.09427,221.77267,21.98895,3.42352,184.5035,11.8567,5.36726,26.27961,7.18763,0.26313,17.91987,0.68976,0.21922,27.52195,8.66857,1.06502,16.81307,0.81147,0.16382
2013,534.8683,483.59283,13.80534,16.25496,1.45927,0.80615,0.13467,0.34401,0.2143,0.11317,179.90526,7.16813,172.73713,56.44642,209.3273,21.5487,3.54319,168.87333,15.36208,5.58813,25.76759,6.88272,0.42108,15.7705,2.15716,0.53613,25.50791,9.76269,1.11415,13.74791,0.73526,0.1479
2012,375.87869,330.23239,16.17029,11.0996,2.76695,1.17643,0.44068,0.38302,0.13495,0.21778,105.39198,1.95162,103.44036,41.24911,136.36357,29.98691,4.78317,94.36223,7.23126,16.01446,27.09244,6.24989,0.36885,18.37025,0.50914,1.59431,18.55386,6.91315,0.87784,10.40332,0.21926,0.14029
2011,310.2411,276.5243,15.5755,11.3813,2.0509,0.7733,0.2367,0.3506,,0.1414,89.5411,1.3923,88.1488,43.8664,102.4842,25.1361,4.1026,67.7737,5.4718,10.8517,16.7134,5.0938,0.7844,9.466,0.255,1.1141,17.0034,6.4325,1.0699,9.3089,0.1659,
2010,261.4,242.5,16.8,12.3,1.6,0.8,0.2,0.3,0.1,0.2,83.6,1.3,82.4,33.6,90.6,24.6,4.4,57.0,4.7,3.1,9.8,4.3,0.7,4.3,0.5,,9.1,4.6,0.5,3.7,0.3,
