年份,零售业企业主营业务收入,内资零售业企业主营业务收入,国有零售业企业主营业务收入,集体零售业企业主营业务收入,股份合作零售业企业主营业务收入,联营零售业企业主营业务收入,国有联营零售业企业主营业务收入,集体联营零售业企业主营业务收入,国有与集体联营零售业企业主营业务收入,其他联营零售业企业主营业务收入,有限责任公司零售业企业主营业务收入,国有独资公司零售业企业主营业务收入,其他有限责任公司零售业企业主营业务收入,股份有限公司零售业企业主营业务收入,私营零售业企业主营业务收入,私营独资零售业企业主营业务收入,私营合伙零售业企业主营业务收入,私营有限责任公司零售业企业主营业务收入,私营股份有限公司零售业企业主营业务收入,其他零售业企业主营业务收入,港澳台商投资零售业企业主营业务收入,港澳台商合资经营零售业企业主营业务收入,港澳台商合作经营零售业企业主营业务收入,港澳台商独资经营零售业企业主营业务收入,港澳台商投资股份有限公司零售业企业主营业务收入,其他港澳台商投资零售业企业主营业务收入,外商投资零售业企业主营业务收入,中外合资经营零售业企业主营业务收入,中外合作经营零售业企业主营业务收入,外资零售业企业主营业务收入,外商投资股份有限公司零售业企业主营业务收入,其他外商投资零售业企业主营业务收入
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,108313.8679,94196.2967,1086.0101,494.8796,112.2628,93.5546,10.6133,51.2605,17.3528,14.328,41526.2936,1774.2353,39752.0583,12420.377,38348.662,919.8949,103.0987,36161.7852,1163.8832,114.2569,6747.1324,1458.9402,79.173,4994.0149,127.618,87.3863,7370.4388,2803.3556,120.121,3729.0285,377.4364,340.4973
2017,107015.8359,93591.142,998.536,809.601,155.854,84.488,11.275,25.386,24.588,23.238,43623.053,1952.006,41671.048,12165.479,35484.048,1089.622,134.887,32930.537,1329.002,270.083,6450.476,1693.239,76.255,4432.736,154.443,93.805,6974.219,2621.731,106.734,3358.545,194.003,693.207
2016,110428.1006,98022.7798,1386.7444,1346.6107,158.2178,102.9562,9.483,37.9469,30.5436,24.9829,44921.2839,2066.3495,42854.9347,13595.5355,36170.7432,1332.3504,133.1337,33161.0201,1544.2396,340.6896,6082.6573,1696.318,75.5281,4142.308,107.341,61.1626,6322.664,2353.8957,137.3106,3059.3682,229.5344,542.5552
2015,99452.6048,88666.3997,1841.5074,1352.1888,177.5101,102.6896,19.6174,34.1237,25.9889,22.96,39267.1492,1412.6781,37854.4714,13150.4237,32327.2143,1450.522,155.9626,29427.8158,1292.9144,447.7177,5297.4969,1464.4228,63.7434,3650.0928,89.198,30.0406,5488.7082,2303.897,150.6293,2788.9561,158.6735,86.5528
2014,96888.5581,86359.66222,2015.3857,1428.17959,169.89619,106.48459,22.17155,34.44581,29.84624,20.02099,37727.30872,1613.22343,36114.08529,13910.06262,30545.80982,1279.2939,145.62324,27607.22485,1513.66783,456.53499,4890.62915,1276.18586,69.92072,3363.09056,94.11897,87.31304,5638.26674,2365.70927,216.1909,2879.00445,135.07151,42.29061
2013,86224.7916,76524.4587,2266.14588,1337.79615,163.82568,109.61599,26.76266,24.49907,34.80019,23.55407,31787.0438,1346.34445,30440.69935,13340.5062,26943.39407,1222.78032,154.14366,24110.33067,1456.13942,576.13093,4480.42209,1184.69849,74.04382,3032.05558,92.72051,96.90369,5219.91077,2251.00763,241.22303,2569.67541,122.22307,35.78163
2012,72718.3483,63766.90739,5311.90324,1309.9267,457.74347,218.55587,90.93028,33.14992,54.8282,39.64747,23714.14722,335.04455,23379.10267,9764.98558,21288.5974,2113.38267,343.88198,17702.21179,1129.12096,1701.04791,4380.92568,1123.17642,395.72507,2531.82735,85.07928,245.11756,4570.51522,2058.90109,245.67939,2175.71087,62.10135,28.12252
2011,63038.9123,55049.1566,4848.5068,1123.3993,339.0002,216.9599,111.9691,31.7468,42.4375,30.8066,20014.219,255.4716,19758.7475,9378.0637,17722.6514,1792.7571,312.1059,14630.3657,987.4227,1406.3563,3605.6729,977.5485,344.7108,2030.8705,53.7066,198.8366,4384.0828,1970.3999,258.9234,2074.1601,69.8435,10.7559
2010,51115.523,44715.8,3965.2,1043.9,277.0,206.6,108.2,24.7,48.0,25.7,15899.1,261.2,15637.9,7487.6,15415.5,1514.1,277.3,12675.1,949.0,420.8,2674.9,757.8,341.6,1501.9,73.6,,3724.9,1764.6,237.0,1607.0,116.2,
2009,38600.00014,33614.06369,2815.97069,866.80032,255.34444,147.51988,83.30933,21.23852,27.66174,15.31029,11821.96564,204.51687,11617.44877,6094.66281,11284.42604,1067.0618,192.37639,9332.10367,692.88418,327.37387,1963.32265,612.77061,250.49439,1054.90823,45.14942,,3022.6138,1473.8937,243.74669,1218.5475,86.42591,
2008,33186.183,29036.0937,2135.7252,685.0183,225.3931,238.7966,79.9881,13.4617,111.5779,33.7689,9553.3886,174.9048,9378.4837,6427.8584,9445.9305,921.3884,172.6121,7846.6749,505.2551,323.9832,1440.58,531.8797,63.6032,805.2025,39.8946,,2709.5092,1302.341,482.3881,826.9536,97.8266,
2007,22951.30251,20342.9141,1430.95808,513.44402,229.03809,234.52546,53.44806,24.08036,121.19828,35.79876,7077.68848,198.38807,6879.30041,4182.22409,6499.46665,314.5442,94.06043,5756.28099,334.58103,175.56923,898.60809,482.83498,95.08345,318.40896,2.2807,,1709.78032,973.60829,284.15973,446.12405,5.88825,
2006,18670.8154,16717.8637,1220.1553,423.4468,208.9049,222.7132,57.0374,17.8843,126.8966,20.8949,5691.0479,298.8583,5392.1896,3653.7589,5211.9974,280.6852,91.7364,4558.5998,280.976,85.8393,586.5536,383.8752,80.9008,121.5773,0.2003,,1366.3982,715.6008,337.0026,295.2931,18.5017,
2005,15190.85941,13682.55483,1199.13032,375.429,215.89836,207.97882,46.65186,12.64917,121.17193,27.50586,4579.5047,120.82824,4458.67656,3156.09985,3907.51261,136.70482,55.9123,3491.55384,223.34155,41.00117,462.49632,347.51102,60.22493,53.32405,1.43632,,1045.80826,554.85768,338.18365,151.93595,0.83098,
2004,13086.01686,11863.93278,1196.62507,405.93483,185.30999,208.33995,64.76387,8.78643,119.94729,14.84236,4079.35336,102.44513,3976.90823,2276.4157,3481.12496,128.93526,48.8219,3106.40539,196.96241,30.82892,399.54396,331.79739,49.23729,16.13147,2.37781,0.0,822.54012,426.10028,269.03444,126.33801,1.06739,0.0
2003,8199.3691,7412.1943,1091.20495,341.41299,195.0801,141.17269,37.1181,5.76855,80.15771,18.12833,2465.00254,111.16425,2353.83829,1633.5697,1533.43819,92.71164,32.93295,1312.3698,95.4238,11.31314,219.38661,153.82031,39.15699,26.19059,0.21872,,567.78815,307.20469,97.98687,158.08194,4.51465,
2002,6460.6411,5832.8386,1188.2188,341.622,174.1828,167.9867,55.572,16.8275,80.7245,14.8627,1705.9104,55.2836,1650.6269,1392.503,853.4747,39.6922,10.6214,737.1719,65.9892,8.9402,195.2752,138.2905,30.4393,8.6576,17.8879,,432.5273,188.0703,208.7333,32.2206,3.5031,
2001,5169.6964,4662.8122,1306.6683,322.8359,132.0494,127.4191,34.7002,7.5096,68.6042,16.6052,1086.1524,72.5869,1013.5655,1207.713,474.5144,22.9644,13.1126,377.2781,61.1592,5.4598,170.0334,110.3486,43.7606,4.771,11.1531,,336.8509,165.8357,156.4758,14.5394,,
2000,4407.7256,3952.8271,1508.8248,410.0437,117.2861,99.6327,29.5786,13.8429,36.44,19.7712,686.8848,64.7132,622.1716,923.7963,204.2141,26.7783,5.0692,152.4972,19.8694,2.1445,222.3779,82.137,103.3131,6.9013,30.0265,,232.5206,117.3222,113.8522,0.0542,1.292,
