年份,零售业企业主营业务成本,内资零售业企业主营业务成本,国有零售业企业主营业务成本,集体零售业企业主营业务成本,股份合作零售业企业主营业务成本,联营零售业企业主营业务成本,国有联营零售业企业主营业务成本,集体联营零售业企业主营业务成本,国有与集体联营零售业企业主营业务成本,其他联营零售业企业主营业务成本,有限责任公司零售业企业主营业务成本,国有独资公司零售业企业主营业务成本,其他有限责任公司零售业企业主营业务成本,股份有限公司零售业企业主营业务成本,私营零售业企业主营业务成本,私营独资零售业企业主营业务成本,私营合伙零售业企业主营业务成本,私营有限责任公司零售业企业主营业务成本,私营股份有限公司零售业企业主营业务成本,其他零售业企业主营业务成本,港澳台商投资零售业企业主营业务成本,港澳台商合资经营零售业企业主营业务成本,港澳台商合作经营零售业企业主营业务成本,港澳台商独资经营零售业企业主营业务成本,港澳台商投资股份有限公司零售业企业主营业务成本,其他港澳台商投资零售业企业主营业务成本,外商投资零售业企业主营业务成本,中外合资经营零售业企业主营业务成本,中外合作经营零售业企业主营业务成本,外资零售业企业主营业务成本,外商投资股份有限公司零售业企业主营业务成本,其他外商投资零售业企业主营业务成本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,94602.2326,83283.7307,932.8142,422.376,99.1746,82.6898,8.9456,45.5536,15.4762,12.7143,36874.8142,1558.8049,35316.0094,11150.8999,33632.3931,762.5682,85.9503,31807.8316,976.043,88.5688,5406.21,1210.0117,67.365,3956.6963,101.0931,71.0439,5912.292,2281.2286,104.9538,2916.0676,319.8197,290.2222
2017,93891.86,83131.773,867.633,710.315,134.475,73.866,9.349,22.631,22.2,19.686,38831.391,1742.163,37089.228,10846.104,31449.278,910.6,114.673,29282.714,1141.291,218.711,5165.878,1388.892,63.911,3511.848,124.823,76.406,5594.209,2119.847,88.239,2607.894,153.055,625.173
2016,97417.1324,87273.4762,1202.6738,1185.1759,138.7532,88.2509,7.7268,33.5401,27.0165,19.9679,40168.3058,1872.4416,38295.8644,12204.9957,32011.1267,1101.8644,111.0869,29467.0903,1331.0857,274.1951,4951.5171,1403.9858,63.6093,3347.4813,85.6425,50.7989,5192.1391,2006.2935,117.8203,2390.0057,187.0495,490.9706
2015,87760.4806,78926.845,1626.3155,1186.0239,155.1606,89.9711,17.2018,30.3685,23.1884,19.213,35100.6241,1248.684,33851.9403,11800.9721,28600.7796,1215.4286,130.4092,26154.9362,1100.0062,366.9989,4318.106,1192.9431,53.1224,2979.4469,67.1818,25.4121,4515.5299,1969.0852,129.87,2214.9222,132.1334,69.5198
2014,85645.735,76957.39265,1796.61298,1249.94632,149.57515,95.01748,19.98216,31.16739,26.66749,17.20044,33722.65699,1448.4971,32274.15989,12597.61427,26966.08851,1055.61659,120.37968,24469.50407,1320.58817,379.88095,3990.32823,1047.81032,59.22357,2739.87937,66.71789,76.69708,4698.01415,2038.78486,190.61369,2318.93166,113.89525,35.78869
2013,75826.7984,67790.37494,2001.69206,1153.19538,142.4729,96.78339,24.31066,20.62346,31.63824,20.21103,28230.44423,1203.2667,27027.17753,12024.14971,23654.47211,997.6044,128.95006,21269.45934,1258.45831,487.16516,3661.96586,980.13979,63.69832,2483.50458,60.29247,74.3307,4374.45759,1942.42296,208.14927,2087.45411,104.83743,31.59382
2012,64593.7335,57087.20548,4803.30964,1136.06693,409.21831,198.21612,82.80863,28.7861,51.02825,35.59314,21107.61726,292.22288,20815.39438,8830.77388,19112.68715,1963.2143,299.29874,15854.89158,995.28253,1489.31619,3666.84926,945.18143,369.26894,2088.52443,61.36216,202.5123,3839.67877,1789.78905,210.17908,1761.08571,55.29485,23.33008
2011,55924.1589,49167.4396,4384.9795,988.845,299.4149,196.802,101.7546,27.656,40.0657,27.3257,17857.4344,221.9685,17635.4659,8384.8668,15789.4459,1526.8561,267.2807,13114.7048,880.6042,1265.6512,3038.3733,824.7454,317.1928,1681.429,41.7756,173.2304,3718.346,1715.2507,216.7824,1713.5826,62.9478,9.7825
2010,45180.79558,39732.2,3522.6,906.4,241.9,186.8,98.5,21.2,44.4,22.6,14097.3,221.8,13875.5,6664.5,13742.9,1265.0,233.2,11398.8,845.8,369.8,2286.2,646.0,318.2,1266.0,56.1,,3162.4,1531.8,200.7,1330.5,99.3,
2009,33989.34371,29783.01271,2480.34757,751.85328,223.22487,133.39612,76.5332,18.0096,25.15227,13.70105,10468.41581,177.41705,10290.99876,5358.14979,10076.91738,907.1613,164.80545,8385.91832,619.03231,290.70789,1670.19082,515.60883,236.1547,880.28182,38.14547,,2536.14018,1270.15804,202.24826,990.40155,73.33233,
2008,28920.7526,25413.83,1842.9176,586.7851,190.6315,202.6372,70.4343,11.796,91.0924,29.3145,8374.4318,145.918,8228.5138,5647.3749,8297.2108,762.4275,144.2996,6947.0551,443.4286,271.8411,1197.6846,448.333,53.6039,661.9492,33.7985,,2309.238,1130.2656,419.2739,675.0587,84.6398,
2007,20324.15318,18129.84566,1229.78004,458.64472,205.63097,219.9153,49.26958,21.03239,117.55761,32.05572,6323.709,168.14002,6155.56898,3656.03461,5881.00002,274.95217,83.46993,5221.33492,301.243,155.131,744.45236,409.62598,79.62948,253.31525,1.88165,,1449.85516,834.66129,241.48818,369.09856,4.60713,
2006,16740.0416,15071.1223,1057.0435,384.5145,189.8007,211.8624,52.7702,16.31,123.4867,19.2955,5123.7809,260.0196,4863.7613,3246.9568,4780.8387,254.1945,81.8749,4188.6862,256.0831,76.3249,483.5827,322.3835,69.9085,91.1098,0.181,,1185.3366,619.0658,303.1413,249.1632,13.9663,
