年份,实际利用外资额,实际利用外商直接投资金额,实际利用合资经营企业外商直接投资金额,实际利用合作经营企业外商直接投资金额,实际利用外资企业外商直接投资金额,实际利用外商投资股份制企业外商直接投资金额,实际利用外商其他投资金额,实际利用对外发行股票金额,实际利用国际租赁金额,实际利用补偿贸易金额,实际利用加工装配金额
2019,13813500.0,13813500.0,3177900,33400,9361000,808400,,,,,
2018,13496600.0,13496600.0,3449300,77200,8939700,829900,,,,,
2017,13103500.0,13103500.0,2974100,80500,9134400,647500,,,,,
2016,12600100.0,12600100.0,3020400,83000,8612600,884200,,,,,
2015,12626700.0,12626700.0,2588500,184500,9528500,325100,0.0,,,,
2014,11970500.0,11956200.0,2100200,163300,9473700,218900,14400.0,,,,14400.0
2013,11872100.0,11758600.0,2377200,194400,8958900,228100,113400.0,32600.0,,,80800.0
2012,11329400.0,11171600.0,2170600,230800,8613200,157000,157800.0,72700.0,,9500.0,75600.0
2011,11769800.0,11601100.0,2141500,175700,9120500,163400,168700.0,93900.0,,5400.0,69400.0
2010,10882100.0,10573500.0,2249800,161600,8097500,64600,308600.0,166400.0,30000.0,4500.0,107800.0
2009,9180400.0,9003300.0,1727300,203400,6868200,204400,177100.0,16200.0,23000.0,1300.0,136600.0
2008,9525300.0,9239500.0,1731800,190300,7231500,85900,285800.0,7700.0,14400.0,5200.0,258500.0
2007,7833900.0,7476800.0,1559600,141600,5726400,49200,357200.0,40200.0,18000.0,1800.0,297200.0
2006,6987600.0,6582100.0,1437800,194000,4628100,42200,405500.0,135500.0,3600.0,2100.0,264300.0
2005,6380500.0,6032500.0,1461400,183100,4296100,91800,348000.0,16000.0,10800.0,1600.0,319600.0
2004,6407200.0,6063000.0,1638600,311200,4022200,77700,344300.0,69500.0,3800.0,500.0,270500.0
2003,5614000.0,5350500.0,1539200,383600,3338400,32800,263500.0,27500.0,12900.0,700.0,222500.0
2002,5501100.0,5274300.0,1499200,505800,3172500,69700,226800.0,0.0,13100.0,400.0,213300.0
2001,4967200.0,4687800.0,1573890,621218,2387338,52764,279400.0,84800.0,10428.0,283.0,183942.0
2000,5935627.0,4071500.0,1434305,659575,1926388,13021,864100.0,693049.0,3358.0,1102.0,166637.0
