年份,合同利用外资项目,外商直接投资项目,合资经营企业外商直接投资项目,合作经营企业外商直接投资项目,外资企业外商直接投资项目,外商投资股份制企业外商直接投资项目
2019,40888,40888,10077,70,30533,117
2018,60533,60533,10170,107,50106,129
2017,35652,35652,8364,124,27007,125
2016,27900,27900,6662,126,21024,86
2015,26575,26575,5989,110,20398,78
2014,23778,23778,4824,104,18809,41
2013,22773,22773,4476,142,18125,30
2012,24925,24925,4355,166,20352,52
2011,27712,27712,5005,284,22388,35
2010,27406,27406,4970,300,22085,51
2009,23435,23435,4283,390,18741,21
2008,27514,27514,4612,468,22396,38
2007,37871,37871,7649,641,29543,38
2006,41473,41473,10223,1036,30164,50
2005,44001,44001,10480,1166,32308,47
2004,43664,43664,11570,1343,30708,43
2003,41081,41081,12521,1547,26943,37
2002,34171,34171,10380,1595,22173,19
2001,26140,26140,8893,1589,15643,11
2000,22347,22347,8378,1757,12196,8
