年份,外商及港澳台商投资工业企业工业销售产值(现价),煤炭开采和洗选业外商及港澳台商投资工业企业工业销售产值(现价),石油和天然气开采业外商及港澳台商投资工业企业工业销售产值(现价),黑色金属矿采选业外商及港澳台商投资工业企业工业销售产值(现价),有色金属矿采选业外商及港澳台商投资工业企业工业销售产值(现价),非金属矿采选业外商及港澳台商投资工业企业工业销售产值(现价),开采辅助活动外商及港澳台商投资工业企业工业销售产值(现价),其他采矿业外商及港澳台商投资工业企业工业销售产值(现价),农副食品加工业外商及港澳台商投资工业企业工业销售产值(现价),食品制造业外商及港澳台商投资工业企业工业销售产值(现价),酒、饮料和精制茶制造业外商及港澳台商投资工业企业工业销售产值(现价),烟草制品业外商及港澳台商投资工业企业工业销售产值(现价),纺织业外商及港澳台商投资工业企业工业销售产值(现价),纺织服装、服饰业外商及港澳台商投资工业企业工业销售产值(现价),皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业工业销售产值(现价),木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业工业销售产值(现价),家具制造业外商及港澳台商投资工业企业工业销售产值(现价),造纸和纸制品业外商及港澳台商投资工业企业工业销售产值(现价),印刷和记录媒介复制业外商及港澳台商投资工业企业工业销售产值(现价),文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业工业销售产值(现价),石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业工业销售产值(现价),化学原料和化学制品制造业外商及港澳台商投资工业企业工业销售产值(现价),医药制造业外商及港澳台商投资工业企业工业销售产值(现价),化学纤维制造业外商及港澳台商投资工业企业工业销售产值(现价),橡胶和塑料制品业外商及港澳台商投资工业企业工业销售产值(现价),非金属矿物制品业外商及港澳台商投资工业企业工业销售产值(现价),黑色金属冶炼和压延加工业外商及港澳台商投资工业企业工业销售产值(现价),有色金属冶炼和压延加工业外商及港澳台商投资工业企业工业销售产值(现价),金属制品业外商及港澳台商投资工业企业工业销售产值(现价),通用设备制造业外商及港澳台商投资工业企业工业销售产值(现价),专用设备制造业外商及港澳台商投资工业企业工业销售产值(现价),汽车制造业外商及港澳台商投资工业企业工业销售产值(现价),铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业工业销售产值(现价),电气机械和器材制造业外商及港澳台商投资工业企业工业销售产值(现价),计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业工业销售产值(现价),仪器仪表制造业外商及港澳台商投资工业企业工业销售产值(现价),其他制造业外商及港澳台商投资工业企业工业销售产值(现价),废弃资源综合利用业外商及港澳台商投资工业企业工业销售产值(现价),金属制品、机械和设备修理业外商及港澳台商投资工业企业工业销售产值(现价),电力、热力生产和供应业外商及港澳台商投资工业企业工业销售产值(现价),燃气生产和供应业外商及港澳台商投资工业企业工业销售产值(现价),水的生产和供应业外商及港澳台商投资工业企业工业销售产值(现价)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,248644.78,302.28,386.71,272.35,89.34,110.66,106.86,,9543.38,5479.87,4103.96,7.18,5649.09,6271.82,4846.11,1042.98,1881.67,3751.9,1295.21,4757.23,3770.01,18332.99,5439.35,1911.56,6604.57,5311.36,6505.65,6013.92,6283.15,10850.02,6119.22,36411.52,2979.24,17182.63,55796.94,2561.97,581.8,382.96,592.62,2663.78,2123.63,327.29
2015,245422.94,961.28,448.97,628.05,95.79,126.69,120.65,0.0,9744.8,5386.81,4108.96,6.15,5635.32,6218.61,4943.15,1050.62,1831.19,3616.09,1268.7,4676.59,3821.51,18290.74,5048.05,2061.86,6556.26,5317.91,6114.35,5306.45,6278.6,10880.91,6266.8,32302.61,3379.92,16732.3,57088.17,2403.42,576.4,386.83,368.87,2937.68,2147.31,287.58
2014,250880.74,1606.77,631.69,321.48,147.67,123.89,130.82,0.0,10026.24,5372.13,4032.26,2.25,5963.15,6334.44,4817.82,1113.24,1807.29,3589.56,1324.67,4735.13,4949.6,18945.13,4917.42,2119.78,6854.1,5594.66,7486.78,5383.55,6584.15,11365.71,6572.2,31278.48,3438.51,17156.82,57346.79,2395.98,559.0,354.46,281.13,3006.62,1946.1,263.27
2013,241273.17,1572.18,665.73,286.1,157.25,125.83,126.98,0.0,10273.32,5320.12,3896.88,2.25,5888.46,6114.31,4546.02,1019.99,1733.01,3422.14,1238.66,4310.34,4800.64,17427.64,4362.1,2131.28,7052.58,5407.26,8541.47,5216.45,6278.21,10760.45,6247.64,27883.92,3321.36,16447.24,56036.77,2253.9,523.11,528.57,265.26,3197.34,1644.15,246.25
2012,219943.34,1326.59551,673.00615,252.92635,133.09946,110.04559,126.60533,,9949.11299,4866.21337,3628.90613,1.67387,5504.89392,5832.77223,4344.53161,967.67042,1538.7476,3417.88446,1011.73866,3577.9362,4792.04035,15549.30532,3941.09146,1851.88992,6584.79765,5081.55892,8132.66167,4661.16284,5884.16569,9881.40789,5881.15662,22593.07609,3318.38415,15129.61186,51671.66114,2030.95346,492.70023,508.24393,259.30649,2892.03776,1323.283,218.48795
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
