年份,外商及港澳台商投资工业企业销售费用,煤炭开采和洗选业外商及港澳台商投资工业企业销售费用,石油和天然气开采业外商及港澳台商投资工业企业销售费用,黑色金属矿采选业外商及港澳台商投资工业企业销售费用,有色金属矿采选业外商及港澳台商投资工业企业销售费用,非金属矿采选业外商及港澳台商投资工业企业销售费用,开采辅助活动外商及港澳台商投资工业企业销售费用,其他采矿业外商及港澳台商投资工业企业销售费用,农副食品加工业外商及港澳台商投资工业企业销售费用,食品制造业外商及港澳台商投资工业企业销售费用,酒、饮料和精制茶制造业外商及港澳台商投资工业企业销售费用,烟草制品业外商及港澳台商投资工业企业销售费用,纺织业外商及港澳台商投资工业企业销售费用,纺织服装、服饰业外商及港澳台商投资工业企业销售费用,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业销售费用,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业销售费用,家具制造业外商及港澳台商投资工业企业销售费用,造纸和纸制品业外商及港澳台商投资工业企业销售费用,印刷和记录媒介复制业外商及港澳台商投资工业企业销售费用,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业销售费用,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业销售费用,化学原料和化学制品制造业外商及港澳台商投资工业企业销售费用,医药制造业外商及港澳台商投资工业企业销售费用,化学纤维制造业外商及港澳台商投资工业企业销售费用,橡胶和塑料制品业外商及港澳台商投资工业企业销售费用,非金属矿物制品业外商及港澳台商投资工业企业销售费用,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业销售费用,有色金属冶炼和压延加工业外商及港澳台商投资工业企业销售费用,金属制品业外商及港澳台商投资工业企业销售费用,通用设备制造业外商及港澳台商投资工业企业销售费用,专用设备制造业外商及港澳台商投资工业企业销售费用,汽车制造业外商及港澳台商投资工业企业销售费用,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业销售费用,电气机械和器材制造业外商及港澳台商投资工业企业销售费用,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业销售费用,仪器仪表制造业外商及港澳台商投资工业企业销售费用,其他制造业外商及港澳台商投资工业企业销售费用,废弃资源综合利用业外商及港澳台商投资工业企业销售费用,金属制品、机械和设备修理业外商及港澳台商投资工业企业销售费用,电力、热力生产和供应业外商及港澳台商投资工业企业销售费用,燃气生产和供应业外商及港澳台商投资工业企业销售费用,水的生产和供应业外商及港澳台商投资工业企业销售费用
2019,8103.55,16.92,3.08,1.43,0.95,4.67,0.66,,207.9,881.74,393.61,,92.51,153.97,120.98,15.86,54.96,165.45,40.29,74.44,57.4,702.87,1272.5,20.3,219.72,162.2,46.74,46.44,143.18,438.63,269.95,1022.13,54.26,530.94,664.14,94.39,15.71,3.13,4.32,3.59,86.75,14.73
2018,8141.62,10.2,1.0,2.1,1.1,5.0,0.3,,229.5,732.1,461.7,0.2,94.7,260.0,125.4,21.2,68.1,168.0,39.6,88.0,68.2,947.3,1341.9,21.9,219.9,163.6,61.2,50.2,159.8,430.3,280.6,1043.6,49.1,478.8,665.7,107.5,15.4,2.3,3.4,3.6,78.3,15.0
2017,8328.49,12.59,1.03,2.37,1.21,4.81,0.23,,221.76,801.95,447.1,0.26,95.46,255.33,123.86,26.94,66.44,166.62,38.54,99.05,67.94,827.37,1135.41,24.63,222.81,183.4,73.67,47.99,150.27,394.7,262.82,1075.22,49.48,514.28,713.56,107.1,16.3,3.1,2.47,4.26,71.95,14.24
2016,8253.68,15.49,1.85,2.5,1.12,7.38,0.51,,216.62,835.01,490.8,0.17,97.61,265.12,129.57,29.65,74.26,157.13,38.9,95.94,62.91,942.69,969.16,25.75,211.9,181.85,70.11,48.56,154.28,376.48,227.13,1035.45,51.11,529.89,703.88,96.07,15.92,2.66,6.41,4.23,63.53,14.09
2015,8006.43,17.97,1.44,3.03,1.23,9.63,0.66,0.0,223.86,791.97,505.34,0.1,95.56,264.11,136.49,30.87,68.78,140.45,38.31,96.75,59.41,951.78,880.7,23.88,211.88,180.76,65.55,49.65,160.6,384.51,223.82,940.19,53.21,500.33,698.87,97.17,17.27,2.78,3.08,4.01,58.03,12.4
2014,8123.59,26.7,2.87,5.14,1.95,9.19,0.98,0.0,220.34,788.31,516.58,0.05,100.6,262.1,141.0,34.5,65.29,147.71,39.52,92.52,63.83,910.81,894.53,23.67,211.0,178.33,68.44,47.72,160.32,392.84,233.99,999.42,60.85,497.82,741.74,93.02,16.51,2.7,2.48,3.5,53.3,11.43
2013,7832.22,28.25,1.45,2.74,1.8,9.78,1.18,0.0,276.42,803.47,501.49,0.05,96.54,260.13,134.59,32.76,58.77,138.89,36.74,90.35,56.18,787.14,785.55,21.71,209.99,183.09,73.18,49.33,150.6,371.03,230.28,947.22,51.54,487.0,776.04,88.08,15.46,5.93,2.4,7.95,46.54,10.56
2012,7104.41386,27.35105,1.48594,2.65527,1.50167,8.81779,3.6266,,265.78139,714.03592,448.09099,0.03858,93.48681,268.29943,129.89536,29.18802,54.73277,135.96778,31.08727,75.63641,49.98989,785.74292,694.69918,18.89417,193.83131,177.10208,66.35964,40.05519,136.34388,333.93257,219.57247,719.21278,48.89808,454.20041,721.65278,79.56833,14.60518,3.60144,2.53347,5.21597,38.20753,8.51554
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
