年份,外商及港澳台商投资工业企业利润总额,煤炭开采和洗选业外商及港澳台商投资工业企业利润总额,石油和天然气开采业外商及港澳台商投资工业企业利润总额,黑色金属矿采选业外商及港澳台商投资工业企业利润总额,有色金属矿采选业外商及港澳台商投资工业企业利润总额,非金属矿采选业外商及港澳台商投资工业企业利润总额,开采辅助活动外商及港澳台商投资工业企业利润总额,其他采矿业外商及港澳台商投资工业企业利润总额,农副食品加工业外商及港澳台商投资工业企业利润总额,食品制造业外商及港澳台商投资工业企业利润总额,酒、饮料和精制茶制造业外商及港澳台商投资工业企业利润总额,烟草制品业外商及港澳台商投资工业企业利润总额,纺织业外商及港澳台商投资工业企业利润总额,纺织服装、服饰业外商及港澳台商投资工业企业利润总额,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业利润总额,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业利润总额,家具制造业外商及港澳台商投资工业企业利润总额,造纸和纸制品业外商及港澳台商投资工业企业利润总额,印刷和记录媒介复制业外商及港澳台商投资工业企业利润总额,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业利润总额,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业利润总额,化学原料和化学制品制造业外商及港澳台商投资工业企业利润总额,医药制造业外商及港澳台商投资工业企业利润总额,化学纤维制造业外商及港澳台商投资工业企业利润总额,橡胶和塑料制品业外商及港澳台商投资工业企业利润总额,非金属矿物制品业外商及港澳台商投资工业企业利润总额,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业利润总额,有色金属冶炼和压延加工业外商及港澳台商投资工业企业利润总额,金属制品业外商及港澳台商投资工业企业利润总额,通用设备制造业外商及港澳台商投资工业企业利润总额,专用设备制造业外商及港澳台商投资工业企业利润总额,汽车制造业外商及港澳台商投资工业企业利润总额,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业利润总额,电气机械和器材制造业外商及港澳台商投资工业企业利润总额,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业利润总额,仪器仪表制造业外商及港澳台商投资工业企业利润总额,其他制造业外商及港澳台商投资工业企业利润总额,废弃资源综合利用业外商及港澳台商投资工业企业利润总额,金属制品、机械和设备修理业外商及港澳台商投资工业企业利润总额,电力、热力生产和供应业外商及港澳台商投资工业企业利润总额,燃气生产和供应业外商及港澳台商投资工业企业利润总额,水的生产和供应业外商及港澳台商投资工业企业利润总额
2019,16483.02,222.77,857.55,12.55,17.79,10.48,11.72,,304.88,617.95,269.79,,222.59,213.33,302.91,20.61,102.69,304.75,91.18,175.67,265.54,1221.12,818.7,78.9,393.14,601.83,247.4,189.48,287,958.18,566.51,2928.28,169.49,979.36,1735.98,228.27,33.61,30.74,47.39,532,311.4,98.93
2018,16943.49,143.6,282.9,11.8,24.8,8.2,10.1,,363.9,521.9,307.0,1.0,260.7,224.8,275.9,23.7,98.0,320.0,90.4,181.9,409.2,1471.7,841.5,84.5,316.9,586.2,424.5,148.4,296,965.7,609.0,3349.1,139.3,946.1,1953.9,252.2,26.5,36.3,24.3,364.9,290.0,88.7
2017,18412.38,175.32,184.9,7.13,20.5,6.33,6.38,,422.41,564.84,317.65,0.91,298.12,290.59,322.67,48.75,121.43,385.55,94.32,232.08,412.65,1584.67,840.86,115.48,377.03,489.79,431.88,256.39,309.9,922.38,582.74,3617.62,200.7,991.69,2707.92,264.55,35.32,45.34,19.49,347.18,268.35,90.58
2016,17597.47,65.84,99.72,22.64,7.61,7.96,6.82,,488.0,570.78,360.37,1.45,347.75,349.82,329.26,55.23,110.92,269.69,111.54,235.69,344.14,1358.43,757.11,117.53,410.97,427.64,255.33,257.37,364.48,905.26,456.05,3511.57,282.72,1149.65,2456.61,223.72,36.39,26.36,-25.85,537.38,239.71,63.82
2015,15905.78,87.66,122.46,43.55,8.25,9.09,13.22,0.0,465.38,514.14,378.64,1.15,323.4,341.78,323.98,52.91,110.19,223.52,122.29,219.63,177.54,1123.57,652.07,105.31,351.75,305.32,122.33,140.35,338.75,874.54,378.83,3253.08,235.24,994.86,2202.99,198.33,34.11,21.48,19.11,715.93,238.53,60.51
2014,16577.31,183.64,242.51,15.31,19.54,8.41,15.13,0.0,449.53,527.74,350.08,0.79,343.17,377.68,315.82,61.46,107.17,196.88,126.94,226.74,43.5,1049.09,585.66,105.52,374.52,440.93,186.47,171.07,359.71,911.03,482.1,3339.85,292.81,1027.54,2461.13,220.64,30.84,5.95,6.37,634.9,225.36,53.77
2013,15802.58,231.55,224.98,28.57,31.06,8.63,15.49,0.0,544.03,548.46,354.26,0.85,356.18,373.11,299.46,62.13,97.51,221.85,113.52,210.47,109.09,1089.23,504.32,108.11,433.27,426.42,203.75,188.41,372.41,809.28,480.46,2859.26,229.17,935.24,2294.83,200.6,27.9,10.68,7.33,546.96,198.03,45.72
2012,13965.94,286.8553,263.86629,31.59619,36.99597,9.50737,13.65541,,589.13332,500.15848,297.64123,0.50019,300.93217,376.42271,305.36523,53.34585,88.31838,211.47918,100.62202,187.35154,23.17568,1002.40626,471.19109,103.89491,333.50024,350.47835,172.12498,181.72012,349.15094,741.46391,450.31466,2297.40557,255.06457,850.27025,1968.43374,182.59178,30.84866,11.44451,3.64272,336.10928,160.74057,36.22117
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
