年份,外商及港澳台商投资工业企业应付帐款,煤炭开采和洗选业外商及港澳台商投资工业企业应付帐款,石油和天然气开采业外商及港澳台商投资工业企业应付帐款,黑色金属矿采选业外商及港澳台商投资工业企业应付帐款,有色金属矿采选业外商及港澳台商投资工业企业应付帐款,非金属矿采选业外商及港澳台商投资工业企业应付帐款,开采辅助活动外商及港澳台商投资工业企业应付帐款,其他采矿业外商及港澳台商投资工业企业应付帐款,农副食品加工业外商及港澳台商投资工业企业应付帐款,食品制造业外商及港澳台商投资工业企业应付帐款,酒、饮料和精制茶制造业外商及港澳台商投资工业企业应付帐款,烟草制品业外商及港澳台商投资工业企业应付帐款,纺织业外商及港澳台商投资工业企业应付帐款,纺织服装、服饰业外商及港澳台商投资工业企业应付帐款,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业应付帐款,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业应付帐款,家具制造业外商及港澳台商投资工业企业应付帐款,造纸和纸制品业外商及港澳台商投资工业企业应付帐款,印刷和记录媒介复制业外商及港澳台商投资工业企业应付帐款,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业应付帐款,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业应付帐款,化学原料和化学制品制造业外商及港澳台商投资工业企业应付帐款,医药制造业外商及港澳台商投资工业企业应付帐款,化学纤维制造业外商及港澳台商投资工业企业应付帐款,橡胶和塑料制品业外商及港澳台商投资工业企业应付帐款,非金属矿物制品业外商及港澳台商投资工业企业应付帐款,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业应付帐款,有色金属冶炼和压延加工业外商及港澳台商投资工业企业应付帐款,金属制品业外商及港澳台商投资工业企业应付帐款,通用设备制造业外商及港澳台商投资工业企业应付帐款,专用设备制造业外商及港澳台商投资工业企业应付帐款,汽车制造业外商及港澳台商投资工业企业应付帐款,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业应付帐款,电气机械和器材制造业外商及港澳台商投资工业企业应付帐款,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业应付帐款,仪器仪表制造业外商及港澳台商投资工业企业应付帐款,其他制造业外商及港澳台商投资工业企业应付帐款,废弃资源综合利用业外商及港澳台商投资工业企业应付帐款,金属制品、机械和设备修理业外商及港澳台商投资工业企业应付帐款,电力、热力生产和供应业外商及港澳台商投资工业企业应付帐款,燃气生产和供应业外商及港澳台商投资工业企业应付帐款,水的生产和供应业外商及港澳台商投资工业企业应付帐款
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,39988.56,87.89,87.71,23.47,15.46,9.98,11.5,,630.17,544.55,430.51,0.7,467.45,507.5,315.81,48.37,234.96,569.66,181.77,368.81,364.67,1893.14,631.27,107.44,916.31,655.29,660.6,642.72,680.78,2047.11,1224.86,7801.31,387.89,2759.76,13393.19,419.21,49.9,23.71,51.7,405.01,255.78,80.68
2016,37153.57,71.0,73.52,27.22,12.68,11.9,8.33,,570.57,586.05,512.2,0.72,454.35,486.48,331.08,56.22,231.98,495.58,165.99,336.17,343.84,1830.99,561.0,128.67,856.4,638.66,757.31,561.53,654.86,1844.8,1074.03,7293.45,372.52,2536.78,12013.75,373.34,53.33,19.57,166.85,354.58,223.71,61.58
2015,33232.5,71.01,83.26,26.16,13.55,10.87,10.51,0.0,510.07,491.61,471.34,0.94,444.0,466.6,326.05,58.9,217.86,492.86,156.94,352.05,273.87,1664.72,500.98,151.52,802.52,644.18,646.79,426.64,612.86,1672.38,1048.15,6242.76,451.6,2391.67,10509.6,350.89,50.3,25.14,51.91,300.1,166.12,43.23
2014,34141.36,50.47,90.22,24.92,13.99,7.38,11.64,0.0,675.39,505.36,449.17,0.1,477.29,464.47,342.31,72.33,222.62,522.6,174.15,484.24,428.19,1790.32,553.42,187.98,830.96,652.8,687.05,457.48,649.97,1794.96,1207.2,5439.01,473.86,2365.5,10987.16,349.14,47.12,31.48,44.22,333.79,206.97,34.13
2013,33181.59,514.23,86.13,19.02,8.75,5.79,13.03,0.0,781.89,520.6,416.05,0.11,493.46,490.39,374.41,65.53,236.06,581.94,187.1,360.39,485.66,1779.69,448.77,175.53,833.02,653.81,851.46,501.89,618.99,1712.29,1191.05,4929.58,468.94,2471.58,9865.53,339.96,44.18,66.12,37.26,336.35,185.75,29.27
2012,30517.05,496.65426,89.19137,29.45449,6.18518,5.99835,10.9445,,753.68511,497.46539,399.27753,0.14408,486.46017,475.47426,365.12624,60.9032,198.9005,519.10851,156.973,313.71269,437.07165,1543.488,381.85679,176.28813,826.03793,613.81953,759.1769,408.17803,596.0682,1587.15904,1060.73847,3730.9,496.38561,2246.65393,9833.42781,315.78672,45.94947,65.07866,28.81798,307.35172,155.27674,35.8757
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
