年份,外商及港澳台商投资工业企业外商资本金,煤炭开采和洗选业外商及港澳台商投资工业企业外商资本金,石油和天然气开采业外商及港澳台商投资工业企业外商资本金,黑色金属矿采选业外商及港澳台商投资工业企业外商资本金,有色金属矿采选业外商及港澳台商投资工业企业外商资本金,非金属矿采选业外商及港澳台商投资工业企业外商资本金,开采辅助活动外商及港澳台商投资工业企业外商资本金,其他采矿业外商及港澳台商投资工业企业外商资本金,农副食品加工业外商及港澳台商投资工业企业外商资本金,食品制造业外商及港澳台商投资工业企业外商资本金,酒、饮料和精制茶制造业外商及港澳台商投资工业企业外商资本金,烟草制品业外商及港澳台商投资工业企业外商资本金,纺织业外商及港澳台商投资工业企业外商资本金,纺织服装、服饰业外商及港澳台商投资工业企业外商资本金,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业外商资本金,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业外商资本金,家具制造业外商及港澳台商投资工业企业外商资本金,造纸和纸制品业外商及港澳台商投资工业企业外商资本金,印刷和记录媒介复制业外商及港澳台商投资工业企业外商资本金,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业外商资本金,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业外商资本金,化学原料和化学制品制造业外商及港澳台商投资工业企业外商资本金,医药制造业外商及港澳台商投资工业企业外商资本金,化学纤维制造业外商及港澳台商投资工业企业外商资本金,橡胶和塑料制品业外商及港澳台商投资工业企业外商资本金,非金属矿物制品业外商及港澳台商投资工业企业外商资本金,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业外商资本金,有色金属冶炼和压延加工业外商及港澳台商投资工业企业外商资本金,金属制品业外商及港澳台商投资工业企业外商资本金,通用设备制造业外商及港澳台商投资工业企业外商资本金,专用设备制造业外商及港澳台商投资工业企业外商资本金,汽车制造业外商及港澳台商投资工业企业外商资本金,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业外商资本金,电气机械和器材制造业外商及港澳台商投资工业企业外商资本金,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业外商资本金,仪器仪表制造业外商及港澳台商投资工业企业外商资本金,其他制造业外商及港澳台商投资工业企业外商资本金,废弃资源综合利用业外商及港澳台商投资工业企业外商资本金,金属制品、机械和设备修理业外商及港澳台商投资工业企业外商资本金,电力、热力生产和供应业外商及港澳台商投资工业企业外商资本金,燃气生产和供应业外商及港澳台商投资工业企业外商资本金,水的生产和供应业外商及港澳台商投资工业企业外商资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,21637.05,34.06,10.66,1.03,10.41,11.11,0.48,,561.02,541.08,546.36,2.24,352.78,215.89,182.93,44.28,109.66,880.77,138.49,212.05,155.56,2503.07,428.25,128.18,865.6,694.25,399.44,296.89,643.67,1380.72,840.69,2544.78,256.31,1260.94,4366.04,260.58,63.04,16.95,30.08,395.25,154.23,97.24
2016,22939.93,33.35,10.34,10.46,7.94,18.35,3.69,,573.98,549.88,581.68,2.24,401.31,233.87,193.04,50.83,118.83,855.97,131.87,228.68,165.19,2445.75,507.0,122.97,910.73,696.75,391.43,321.05,667.39,1387.72,865.82,3544.28,261.14,1306.85,4314.6,232.44,61.82,17.53,52.47,359.94,158.96,141.8
2015,21475.51,46.5,9.48,2.15,9.85,21.15,4.17,0.0,551.71,515.02,550.66,2.24,423.72,252.73,212.9,47.13,140.63,808.57,101.81,217.64,155.4,2403.09,525.92,132.22,964.56,700.0,462.62,278.58,635.72,1392.08,956.7,2258.39,291.31,1343.74,4049.56,227.22,61.82,23.46,32.76,360.03,153.37,148.9
2014,22505.82,44.07,7.84,1.36,11.96,15.51,4.35,0.0,537.59,497.92,512.44,0.0,449.99,298.26,236.43,69.26,151.73,1031.54,110.6,225.54,167.36,2587.67,521.46,177.99,951.27,669.11,456.37,326.28,666.39,1427.8,1314.57,2142.67,338.73,1375.95,4190.58,230.66,83.19,23.91,34.64,354.66,116.78,141.39
2013,21432.92,41.73,12.91,4.12,12.69,14.67,1.15,0.0,523.08,480.92,573.11,0.0,488.38,309.56,236.65,58.56,154.85,941.72,113.0,217.67,160.96,2393.3,481.1,134.07,950.96,721.28,531.71,290.06,617.31,1350.91,932.8,1940.48,284.52,1405.27,4049.16,245.58,58.31,22.46,44.37,359.63,143.35,130.56
2012,20230.68,38.58831,9.02155,3.70238,14.49032,10.15159,0.84942,,507.86385,476.09964,471.99968,,453.09548,310.50605,234.15393,81.96951,150.06165,931.97812,84.61589,202.60455,158.38909,2197.5539,440.34186,127.05602,954.68874,716.85387,504.08585,312.34551,575.72825,1213.99669,840.05027,1793.68618,294.94904,1374.27252,3784.12048,254.18879,50.88233,26.25961,34.0377,339.64197,128.59953,127.19847
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
