年份,外商及港澳台商投资工业企业国家资本金,煤炭开采和洗选业外商及港澳台商投资工业企业国家资本金,石油和天然气开采业外商及港澳台商投资工业企业国家资本金,黑色金属矿采选业外商及港澳台商投资工业企业国家资本金,有色金属矿采选业外商及港澳台商投资工业企业国家资本金,非金属矿采选业外商及港澳台商投资工业企业国家资本金,开采辅助活动外商及港澳台商投资工业企业国家资本金,其他采矿业外商及港澳台商投资工业企业国家资本金,农副食品加工业外商及港澳台商投资工业企业国家资本金,食品制造业外商及港澳台商投资工业企业国家资本金,酒、饮料和精制茶制造业外商及港澳台商投资工业企业国家资本金,烟草制品业外商及港澳台商投资工业企业国家资本金,纺织业外商及港澳台商投资工业企业国家资本金,纺织服装、服饰业外商及港澳台商投资工业企业国家资本金,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业国家资本金,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业国家资本金,家具制造业外商及港澳台商投资工业企业国家资本金,造纸和纸制品业外商及港澳台商投资工业企业国家资本金,印刷和记录媒介复制业外商及港澳台商投资工业企业国家资本金,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业国家资本金,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业国家资本金,化学原料和化学制品制造业外商及港澳台商投资工业企业国家资本金,医药制造业外商及港澳台商投资工业企业国家资本金,化学纤维制造业外商及港澳台商投资工业企业国家资本金,橡胶和塑料制品业外商及港澳台商投资工业企业国家资本金,非金属矿物制品业外商及港澳台商投资工业企业国家资本金,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业国家资本金,有色金属冶炼和压延加工业外商及港澳台商投资工业企业国家资本金,金属制品业外商及港澳台商投资工业企业国家资本金,通用设备制造业外商及港澳台商投资工业企业国家资本金,专用设备制造业外商及港澳台商投资工业企业国家资本金,汽车制造业外商及港澳台商投资工业企业国家资本金,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业国家资本金,电气机械和器材制造业外商及港澳台商投资工业企业国家资本金,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业国家资本金,仪器仪表制造业外商及港澳台商投资工业企业国家资本金,其他制造业外商及港澳台商投资工业企业国家资本金,废弃资源综合利用业外商及港澳台商投资工业企业国家资本金,金属制品、机械和设备修理业外商及港澳台商投资工业企业国家资本金,电力、热力生产和供应业外商及港澳台商投资工业企业国家资本金,燃气生产和供应业外商及港澳台商投资工业企业国家资本金,水的生产和供应业外商及港澳台商投资工业企业国家资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3636.5,27.2,3.1,2.14,6.0,0.87,0.19,,78.47,25.82,127.39,2.34,5.88,2.91,0.11,0.57,2.5,42.92,8.88,1.89,95.77,232.92,45.16,44.22,22.41,91.65,113.55,105.59,24.81,135.19,60.85,620.81,53.96,90.03,309.74,7.7,1.46,4.72,24.14,943.9,137.09,131.64
2016,3083.07,27.63,5.15,0.08,2.65,0.4,0.19,,73.28,23.24,39.36,1.71,6.09,2.02,1.56,1.27,3.15,56.49,9.74,2.16,88.75,264.29,44.57,34.65,36.7,86.51,127.23,49.42,29.31,91.01,72.81,501.85,60.11,62.95,339.88,8.02,1.6,2.37,34.24,722.19,91.74,76.72
2015,2706.84,17.62,3.1,2.13,4.96,6.5,0.0,0.0,59.71,25.4,28.46,2.24,6.27,4.61,1.85,1.29,3.01,61.25,11.55,1.6,36.75,192.31,44.21,28.49,26.1,93.1,105.46,106.11,25.56,92.17,75.83,487.91,40.66,55.76,171.51,8.23,0.28,3.52,21.17,666.89,109.75,73.54
2014,2711.56,16.71,0.0,0.27,16.94,1.99,0.0,0.0,57.31,12.09,25.37,0.0,4.58,3.35,1.29,4.11,4.6,50.52,9.12,1.44,8.99,234.66,38.23,13.67,24.66,78.63,114.87,54.2,25.98,90.47,62.01,446.33,45.9,50.29,259.76,6.29,1.6,0.94,24.87,748.36,97.21,73.94
2013,2507.52,20.77,5.59,3.03,9.05,3.52,0.19,0.0,40.06,8.04,21.5,0.0,7.37,3.62,0.54,3.74,3.63,70.22,9.35,10.9,39.1,169.35,46.19,31.33,16.44,74.57,80.63,58.23,34.16,73.67,34.55,380.96,45.54,61.13,201.29,9.45,0.21,1.47,14.17,761.5,79.53,72.9
2012,1988.19,16.728,,0.1535,9.92272,1.35721,0.11013,,34.26305,6.81232,16.87993,,3.86339,1.65591,0.85736,1.36969,3.80857,14.86703,11.88319,1.81746,35.79233,74.73408,35.11975,26.46108,25.2511,60.97,95.64396,35.31001,31.94807,50.40489,22.06495,329.42824,24.2653,42.78038,205.3945,6.05139,0.3105,1.26268,30.74769,604.9748,54.07598,68.84591
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
