年份,外商及港澳台商投资工业企业存货,煤炭开采和洗选业外商及港澳台商投资工业企业存货,石油和天然气开采业外商及港澳台商投资工业企业存货,黑色金属矿采选业外商及港澳台商投资工业企业存货,有色金属矿采选业外商及港澳台商投资工业企业存货,非金属矿采选业外商及港澳台商投资工业企业存货,开采辅助活动外商及港澳台商投资工业企业存货,其他采矿业外商及港澳台商投资工业企业存货,农副食品加工业外商及港澳台商投资工业企业存货,食品制造业外商及港澳台商投资工业企业存货,酒、饮料和精制茶制造业外商及港澳台商投资工业企业存货,烟草制品业外商及港澳台商投资工业企业存货,纺织业外商及港澳台商投资工业企业存货,纺织服装、服饰业外商及港澳台商投资工业企业存货,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业存货,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业存货,家具制造业外商及港澳台商投资工业企业存货,造纸和纸制品业外商及港澳台商投资工业企业存货,印刷和记录媒介复制业外商及港澳台商投资工业企业存货,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业存货,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业存货,化学原料和化学制品制造业外商及港澳台商投资工业企业存货,医药制造业外商及港澳台商投资工业企业存货,化学纤维制造业外商及港澳台商投资工业企业存货,橡胶和塑料制品业外商及港澳台商投资工业企业存货,非金属矿物制品业外商及港澳台商投资工业企业存货,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业存货,有色金属冶炼和压延加工业外商及港澳台商投资工业企业存货,金属制品业外商及港澳台商投资工业企业存货,通用设备制造业外商及港澳台商投资工业企业存货,专用设备制造业外商及港澳台商投资工业企业存货,汽车制造业外商及港澳台商投资工业企业存货,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业存货,电气机械和器材制造业外商及港澳台商投资工业企业存货,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业存货,仪器仪表制造业外商及港澳台商投资工业企业存货,其他制造业外商及港澳台商投资工业企业存货,废弃资源综合利用业外商及港澳台商投资工业企业存货,金属制品、机械和设备修理业外商及港澳台商投资工业企业存货,电力、热力生产和供应业外商及港澳台商投资工业企业存货,燃气生产和供应业外商及港澳台商投资工业企业存货,水的生产和供应业外商及港澳台商投资工业企业存货
2019,25934.25,33.8,42.51,7.56,16.03,7.1,1.73,,1005.43,469.02,315.3,,656.09,542.8,310.3,83.61,202.19,370.25,134.11,708.14,361.46,1530.13,1152.1,185.16,842.17,548.99,553.31,685.3,834.22,2180.99,1333.03,2808.8,647.1,1680.45,4801.14,351.08,75,22.02,78.64,239.42,82.54,34.08
2018,26854.34,19.3,21.4,11.9,15.2,10.1,1.6,,1092.9,430.5,361.7,1.8,734.8,642.9,379.6,107.0,204.3,478.4,141.1,748.7,424.5,1682.7,1131.2,207.1,900.0,596.5,649.4,631.0,827.9,2162.1,1382.7,2994.3,644.0,1742.0,5516.9,386.3,72,37.2,64.2,163.9,80.0,18.2
2017,25712.28,25.54,23.11,16.7,15.48,13.48,1.99,,1125.23,422.9,348.85,1.86,694.48,624.54,387.5,108.75,223.38,449.07,139.71,658.74,352.57,1529.19,992.96,191.07,855.86,594.46,690.49,749.94,754.79,1860.37,1351.5,2762.57,457.82,1674.13,4836.27,366.34,71.35,32.59,54.81,163.23,74.31,14.36
2016,23936.67,32.9,26.47,17.38,16.14,13.13,3.72,,1012.3,416.58,371.93,2.03,706.36,646.96,412.4,116.51,220.58,365.62,130.33,592.97,338.7,1476.47,845.66,209.49,775.0,574.58,669.0,621.67,713.12,1792.42,1219.54,2457.08,488.8,1512.31,4411.11,324.32,67.43,30.21,82.16,146.03,64.03,13.23
2015,23622.18,162.07,31.32,63.66,18.29,11.85,4.17,0.0,945.09,428.24,373.88,1.75,742.31,665.68,448.34,124.53,237.87,404.38,130.28,567.95,291.81,1461.43,791.06,258.38,783.66,594.34,612.74,587.79,725.58,1776.42,1253.94,2194.21,533.79,1498.21,4219.1,324.79,69.53,36.7,50.22,129.2,54.79,12.82
2014,24840.3,297.37,36.14,16.86,27.08,9.39,4.31,0.0,1029.0,452.54,400.78,0.1,792.24,704.4,468.99,130.48,250.72,405.82,136.01,594.76,388.08,1603.33,733.53,256.54,854.69,626.24,783.17,569.17,814.28,1813.12,1279.04,2240.33,586.89,1660.95,4159.93,346.37,72.12,43.81,39.93,147.33,54.21,10.22
2013,24399.05,149.63,31.95,10.6,18.11,9.12,6.14,0.0,1008.01,432.53,402.45,0.11,809.86,730.97,460.47,130.45,252.58,405.62,134.58,595.99,560.15,1560.24,677.39,257.36,876.05,628.37,1025.96,584.24,789.87,1787.45,1251.67,1873.19,593.26,1641.83,3973.23,336.03,73.82,75.49,31.23,152.49,51.79,8.77
2012,23510.76283,104.42133,28.33997,13.52157,13.97642,7.47872,3.749,,1033.57925,410.17099,378.69253,0.08898,762.97798,721.30936,466.5963,126.14758,235.68478,409.08461,123.58789,503.30538,494.35211,1454.31345,604.85489,231.32617,840.63567,607.10857,989.48888,577.19548,791.0114,1737.73699,1236.15991,1648.52391,624.15146,1619.05351,3984.60256,320.16635,68.01536,88.96644,29.69117,163.34957,50.08596,7.26038
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
