年份,外商及港澳台商投资工业企业个人资本金,煤炭开采和洗选业外商及港澳台商投资工业企业个人资本金,石油和天然气开采业外商及港澳台商投资工业企业个人资本金,黑色金属矿采选业外商及港澳台商投资工业企业个人资本金,有色金属矿采选业外商及港澳台商投资工业企业个人资本金,非金属矿采选业外商及港澳台商投资工业企业个人资本金,开采辅助活动外商及港澳台商投资工业企业个人资本金,其他采矿业外商及港澳台商投资工业企业个人资本金,农副食品加工业外商及港澳台商投资工业企业个人资本金,食品制造业外商及港澳台商投资工业企业个人资本金,酒、饮料和精制茶制造业外商及港澳台商投资工业企业个人资本金,烟草制品业外商及港澳台商投资工业企业个人资本金,纺织业外商及港澳台商投资工业企业个人资本金,纺织服装、服饰业外商及港澳台商投资工业企业个人资本金,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业个人资本金,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业个人资本金,家具制造业外商及港澳台商投资工业企业个人资本金,造纸和纸制品业外商及港澳台商投资工业企业个人资本金,印刷和记录媒介复制业外商及港澳台商投资工业企业个人资本金,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业个人资本金,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业个人资本金,化学原料和化学制品制造业外商及港澳台商投资工业企业个人资本金,医药制造业外商及港澳台商投资工业企业个人资本金,化学纤维制造业外商及港澳台商投资工业企业个人资本金,橡胶和塑料制品业外商及港澳台商投资工业企业个人资本金,非金属矿物制品业外商及港澳台商投资工业企业个人资本金,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业个人资本金,有色金属冶炼和压延加工业外商及港澳台商投资工业企业个人资本金,金属制品业外商及港澳台商投资工业企业个人资本金,通用设备制造业外商及港澳台商投资工业企业个人资本金,专用设备制造业外商及港澳台商投资工业企业个人资本金,汽车制造业外商及港澳台商投资工业企业个人资本金,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业个人资本金,电气机械和器材制造业外商及港澳台商投资工业企业个人资本金,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业个人资本金,仪器仪表制造业外商及港澳台商投资工业企业个人资本金,其他制造业外商及港澳台商投资工业企业个人资本金,废弃资源综合利用业外商及港澳台商投资工业企业个人资本金,金属制品、机械和设备修理业外商及港澳台商投资工业企业个人资本金,电力、热力生产和供应业外商及港澳台商投资工业企业个人资本金,燃气生产和供应业外商及港澳台商投资工业企业个人资本金,水的生产和供应业外商及港澳台商投资工业企业个人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1976.39,1.95,0.0,1.79,2.99,4.11,0.25,,66.61,37.26,39.47,0.36,82.33,66.17,37.42,14.41,15.1,40.82,19.4,47.07,49.25,201.64,103.73,12.32,62.75,119.98,84.82,42.16,63.37,110.74,67.94,79.49,27.67,174.34,217.72,27.61,2.93,2.82,1.79,19.38,17.76,8.68
2016,2177.71,4.08,,1.49,2.65,3.72,0.74,,64.95,46.87,57.47,0.36,93.17,86.28,42.47,19.81,22.6,55.29,23.97,47.21,45.0,254.39,95.09,27.94,56.87,120.34,87.69,45.88,67.34,129.79,88.58,69.91,43.83,233.55,156.68,30.84,2.63,3.36,5.68,13.4,21.53,4.25
2015,2054.75,18.82,0.0,2.09,2.56,7.29,0.25,0.0,114.16,45.11,56.25,0.36,104.82,100.97,40.99,31.92,18.75,34.62,22.58,47.51,37.43,218.07,92.05,12.82,50.14,106.73,40.08,41.18,80.46,119.0,86.08,67.04,31.24,188.31,145.29,37.01,2.68,5.16,2.8,30.02,9.76,2.35
2014,2100.22,20.99,0.0,3.24,3.77,2.55,0.0,0.0,99.82,43.58,58.91,0.36,119.5,108.96,43.03,25.26,21.69,29.98,21.47,46.68,42.68,121.21,61.87,13.58,63.5,101.06,40.63,36.67,73.21,284.97,95.39,55.52,36.39,187.76,155.85,30.5,4.52,2.59,1.36,30.17,8.9,2.1
2013,3100.04,19.1,0.0,5.36,3.46,2.43,0.0,0.0,1524.78,44.73,29.95,0.36,80.25,77.07,40.66,15.34,13.3,37.99,15.01,31.1,32.95,127.76,47.84,17.48,61.81,98.23,45.4,48.33,75.79,113.03,65.95,52.26,17.12,187.35,112.03,19.61,3.12,3.81,1.18,19.41,6.59,2.09
2012,1481.55,23.46205,,4.69886,4.51017,2.21984,,,70.32073,28.85735,26.75782,0.36304,73.71979,67.70263,37.87569,11.56892,15.23209,43.4077,17.61518,22.7928,24.84947,122.76323,40.11424,16.20707,54.17504,93.87921,52.22,30.00229,76.27476,99.23519,59.03858,49.94959,21.19977,134.54204,88.1022,26.38008,3.49726,8.79442,2.8475,16.71269,6.15829,3.50609
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
