年份,外商及港澳台商投资工业企业亏损企业单位数,煤炭开采和洗选业外商及港澳台商投资工业企业亏损企业单位数,石油和天然气开采业外商及港澳台商投资工业企业亏损企业单位数,黑色金属矿采选业外商及港澳台商投资工业企业亏损企业单位数,有色金属矿采选业外商及港澳台商投资工业企业亏损企业单位数,非金属矿采选业外商及港澳台商投资工业企业亏损企业单位数,开采辅助活动外商及港澳台商投资工业企业亏损企业单位数,其他采矿业外商及港澳台商投资工业企业亏损企业单位数,农副食品加工业外商及港澳台商投资工业企业亏损企业单位数,食品制造业外商及港澳台商投资工业企业亏损企业单位数,酒、饮料和精制茶制造业外商及港澳台商投资工业企业亏损企业单位数,烟草制品业外商及港澳台商投资工业企业亏损企业单位数,纺织业外商及港澳台商投资工业企业亏损企业单位数,纺织服装、服饰业外商及港澳台商投资工业企业亏损企业单位数,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业亏损企业单位数,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业亏损企业单位数,家具制造业外商及港澳台商投资工业企业亏损企业单位数,造纸和纸制品业外商及港澳台商投资工业企业亏损企业单位数,印刷和记录媒介复制业外商及港澳台商投资工业企业亏损企业单位数,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业亏损企业单位数,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业亏损企业单位数,化学原料和化学制品制造业外商及港澳台商投资工业企业亏损企业单位数,医药制造业外商及港澳台商投资工业企业亏损企业单位数,化学纤维制造业外商及港澳台商投资工业企业亏损企业单位数,橡胶和塑料制品业外商及港澳台商投资工业企业亏损企业单位数,非金属矿物制品业外商及港澳台商投资工业企业亏损企业单位数,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业亏损企业单位数,有色金属冶炼和压延加工业外商及港澳台商投资工业企业亏损企业单位数,金属制品业外商及港澳台商投资工业企业亏损企业单位数,通用设备制造业外商及港澳台商投资工业企业亏损企业单位数,专用设备制造业外商及港澳台商投资工业企业亏损企业单位数,汽车制造业外商及港澳台商投资工业企业亏损企业单位数,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业亏损企业单位数,电气机械和器材制造业外商及港澳台商投资工业企业亏损企业单位数,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业亏损企业单位数,仪器仪表制造业外商及港澳台商投资工业企业亏损企业单位数,其他制造业外商及港澳台商投资工业企业亏损企业单位数,废弃资源综合利用业外商及港澳台商投资工业企业亏损企业单位数,金属制品、机械和设备修理业外商及港澳台商投资工业企业亏损企业单位数,电力、热力生产和供应业外商及港澳台商投资工业企业亏损企业单位数,燃气生产和供应业外商及港澳台商投资工业企业亏损企业单位数,水的生产和供应业外商及港澳台商投资工业企业亏损企业单位数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,8412.0,10.0,1.0,10.0,7.0,10.0,0.0,,288.0,224.0,154.0,1.0,375.0,523.0,222.0,66.0,150.0,139.0,113.0,260.0,23.0,532.0,99.0,42.0,538.0,308.0,128.0,118.0,490.0,508.0,399.0,565.0,121.0,647.0,967.0,123.0,53.0,30.0,15.0,98.0,40.0,15.0
2016,8761.0,11.0,4.0,9.0,12.0,12.0,5.0,,290.0,207.0,165.0,,372.0,516.0,232.0,65.0,130.0,169.0,109.0,277.0,40.0,608.0,104.0,45.0,553.0,410.0,145.0,140.0,439.0,629.0,466.0,462.0,115.0,636.0,998.0,150.0,42.0,41.0,13.0,85.0,29.0,26.0
2015,10975.0,16.0,3.0,11.0,12.0,16.0,1.0,0.0,328.0,238.0,190.0,0.0,527.0,681.0,307.0,74.0,181.0,208.0,124.0,329.0,46.0,692.0,111.0,63.0,709.0,505.0,216.0,205.0,585.0,791.0,575.0,550.0,145.0,818.0,1291.0,166.0,49.0,64.0,10.0,88.0,31.0,19.0
2014,10586.0,11.0,1.0,12.0,8.0,16.0,2.0,0.0,354.0,223.0,181.0,0.0,584.0,768.0,269.0,68.0,198.0,214.0,115.0,326.0,47.0,634.0,120.0,67.0,759.0,405.0,184.0,193.0,536.0,689.0,527.0,448.0,135.0,821.0,1244.0,148.0,64.0,58.0,16.0,79.0,39.0,23.0
2013,11473.0,10.0,4.0,5.0,9.0,17.0,0.0,0.0,313.0,199.0,175.0,0.0,579.0,895.0,350.0,78.0,231.0,213.0,150.0,394.0,31.0,627.0,142.0,71.0,813.0,482.0,195.0,187.0,605.0,706.0,579.0,428.0,178.0,900.0,1451.0,159.0,83.0,62.0,15.0,80.0,36.0,21.0
2012,11521.0,8.0,5.0,6.0,5.0,15.0,,,279.0,213.0,171.0,,626.0,836.0,316.0,97.0,239.0,238.0,127.0,356.0,46.0,691.0,140.0,84.0,794.0,489.0,228.0,211.0,624.0,677.0,561.0,449.0,172.0,909.0,1498.0,153.0,68.0,41.0,17.0,93.0,24.0,15.0
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
