年份,外商及港澳台商投资工业企业出口交货值,煤炭开采和洗选业外商及港澳台商投资工业企业出口交货值,石油和天然气开采业外商及港澳台商投资工业企业出口交货值,黑色金属矿采选业外商及港澳台商投资工业企业出口交货值,有色金属矿采选业外商及港澳台商投资工业企业出口交货值,非金属矿采选业外商及港澳台商投资工业企业出口交货值,开采辅助活动外商及港澳台商投资工业企业出口交货值,其他采矿业外商及港澳台商投资工业企业出口交货值,农副食品加工业外商及港澳台商投资工业企业出口交货值,食品制造业外商及港澳台商投资工业企业出口交货值,酒、饮料和精制茶制造业外商及港澳台商投资工业企业出口交货值,烟草制品业外商及港澳台商投资工业企业出口交货值,纺织业外商及港澳台商投资工业企业出口交货值,纺织服装、服饰业外商及港澳台商投资工业企业出口交货值,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业出口交货值,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业出口交货值,家具制造业外商及港澳台商投资工业企业出口交货值,造纸和纸制品业外商及港澳台商投资工业企业出口交货值,印刷和记录媒介复制业外商及港澳台商投资工业企业出口交货值,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业出口交货值,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业出口交货值,化学原料和化学制品制造业外商及港澳台商投资工业企业出口交货值,医药制造业外商及港澳台商投资工业企业出口交货值,化学纤维制造业外商及港澳台商投资工业企业出口交货值,橡胶和塑料制品业外商及港澳台商投资工业企业出口交货值,非金属矿物制品业外商及港澳台商投资工业企业出口交货值,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业出口交货值,有色金属冶炼和压延加工业外商及港澳台商投资工业企业出口交货值,金属制品业外商及港澳台商投资工业企业出口交货值,通用设备制造业外商及港澳台商投资工业企业出口交货值,专用设备制造业外商及港澳台商投资工业企业出口交货值,汽车制造业外商及港澳台商投资工业企业出口交货值,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业出口交货值,电气机械和器材制造业外商及港澳台商投资工业企业出口交货值,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业出口交货值,仪器仪表制造业外商及港澳台商投资工业企业出口交货值,其他制造业外商及港澳台商投资工业企业出口交货值,废弃资源综合利用业外商及港澳台商投资工业企业出口交货值,金属制品、机械和设备修理业外商及港澳台商投资工业企业出口交货值,电力、热力生产和供应业外商及港澳台商投资工业企业出口交货值,燃气生产和供应业外商及港澳台商投资工业企业出口交货值,水的生产和供应业外商及港澳台商投资工业企业出口交货值
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,71228.75,,7.21,,0.29,3.63,,,1009.16,403.43,92.35,,1331.42,2374.53,1851.54,260.83,860.41,348.72,315.03,2314.16,252.55,1858.93,539.63,178.11,1844.21,717.42,499.22,420.06,1925.11,2997.51,1580.81,1737.94,1027.36,5519.66,37226.54,947.13,228.74,2.82,407.67,57.07,49.33,38.2
2015,72948.57,0.0,13.27,0.0,0.22,3.83,0.0,0.0,1069.12,393.65,91.3,0.0,1457.63,2487.28,1992.24,247.61,831.4,354.44,297.12,2415.44,233.25,1706.94,549.91,168.38,1939.16,738.44,551.07,441.15,2002.01,3147.4,1587.9,1585.03,1373.99,5628.3,38150.88,929.84,265.09,3.62,211.97,24.9,20.92,33.87
2014,77036.32,0.0,18.72,0.0,1.36,3.94,0.0,0.0,1153.89,393.81,124.69,0.0,1611.88,2669.76,1981.59,256.69,828.45,388.56,293.34,2569.34,308.99,1913.39,559.95,199.39,2048.38,823.89,741.44,477.77,2173.23,3418.43,1923.92,1655.33,1504.89,5928.8,39630.18,887.37,261.88,4.45,180.78,40.16,26.31,31.39
2013,75935.04,17.75,16.82,0.0,0.7,4.78,0.0,0.0,1224.18,402.64,99.68,0.0,1678.74,2625.54,1885.07,273.88,781.63,369.9,274.94,2108.94,257.36,1770.01,501.57,185.39,2126.83,796.15,657.13,470.3,1992.57,3316.5,1785.54,1493.48,1402.85,5842.25,40210.67,849.15,239.89,2.35,174.11,37.75,28.07,29.91
2012,72852.62,12.98664,24.94855,,1.59187,4.61927,,,1113.34488,377.49541,99.11179,,1602.20988,2458.01983,1897.66144,237.76132,732.31949,406.45445,242.78122,1828.31608,183.92585,1707.44119,491.34825,177.41256,2125.45261,842.92772,704.50976,501.27163,1929.60538,3285.8807,1732.6724,1277.09761,1411.78332,5737.3542,38447.09088,764.10231,235.48034,1.92109,161.99096,39.15578,25.7726,28.80541
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
