年份,外商及港澳台商投资工业企业主营业务收入,煤炭开采和洗选业外商及港澳台商投资工业企业主营业务收入,石油和天然气开采业外商及港澳台商投资工业企业主营业务收入,黑色金属矿采选业外商及港澳台商投资工业企业主营业务收入,有色金属矿采选业外商及港澳台商投资工业企业主营业务收入,非金属矿采选业外商及港澳台商投资工业企业主营业务收入,开采辅助活动外商及港澳台商投资工业企业主营业务收入,其他采矿业外商及港澳台商投资工业企业主营业务收入,农副食品加工业外商及港澳台商投资工业企业主营业务收入,食品制造业外商及港澳台商投资工业企业主营业务收入,酒、饮料和精制茶制造业外商及港澳台商投资工业企业主营业务收入,烟草制品业外商及港澳台商投资工业企业主营业务收入,纺织业外商及港澳台商投资工业企业主营业务收入,纺织服装、服饰业外商及港澳台商投资工业企业主营业务收入,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业主营业务收入,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业主营业务收入,家具制造业外商及港澳台商投资工业企业主营业务收入,造纸和纸制品业外商及港澳台商投资工业企业主营业务收入,印刷和记录媒介复制业外商及港澳台商投资工业企业主营业务收入,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业主营业务收入,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业主营业务收入,化学原料和化学制品制造业外商及港澳台商投资工业企业主营业务收入,医药制造业外商及港澳台商投资工业企业主营业务收入,化学纤维制造业外商及港澳台商投资工业企业主营业务收入,橡胶和塑料制品业外商及港澳台商投资工业企业主营业务收入,非金属矿物制品业外商及港澳台商投资工业企业主营业务收入,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业主营业务收入,有色金属冶炼和压延加工业外商及港澳台商投资工业企业主营业务收入,金属制品业外商及港澳台商投资工业企业主营业务收入,通用设备制造业外商及港澳台商投资工业企业主营业务收入,专用设备制造业外商及港澳台商投资工业企业主营业务收入,汽车制造业外商及港澳台商投资工业企业主营业务收入,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业主营业务收入,电气机械和器材制造业外商及港澳台商投资工业企业主营业务收入,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业主营业务收入,仪器仪表制造业外商及港澳台商投资工业企业主营业务收入,其他制造业外商及港澳台商投资工业企业主营业务收入,废弃资源综合利用业外商及港澳台商投资工业企业主营业务收入,金属制品、机械和设备修理业外商及港澳台商投资工业企业主营业务收入,电力、热力生产和供应业外商及港澳台商投资工业企业主营业务收入,燃气生产和供应业外商及港澳台商投资工业企业主营业务收入,水的生产和供应业外商及港澳台商投资工业企业主营业务收入
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,247619.69,639.53,477.35,198.24,108.73,77.23,69.2,,9013.37,5393.33,3714.74,7.97,4851.37,5446.47,4410.27,833.96,1743.48,3949.61,1141.27,4501.05,4093.04,17769.11,5502.99,1538.51,6427.7,5027.89,7100.82,5936.76,5726.6,11156.83,6509.25,38767.29,2256.57,15538.16,58073.98,2756.44,551.77,469.19,442.68,2866.14,2158.44,372.35
2016,250392.99,447.28,415.29,270.67,86.46,109.23,110.34,,9975.06,5966.84,4030.23,7.16,5650.27,6252.98,4821.97,1015.22,1846.54,3642.41,1279.03,4749.89,3510.75,18339.72,5516.94,1848.72,6532.97,5298.3,6538.84,6034.08,6202.82,10891.86,6171.78,36904.8,2877.14,17148.01,56644.95,2623.32,583.13,389.12,580.83,2644.25,2096.61,337.14
2015,245697.55,1184.58,489.06,655.11,99.47,121.8,123.88,0.0,10038.31,5759.95,4142.83,6.15,5609.5,6231.61,4908.52,1023.39,1800.55,3521.16,1248.11,4721.63,3643.82,18015.43,5219.73,1975.45,6441.79,5266.65,5838.39,5339.94,6233.8,10939.84,6272.99,32894.47,3256.47,16684.78,56895.22,2436.65,582.97,385.65,367.59,2852.67,2168.96,298.66
2014,252630.07,1877.13,652.05,282.69,146.93,122.62,133.02,0.0,10243.92,5844.57,4094.31,2.25,6056.26,6335.47,4813.25,1080.0,1791.57,3514.41,1247.2,4833.68,4801.32,19005.49,5052.05,2136.71,6805.77,5551.45,7279.5,5503.06,6564.05,11507.05,6591.53,31854.06,3315.55,17122.95,57549.91,2447.67,558.9,361.36,277.7,3027.74,1973.64,271.28
2013,242964.16,1841.1,712.93,268.94,157.36,121.2,131.63,0.0,10662.44,5738.69,3949.84,2.25,5953.59,6096.39,4578.91,1012.01,1725.48,3391.6,1218.36,4370.54,4583.28,17677.23,4538.87,2144.38,7002.66,5394.01,8240.68,5260.68,6290.57,10946.34,6368.23,28307.08,3105.72,16321.97,56131.57,2331.88,527.5,529.79,261.06,3162.46,1659.4,245.54
2012,221948.78,1568.82272,636.20471,254.65441,134.72631,108.4334,128.34213,,10209.50124,4993.70514,3668.67776,1.67387,5532.8911,5825.69011,4347.65416,942.46909,1535.50524,3378.7314,990.44244,3643.93009,4584.24696,15853.21574,4056.1191,1894.88858,6528.64264,5069.74002,7960.82038,4680.09154,5916.09446,9969.6015,5986.0586,23462.06161,3232.47635,15020.33691,51992.18579,2088.36392,495.53563,524.94767,266.31319,2918.41393,1324.75943,221.8126
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
