年份,外商及港澳台商投资工业企业利息支出,煤炭开采和洗选业外商及港澳台商投资工业企业利息支出,石油和天然气开采业外商及港澳台商投资工业企业利息支出,黑色金属矿采选业外商及港澳台商投资工业企业利息支出,有色金属矿采选业外商及港澳台商投资工业企业利息支出,非金属矿采选业外商及港澳台商投资工业企业利息支出,开采辅助活动外商及港澳台商投资工业企业利息支出,其他采矿业外商及港澳台商投资工业企业利息支出,农副食品加工业外商及港澳台商投资工业企业利息支出,食品制造业外商及港澳台商投资工业企业利息支出,酒、饮料和精制茶制造业外商及港澳台商投资工业企业利息支出,烟草制品业外商及港澳台商投资工业企业利息支出,纺织业外商及港澳台商投资工业企业利息支出,纺织服装、服饰业外商及港澳台商投资工业企业利息支出,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业利息支出,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业利息支出,家具制造业外商及港澳台商投资工业企业利息支出,造纸和纸制品业外商及港澳台商投资工业企业利息支出,印刷和记录媒介复制业外商及港澳台商投资工业企业利息支出,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业利息支出,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业利息支出,化学原料和化学制品制造业外商及港澳台商投资工业企业利息支出,医药制造业外商及港澳台商投资工业企业利息支出,化学纤维制造业外商及港澳台商投资工业企业利息支出,橡胶和塑料制品业外商及港澳台商投资工业企业利息支出,非金属矿物制品业外商及港澳台商投资工业企业利息支出,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业利息支出,有色金属冶炼和压延加工业外商及港澳台商投资工业企业利息支出,金属制品业外商及港澳台商投资工业企业利息支出,通用设备制造业外商及港澳台商投资工业企业利息支出,专用设备制造业外商及港澳台商投资工业企业利息支出,汽车制造业外商及港澳台商投资工业企业利息支出,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业利息支出,电气机械和器材制造业外商及港澳台商投资工业企业利息支出,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业利息支出,仪器仪表制造业外商及港澳台商投资工业企业利息支出,其他制造业外商及港澳台商投资工业企业利息支出,废弃资源综合利用业外商及港澳台商投资工业企业利息支出,金属制品、机械和设备修理业外商及港澳台商投资工业企业利息支出,电力、热力生产和供应业外商及港澳台商投资工业企业利息支出,燃气生产和供应业外商及港澳台商投资工业企业利息支出,水的生产和供应业外商及港澳台商投资工业企业利息支出
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1583.6,20.07,0.22,2.28,4.33,1.94,0.56,,54.17,22.37,22.56,0.4,39.57,24.87,22.12,5.1,7.51,65.54,6.05,17.3,40.23,148.99,30.48,25.27,39.62,50.71,62.19,115.58,28.99,61.48,34.35,136.81,15.26,89.01,189.78,8.66,2.98,3.62,5.58,133.17,22.38,21.48
2016,1607.74,19.02,0.29,2.02,2.44,1.99,0.78,,66.43,29.61,23.29,0.44,46.9,30.53,24.05,7.45,9.16,70.99,6.19,18.65,41.55,158.5,34.77,30.76,46.05,58.07,66.17,110.0,33.46,59.71,39.06,107.77,17.06,93.23,152.28,7.37,3.46,2.45,20.43,123.98,21.42,19.98
2015,1772.32,23.86,1.0,4.59,2.89,2.46,0.77,0.0,68.6,29.23,22.57,0.53,57.01,34.13,27.2,8.1,12.32,72.64,7.35,20.58,42.53,177.79,39.94,38.43,55.18,66.49,82.33,107.15,46.32,61.53,55.71,109.3,28.44,106.2,155.3,9.29,3.52,3.14,5.79,141.61,21.22,19.25
2014,1933.42,29.31,1.08,1.44,4.27,2.12,0.98,0.0,74.22,26.33,20.6,0.02,68.52,40.88,30.09,10.35,13.61,80.32,8.29,25.91,45.68,198.58,44.19,40.07,61.63,76.39,97.74,101.24,47.31,73.69,63.22,99.7,33.32,118.83,172.98,10.61,4.06,3.52,13.65,148.33,20.85,19.49
2013,1853.27,33.72,0.54,1.19,1.63,1.77,0.67,0.0,77.41,29.98,22.26,0.02,69.57,41.13,29.29,9.8,12.93,78.36,8.11,23.7,47.06,184.18,38.96,38.88,64.23,76.84,111.33,86.83,45.25,64.56,64.42,82.71,28.08,129.56,137.69,10.7,4.24,6.94,5.09,144.58,19.15,19.88
2012,1910.74,21.00844,2.17791,2.26993,1.90679,1.53095,0.58735,,89.13815,27.17975,23.6262,0.01227,69.47068,42.60659,31.22128,9.36599,11.39804,82.10801,7.61017,24.1311,49.26486,180.92921,37.33532,37.98809,71.33174,80.48505,107.65203,76.68523,48.79915,66.6818,66.47917,75.96603,36.51125,140.19686,165.71536,11.68648,3.9084,9.00992,5.40642,157.28397,15.72812,18.34893
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
