年份,外商及港澳台商投资工业企业港澳台资本金,煤炭开采和洗选业外商及港澳台商投资工业企业港澳台资本金,石油和天然气开采业外商及港澳台商投资工业企业港澳台资本金,黑色金属矿采选业外商及港澳台商投资工业企业港澳台资本金,有色金属矿采选业外商及港澳台商投资工业企业港澳台资本金,非金属矿采选业外商及港澳台商投资工业企业港澳台资本金,开采辅助活动外商及港澳台商投资工业企业港澳台资本金,其他采矿业外商及港澳台商投资工业企业港澳台资本金,农副食品加工业外商及港澳台商投资工业企业港澳台资本金,食品制造业外商及港澳台商投资工业企业港澳台资本金,酒、饮料和精制茶制造业外商及港澳台商投资工业企业港澳台资本金,烟草制品业外商及港澳台商投资工业企业港澳台资本金,纺织业外商及港澳台商投资工业企业港澳台资本金,纺织服装、服饰业外商及港澳台商投资工业企业港澳台资本金,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业港澳台资本金,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业港澳台资本金,家具制造业外商及港澳台商投资工业企业港澳台资本金,造纸和纸制品业外商及港澳台商投资工业企业港澳台资本金,印刷和记录媒介复制业外商及港澳台商投资工业企业港澳台资本金,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业港澳台资本金,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业港澳台资本金,化学原料和化学制品制造业外商及港澳台商投资工业企业港澳台资本金,医药制造业外商及港澳台商投资工业企业港澳台资本金,化学纤维制造业外商及港澳台商投资工业企业港澳台资本金,橡胶和塑料制品业外商及港澳台商投资工业企业港澳台资本金,非金属矿物制品业外商及港澳台商投资工业企业港澳台资本金,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业港澳台资本金,有色金属冶炼和压延加工业外商及港澳台商投资工业企业港澳台资本金,金属制品业外商及港澳台商投资工业企业港澳台资本金,通用设备制造业外商及港澳台商投资工业企业港澳台资本金,专用设备制造业外商及港澳台商投资工业企业港澳台资本金,汽车制造业外商及港澳台商投资工业企业港澳台资本金,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业港澳台资本金,电气机械和器材制造业外商及港澳台商投资工业企业港澳台资本金,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业港澳台资本金,仪器仪表制造业外商及港澳台商投资工业企业港澳台资本金,其他制造业外商及港澳台商投资工业企业港澳台资本金,废弃资源综合利用业外商及港澳台商投资工业企业港澳台资本金,金属制品、机械和设备修理业外商及港澳台商投资工业企业港澳台资本金,电力、热力生产和供应业外商及港澳台商投资工业企业港澳台资本金,燃气生产和供应业外商及港澳台商投资工业企业港澳台资本金,水的生产和供应业外商及港澳台商投资工业企业港澳台资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,12700.67,9.0,0.0,6.28,15.16,14.23,10.7,,209.29,341.34,247.6,0.14,573.79,402.42,224.8,63.89,111.79,418.73,146.6,274.0,149.87,1177.45,323.1,202.56,594.56,576.45,335.76,362.05,467.17,435.81,353.22,326.37,94.22,680.86,2428.09,130.59,49.07,30.62,21.71,625.16,171.9,94.32
2016,12677.06,17.42,1.03,2.96,12.17,9.36,12.44,,242.71,292.02,247.38,0.14,582.88,410.8,245.58,68.63,135.32,413.62,162.48,265.59,128.8,1295.94,346.36,208.53,539.09,587.41,311.04,351.31,478.17,422.49,353.54,331.31,71.52,720.76,2311.04,129.45,49.17,30.94,15.92,567.71,202.21,101.87
2015,12572.7,18.34,31.46,7.44,10.33,3.88,12.24,0.0,216.68,282.37,242.37,0.14,601.33,436.97,250.88,72.45,122.94,390.19,159.45,269.33,146.25,1219.71,281.7,229.24,518.95,576.67,248.13,377.98,491.14,423.63,362.44,334.56,72.56,731.52,2340.42,131.75,50.96,29.99,17.96,569.7,189.58,99.07
2014,11948.42,7.27,2.05,11.5,8.02,6.57,12.24,0.0,200.97,259.27,246.53,0.14,601.19,443.92,267.54,56.07,124.2,297.33,166.04,257.9,122.83,986.22,207.3,230.66,560.49,596.69,267.17,346.37,469.19,431.88,419.2,304.03,80.58,796.68,2234.85,124.0,46.25,26.71,11.1,460.62,177.64,79.22
2013,11822.3,39.97,1.87,5.07,8.49,6.36,11.01,0.0,220.15,239.12,243.19,0.14,628.32,454.05,287.95,63.43,155.35,410.18,163.07,280.79,79.25,928.0,215.18,270.83,551.52,556.27,264.5,320.38,440.96,385.46,385.1,273.85,148.85,736.11,2152.75,119.05,69.48,30.12,13.0,467.77,120.59,74.78
2012,11027.41,9.75422,1.16549,5.58961,7.26983,4.96059,11.00864,,224.7475,221.75688,230.50946,0.14,617.68051,437.92775,278.39482,42.51788,127.37619,372.5578,159.86546,250.95685,64.82919,803.99544,193.18473,193.65714,499.70427,537.71976,249.51628,249.86731,442.5858,336.66152,381.1267,256.1539,141.41783,742.84044,2201.81651,106.62951,53.56639,16.15227,18.14246,392.28664,80.43389,60.93945
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
