年份,外商及港澳台商投资工业企业亏损总额,煤炭开采和洗选业外商及港澳台商投资工业企业亏损总额,石油和天然气开采业外商及港澳台商投资工业企业亏损总额,黑色金属矿采选业外商及港澳台商投资工业企业亏损总额,有色金属矿采选业外商及港澳台商投资工业企业亏损总额,非金属矿采选业外商及港澳台商投资工业企业亏损总额,开采辅助活动外商及港澳台商投资工业企业亏损总额,其他采矿业外商及港澳台商投资工业企业亏损总额,农副食品加工业外商及港澳台商投资工业企业亏损总额,食品制造业外商及港澳台商投资工业企业亏损总额,酒、饮料和精制茶制造业外商及港澳台商投资工业企业亏损总额,烟草制品业外商及港澳台商投资工业企业亏损总额,纺织业外商及港澳台商投资工业企业亏损总额,纺织服装、服饰业外商及港澳台商投资工业企业亏损总额,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业亏损总额,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业亏损总额,家具制造业外商及港澳台商投资工业企业亏损总额,造纸和纸制品业外商及港澳台商投资工业企业亏损总额,印刷和记录媒介复制业外商及港澳台商投资工业企业亏损总额,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业亏损总额,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业亏损总额,化学原料和化学制品制造业外商及港澳台商投资工业企业亏损总额,医药制造业外商及港澳台商投资工业企业亏损总额,化学纤维制造业外商及港澳台商投资工业企业亏损总额,橡胶和塑料制品业外商及港澳台商投资工业企业亏损总额,非金属矿物制品业外商及港澳台商投资工业企业亏损总额,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业亏损总额,有色金属冶炼和压延加工业外商及港澳台商投资工业企业亏损总额,金属制品业外商及港澳台商投资工业企业亏损总额,通用设备制造业外商及港澳台商投资工业企业亏损总额,专用设备制造业外商及港澳台商投资工业企业亏损总额,汽车制造业外商及港澳台商投资工业企业亏损总额,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业亏损总额,电气机械和器材制造业外商及港澳台商投资工业企业亏损总额,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业亏损总额,仪器仪表制造业外商及港澳台商投资工业企业亏损总额,其他制造业外商及港澳台商投资工业企业亏损总额,废弃资源综合利用业外商及港澳台商投资工业企业亏损总额,金属制品、机械和设备修理业外商及港澳台商投资工业企业亏损总额,电力、热力生产和供应业外商及港澳台商投资工业企业亏损总额,燃气生产和供应业外商及港澳台商投资工业企业亏损总额,水的生产和供应业外商及港澳台商投资工业企业亏损总额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,1409.22,4.03,0.36,3.52,1.87,1.43,0.0,,53.55,40.16,36.92,0.23,18.71,22.37,11.26,3.54,7.51,16.45,7.36,13.18,7.6,120.99,17.42,7.96,47.43,32.97,37.88,54.85,41.61,62.62,68.17,225.88,25.0,103.07,209.76,10.8,2.01,1.48,9.79,68.28,7.77,3.47
2016,1549.16,4.21,5.74,2.34,2.32,0.69,3.52,,59.48,30.44,42.53,,21.6,19.61,14.73,3.15,7.99,33.9,9.76,14.89,15.34,195.33,28.13,14.76,51.6,65.41,51.31,42.66,42.2,66.71,103.48,134.06,12.95,110.3,228.27,12.12,1.22,5.29,50.5,26.5,9.13,5.02
2015,2040.11,5.84,5.55,7.83,2.68,0.93,0.08,0.0,55.64,38.89,45.71,0.0,27.16,24.6,16.25,4.66,9.26,31.56,6.84,13.81,36.08,258.47,27.69,18.37,72.35,109.74,100.08,70.88,67.8,78.83,149.16,164.44,57.85,168.41,300.43,18.57,2.49,6.17,2.15,22.34,6.58,3.93
2014,1556.86,3.43,0.1,3.12,1.39,1.41,0.83,0.0,55.33,36.34,48.34,0.0,32.5,30.49,10.89,4.8,9.3,35.7,5.98,11.44,66.57,231.21,25.86,17.15,66.51,58.94,69.81,37.37,44.72,66.75,76.08,116.77,20.07,90.31,209.7,9.61,2.87,14.89,9.26,19.16,7.38,4.48
2013,1445.18,1.99,0.78,0.29,0.56,0.94,0.0,0.0,38.42,30.84,40.53,0.0,26.19,33.45,15.12,5.05,9.91,22.97,9.12,14.07,45.2,156.09,26.12,13.45,60.06,63.93,67.21,34.85,33.5,78.87,83.55,92.91,31.91,126.89,216.67,8.95,3.42,11.39,5.54,26.92,4.1,3.42
2012,1516.06,1.68178,0.809,0.46726,0.56784,0.69928,,,32.73388,22.08015,61.18908,,31.30112,26.25534,12.49972,7.55238,9.97261,23.00426,9.54099,12.61829,87.22981,162.80164,25.76568,16.1926,71.10366,77.46471,73.41087,37.95411,40.93605,66.70339,76.16477,64.93508,26.63242,129.43261,235.4238,12.55426,2.83984,6.47015,7.08298,35.28204,3.84491,2.85683
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
