年份,外商及港澳台商投资工业企业法人资本金,煤炭开采和洗选业外商及港澳台商投资工业企业法人资本金,石油和天然气开采业外商及港澳台商投资工业企业法人资本金,黑色金属矿采选业外商及港澳台商投资工业企业法人资本金,有色金属矿采选业外商及港澳台商投资工业企业法人资本金,非金属矿采选业外商及港澳台商投资工业企业法人资本金,开采辅助活动外商及港澳台商投资工业企业法人资本金,其他采矿业外商及港澳台商投资工业企业法人资本金,农副食品加工业外商及港澳台商投资工业企业法人资本金,食品制造业外商及港澳台商投资工业企业法人资本金,酒、饮料和精制茶制造业外商及港澳台商投资工业企业法人资本金,烟草制品业外商及港澳台商投资工业企业法人资本金,纺织业外商及港澳台商投资工业企业法人资本金,纺织服装、服饰业外商及港澳台商投资工业企业法人资本金,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业法人资本金,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业法人资本金,家具制造业外商及港澳台商投资工业企业法人资本金,造纸和纸制品业外商及港澳台商投资工业企业法人资本金,印刷和记录媒介复制业外商及港澳台商投资工业企业法人资本金,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业法人资本金,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业法人资本金,化学原料和化学制品制造业外商及港澳台商投资工业企业法人资本金,医药制造业外商及港澳台商投资工业企业法人资本金,化学纤维制造业外商及港澳台商投资工业企业法人资本金,橡胶和塑料制品业外商及港澳台商投资工业企业法人资本金,非金属矿物制品业外商及港澳台商投资工业企业法人资本金,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业法人资本金,有色金属冶炼和压延加工业外商及港澳台商投资工业企业法人资本金,金属制品业外商及港澳台商投资工业企业法人资本金,通用设备制造业外商及港澳台商投资工业企业法人资本金,专用设备制造业外商及港澳台商投资工业企业法人资本金,汽车制造业外商及港澳台商投资工业企业法人资本金,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业法人资本金,电气机械和器材制造业外商及港澳台商投资工业企业法人资本金,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业法人资本金,仪器仪表制造业外商及港澳台商投资工业企业法人资本金,其他制造业外商及港澳台商投资工业企业法人资本金,废弃资源综合利用业外商及港澳台商投资工业企业法人资本金,金属制品、机械和设备修理业外商及港澳台商投资工业企业法人资本金,电力、热力生产和供应业外商及港澳台商投资工业企业法人资本金,燃气生产和供应业外商及港澳台商投资工业企业法人资本金,水的生产和供应业外商及港澳台商投资工业企业法人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,11583.48,73.98,0.61,14.94,15.69,13.14,0.18,,357.42,210.33,183.54,2.3,254.03,167.11,113.07,41.4,78.44,482.0,94.49,132.65,266.78,918.77,345.95,101.91,340.17,417.03,268.38,203.92,303.05,922.31,372.3,1535.51,135.21,785.93,1501.61,80.01,10.66,10.89,45.38,525.38,157.94,99.11
2016,11023.03,56.56,61.21,13.46,9.49,12.33,0.19,,291.63,232.71,240.58,2.3,273.73,182.11,107.84,43.95,66.77,498.09,85.83,120.04,260.94,927.93,294.73,158.63,327.06,427.34,287.41,272.3,316.94,466.77,307.89,1414.64,150.88,776.52,1322.28,64.99,11.87,11.49,48.26,644.25,140.52,90.57
2015,11674.71,41.34,0.6,24.81,6.4,9.84,1.26,0.0,250.35,192.4,239.38,0.53,306.22,212.84,131.23,39.28,84.24,495.67,70.72,97.2,303.15,921.32,1427.36,143.55,315.74,461.91,360.84,190.06,297.56,497.71,256.97,1101.15,183.76,783.52,1097.18,71.28,14.01,8.69,46.67,793.5,118.01,76.46
2014,9903.69,55.36,0.6,11.92,6.59,4.1,1.56,0.0,245.57,178.59,237.21,0.06,291.34,231.64,118.82,48.41,54.3,351.52,70.53,93.29,344.88,963.28,231.24,158.63,328.24,427.98,339.01,191.24,283.77,650.47,218.28,1151.58,159.17,698.7,783.45,70.52,15.0,17.52,35.61,592.99,165.32,75.41
2013,9164.6,51.12,2.93,36.74,8.51,5.08,1.21,0.0,255.07,185.26,237.86,0.06,282.51,185.25,111.55,54.42,62.36,246.94,79.33,85.49,234.61,874.11,192.69,127.08,305.31,370.77,369.16,150.71,286.26,425.82,243.18,1091.58,204.86,606.11,782.44,64.33,13.64,22.86,29.8,636.56,170.28,70.75
2012,9029.13,36.60914,0.63379,12.42949,9.76393,7.39648,1.48642,,247.44406,177.93896,226.37395,0.05696,335.81418,175.52919,138.04055,58.66127,51.55249,290.00479,71.47077,77.20907,223.9736,821.69847,191.65284,130.13899,307.60087,466.04392,282.53487,169.87893,234.23924,417.94927,256.52355,1001.94421,206.21649,589.92143,824.37077,57.77816,17.89466,15.78012,25.13985,694.47669,108.59303,66.36678
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
