年份,外商及港澳台商投资工业企业应收账款净额,煤炭开采和洗选业外商及港澳台商投资工业企业应收账款净额,石油和天然气开采业外商及港澳台商投资工业企业应收账款净额,黑色金属矿采选业外商及港澳台商投资工业企业应收账款净额,有色金属矿采选业外商及港澳台商投资工业企业应收账款净额,非金属矿采选业外商及港澳台商投资工业企业应收账款净额,开采辅助活动外商及港澳台商投资工业企业应收账款净额,其他采矿业外商及港澳台商投资工业企业应收账款净额,农副食品加工业外商及港澳台商投资工业企业应收账款净额,食品制造业外商及港澳台商投资工业企业应收账款净额,酒、饮料和精制茶制造业外商及港澳台商投资工业企业应收账款净额,烟草制品业外商及港澳台商投资工业企业应收账款净额,纺织业外商及港澳台商投资工业企业应收账款净额,纺织服装、服饰业外商及港澳台商投资工业企业应收账款净额,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业应收账款净额,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业应收账款净额,家具制造业外商及港澳台商投资工业企业应收账款净额,造纸和纸制品业外商及港澳台商投资工业企业应收账款净额,印刷和记录媒介复制业外商及港澳台商投资工业企业应收账款净额,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业应收账款净额,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业应收账款净额,化学原料和化学制品制造业外商及港澳台商投资工业企业应收账款净额,医药制造业外商及港澳台商投资工业企业应收账款净额,化学纤维制造业外商及港澳台商投资工业企业应收账款净额,橡胶和塑料制品业外商及港澳台商投资工业企业应收账款净额,非金属矿物制品业外商及港澳台商投资工业企业应收账款净额,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业应收账款净额,有色金属冶炼和压延加工业外商及港澳台商投资工业企业应收账款净额,金属制品业外商及港澳台商投资工业企业应收账款净额,通用设备制造业外商及港澳台商投资工业企业应收账款净额,专用设备制造业外商及港澳台商投资工业企业应收账款净额,汽车制造业外商及港澳台商投资工业企业应收账款净额,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业应收账款净额,电气机械和器材制造业外商及港澳台商投资工业企业应收账款净额,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业应收账款净额,仪器仪表制造业外商及港澳台商投资工业企业应收账款净额,其他制造业外商及港澳台商投资工业企业应收账款净额,废弃资源综合利用业外商及港澳台商投资工业企业应收账款净额,金属制品、机械和设备修理业外商及港澳台商投资工业企业应收账款净额,电力、热力生产和供应业外商及港澳台商投资工业企业应收账款净额,燃气生产和供应业外商及港澳台商投资工业企业应收账款净额,水的生产和供应业外商及港澳台商投资工业企业应收账款净额
2019,43145.39,92.97,20.42,31.84,4.93,10.15,18.89,,549.89,648.91,380.07,,582.26,704.38,425.13,75.72,255.21,675.04,236.92,421.32,203.2,2164.83,955.96,137.56,1274.7,860.73,260.05,543.37,1159.3,2719.12,1664.43,6194.35,551.18,3477.42,14111.01,497.42,72.37,18.92,142.41,621.85,273.56,106.21
2018,42574.45,90.2,7.6,31.0,3.6,12.1,13.6,,562.9,548.1,365.5,2.5,612.8,712.6,460.7,85.6,270.7,724.2,256.4,470.3,188.1,2203.6,939.6,128.6,1173.7,891.5,353.8,572.3,1141.6,2779.6,1835.7,6247.5,568.3,3613.6,15084.7,554.2,73.4,31.3,125.5,479.9,215.1,76.8
2017,41604.23,74.25,5.23,19.88,3.28,21.37,18.7,,529.43,546.18,333.79,2.66,603.23,679.96,419.11,81.92,266.43,687.61,248.76,433.52,229.68,2172.78,858.06,131.79,1173.5,788.58,367.07,688.28,1068.69,2468.28,1644.97,6215.7,582.96,3461.1,13274.6,584.92,72.41,60.18,115.17,422.79,184.24,63.16
2016,39362.51,94.0,9.29,14.66,3.8,24.96,11.86,,515.42,663.72,343.24,1.65,626.14,696.04,472.08,85.59,281.59,627.42,251.2,428.77,229.48,2113.75,805.47,130.24,1091.48,819.5,393.64,585.9,988.04,2410.71,1459.17,5508.7,429.62,3547.97,12106.0,551.62,75.48,26.04,389.54,331.28,156.48,60.98
2015,35955.08,412.8,8.02,298.33,3.37,14.92,14.5,0.0,513.42,607.05,320.62,3.18,626.18,641.15,550.9,87.51,265.39,599.24,234.28,443.33,179.7,1848.76,745.71,154.68,1046.38,824.81,358.56,500.57,946.72,2263.1,1710.13,4718.62,399.65,3189.65,10178.82,509.65,77.38,25.68,87.2,326.58,164.19,54.32
2014,34419.42,549.49,8.58,26.61,4.29,12.99,11.41,0.0,506.41,576.51,287.16,0.33,649.97,639.53,531.49,88.66,223.38,574.1,240.2,568.44,189.01,2010.24,699.28,150.7,1031.5,793.94,407.53,573.57,974.05,2243.28,1744.24,3854.3,440.69,3100.92,9481.01,483.71,69.44,24.73,61.2,371.29,160.29,54.98
2013,32460.71,526.79,36.6,32.35,5.95,9.96,10.12,0.0,482.87,552.06,262.67,0.37,610.18,634.11,538.73,80.99,218.22,561.97,232.73,422.28,185.37,1945.93,630.63,143.26,1053.43,767.28,434.53,553.27,927.13,2093.77,1624.61,3830.52,397.98,3083.65,8373.64,434.45,67.0,63.49,65.29,382.36,133.75,50.4
2012,29850.62288,565.53604,9.44056,32.34309,6.15129,8.05616,9.75956,,475.07225,492.18785,233.7847,0.19093,572.86137,639.11682,507.76579,80.25085,186.40933,526.66069,212.65454,375.56424,202.35416,1788.24313,523.18588,103.81596,980.83855,694.78883,388.97545,444.2021,864.59664,1845.65025,1399.39662,2788.12173,403.23694,2903.96214,8459.30399,412.3119,62.1406,78.9438,52.84093,372.49877,108.40608,39.00237
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
