年份,外商及港澳台商投资工业企业流动负债合计,煤炭开采和洗选业外商及港澳台商投资工业企业流动负债合计,石油和天然气开采业外商及港澳台商投资工业企业流动负债合计,黑色金属矿采选业外商及港澳台商投资工业企业流动负债合计,有色金属矿采选业外商及港澳台商投资工业企业流动负债合计,非金属矿采选业外商及港澳台商投资工业企业流动负债合计,开采辅助活动外商及港澳台商投资工业企业流动负债合计,其他采矿业外商及港澳台商投资工业企业流动负债合计,农副食品加工业外商及港澳台商投资工业企业流动负债合计,食品制造业外商及港澳台商投资工业企业流动负债合计,酒、饮料和精制茶制造业外商及港澳台商投资工业企业流动负债合计,烟草制品业外商及港澳台商投资工业企业流动负债合计,纺织业外商及港澳台商投资工业企业流动负债合计,纺织服装、服饰业外商及港澳台商投资工业企业流动负债合计,皮革、毛皮、羽毛及其制品和制鞋业外商及港澳台商投资工业企业流动负债合计,木材加工和木、竹、藤、棕、草制品业外商及港澳台商投资工业企业流动负债合计,家具制造业外商及港澳台商投资工业企业流动负债合计,造纸和纸制品业外商及港澳台商投资工业企业流动负债合计,印刷和记录媒介复制业外商及港澳台商投资工业企业流动负债合计,文教、工美、体育和娱乐用品制造业外商及港澳台商投资工业企业流动负债合计,石油加工、炼焦和核燃料加工业外商及港澳台商投资工业企业流动负债合计,化学原料和化学制品制造业外商及港澳台商投资工业企业流动负债合计,医药制造业外商及港澳台商投资工业企业流动负债合计,化学纤维制造业外商及港澳台商投资工业企业流动负债合计,橡胶和塑料制品业外商及港澳台商投资工业企业流动负债合计,非金属矿物制品业外商及港澳台商投资工业企业流动负债合计,黑色金属冶炼和压延加工业外商及港澳台商投资工业企业流动负债合计,有色金属冶炼和压延加工业外商及港澳台商投资工业企业流动负债合计,金属制品业外商及港澳台商投资工业企业流动负债合计,通用设备制造业外商及港澳台商投资工业企业流动负债合计,专用设备制造业外商及港澳台商投资工业企业流动负债合计,汽车制造业外商及港澳台商投资工业企业流动负债合计,铁路、船舶、航空航天和其他运输设备外商及港澳台商投资工业企业流动负债合计,电气机械和器材制造业外商及港澳台商投资工业企业流动负债合计,计算机、通信和其他电子设备制造业外商及港澳台商投资工业企业流动负债合计,仪器仪表制造业外商及港澳台商投资工业企业流动负债合计,其他制造业外商及港澳台商投资工业企业流动负债合计,废弃资源综合利用业外商及港澳台商投资工业企业流动负债合计,金属制品、机械和设备修理业外商及港澳台商投资工业企业流动负债合计,电力、热力生产和供应业外商及港澳台商投资工业企业流动负债合计,燃气生产和供应业外商及港澳台商投资工业企业流动负债合计,水的生产和供应业外商及港澳台商投资工业企业流动负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,100281.1,437.48,429.61,92.91,123.89,53.08,49.43,,2835.18,1790.5,1738.31,3.95,1703.27,1369.74,1020.05,213.1,674.91,2385.58,466.72,995.84,1162.18,6363.5,2256.62,726.23,2530.0,2257.66,2639.09,2952.49,2017.19,5380.23,3430.16,15924.8,1243.16,6728.31,22493.67,939.16,163.63,149.75,188.38,2539.94,1312.57,498.84
2016,96710.73,349.23,465.83,126.11,100.97,73.17,45.37,,2629.05,1986.42,1840.34,2.71,1826.44,1421.96,1074.2,227.5,688.46,2163.78,447.55,1013.95,1090.18,6657.78,2177.04,866.04,2460.66,2443.42,2676.41,2958.43,2009.12,5109.57,3073.82,14228.71,1281.09,6531.4,21046.42,853.32,173.89,107.64,579.95,2280.4,1151.44,470.96
2015,92031.0,948.42,579.21,495.73,106.04,72.34,48.53,0.0,2667.41,1932.89,1763.09,5.94,1878.72,1483.13,1108.06,238.52,678.06,2217.41,425.06,1008.11,1102.17,6499.62,1913.03,1024.03,2348.01,2757.64,2647.63,2657.22,2002.88,4990.15,3334.67,12342.74,1612.58,6319.27,18245.11,796.45,169.05,109.77,187.37,1793.25,1082.53,439.16
2014,93078.87,1117.49,658.43,85.84,111.47,65.33,33.47,0.0,3002.24,1856.14,1678.87,0.45,2065.14,1565.27,1146.72,282.19,684.67,2239.99,460.4,1107.37,1419.51,6992.28,1955.51,1032.08,2542.03,2647.48,2882.0,2472.8,2233.54,4952.81,3487.93,11010.51,1846.2,6282.46,18517.65,788.85,184.45,138.89,161.74,1959.73,1029.71,379.22
2013,89640.47,1142.37,559.03,71.58,83.65,51.83,29.82,0.0,3247.96,1805.21,1569.09,0.67,2147.91,1627.98,1134.25,290.7,697.54,2170.45,483.93,979.13,1490.59,6623.61,1737.93,1012.0,2648.31,2580.96,3555.75,2349.09,2116.55,4740.56,3404.38,10035.87,1770.46,6404.62,16511.33,766.17,175.64,246.72,157.15,1983.31,938.03,298.29
2012,82771.47,1088.7398,511.67522,81.71318,58.26566,42.38547,21.49516,,3151.32034,1549.92704,1418.96881,0.34989,2110.72103,1634.87794,1096.26065,274.44685,589.4674,2051.39035,425.70081,880.18326,1453.35656,5778.60537,1606.44098,912.18339,2560.37869,2388.19198,3260.5135,1937.8827,2118.37785,4338.6727,3155.79296,8244.87544,1883.16011,5982.72819,15868.91042,722.81525,153.35867,283.50668,130.85289,1998.73354,736.30738,267.93114
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
