年份,殡葬类单位数,殡葬类职工总数,火化炉数,处理遗体数,安葬数,火化率
2019,,,,,,
2018,,,,,,
2017,,,,,,
2016,,,,,,
2015,4530.0,85000.0,6063.0,459.5065,65.4835,47.0553203931
2014,4559.0,82651.0,5908.0,459.3037,60.4033,47.0
2013,4382.0,80768.0,5743.0,468.89,62.82,48.2
2012,4357.0,77254.0,5539.0,477.7,60.9,49.5
2011,4103.0,75254.0,5209.0,468.1,59.9,48.8
2010,3951.0,75230.0,5229.0,474.1,60.5,49.0
2009,3896.0,74050.0,5123.0,454.2,52.9,48.2
2008,3754.0,74731.0,4789.0,453.4,49.9,48.5
2007,3669.0,73227.0,4838.0,442.1,53.3,48.4
2006,3549.0,70500.0,5649.0,430.2,45.4,48.2
2005,3284.0,68588.0,5037.0,450.2,54.8,53.0
2004,,,,,,
2003,,,,,,
2002,,,,,,
2001,,,,,,
2000,,,,,,
