年份,孤儿数,家庭儿童收养登记总数,中国公民收养登记数,外国公民收养登记数
2019,233117,13044,12074,970
2018,305110,16267,14582,1685
2017,409840,18820,16592,2228
2016,460450,18736,15965,2771
2015,502105,22348,19406,2942
2014,525179,22772,19885,2887
2013,548845,24460,21230,3230
2012,570075,27278,23157,4121
2011,509695,31424,27579,3845
2010,252110,34529,29618,4911
2009,127599,44260,39801,4459
2008,67921,42550,37009,5541
2007,,45192,36893,8299
2006,,48178,38393,9785
2005,,49506,35470,14036
2004,,52603,40084,12519
2003,,54159,44884,9275
2002,,45336,35372,9964
2001,,44706,36089,8617
2000,,55802,49037,6765
