年份,自治组织单位数,社区居委会单位数,村民委员会单位数,自治组织成员数,自治组织女性成员数,社区居委会成员数,村民委员会成员数,自治组织增加值
2019,642693,109620,533073,,,,,
2018,649888,107869,542019,,,,,
2017,660709,106491,554218,,,,,
2016,662478,103292,559186,,,,,
2015,680535,99679,580856,2809257.0,777687.0,512196.0,2297061.0,
2014,682144,96693,585451,2802062.0,767000.0,497000.0,2305000.0,
2013,683167,94620,588547,2807128.0,760848.0,484000.0,2323000.0,
2012,679628,91153,588475,2792000.0,742000.0,469000.0,2323000.0,375.0
2011,679133,89480,589653,2773000.0,734000.0,454000.0,2319000.0,363.2
2010,681715,87057,594658,2773000.0,716000.0,439000.0,2334000.0,309.88987
2009,683767,84689,599078,2771000.0,718566.0,431000.0,2340000.0,370.90266
2008,687698,83413,604285,2760325.0,717688.0,422000.0,2339000.0,328.55706
2007,694715,82006,612709,2827238.0,715223.0,416000.0,2411000.0,280.93419
2006,704386,80717,623669,2873000.0,776161.0,443000.0,2430000.0,273.17004
2005,709026,79947,629079,3111000.0,684906.0,454000.0,2657000.0,
2004,722050,77884,644166,3346000.0,679641.0,425000.0,2921000.0,
2003,740917,77431,663486,3588000.0,764546.0,397000.0,3191000.0,
2002,767364,86087,681277,3338000.0,715761.0,396000.0,2942000.0,
2001,791867,91893,699974,3628000.0,762920.0,464000.0,3164000.0,
2000,840083,108424,731659,3634000.0,779543.0,484000.0,3150000.0,
