年份,福利彩票发行单位,福利彩票销售额,福利彩票提取公益金,福利彩票公益金支出
2019,702,1912.3816684991,557.277966607602,259.94691
2018,700,2245.5611757052,643.589241972662,251.73045
2017,729,2169.8,631.1,275.2
2016,788,2064.9,591.5,268.3
2015,861,2015.1,563.8,288.9
2014,893,2060.0,585.7,231.3
2013,940,1765.3,510.7,195.5
2012,955,1510.3,449.4,159.0
2011,974,1278.0,388.7,127.9
2010,993,968.0,297.1,121.2
2009,988,756.0,248.0,113.4
2008,999,604.0,211.4,119.2
2007,985,631.6,217.0,77.6
2006,989,495.7,171.6,52.6
2005,1113,411.2,143.7,52.3
2004,1128,226.375,79.231,33.8
2003,1145,200.057,70.02,30.6
2002,1121,167.993,58.797,25.5
2001,1185,139.574,41.92,19.7
2000,1253,89.89,24.23,38.7
