年份,高技术产业有效发明专利数(大中型工业企业口径),医药制造业高技术产业有效发明专利数(大中型工业企业口径),化学药品制造高技术产业有效发明专利数(大中型工业企业口径),中成药制造高技术产业有效发明专利数(大中型工业企业口径),生物、生化制品的制造高技术产业有效发明专利数(大中型工业企业口径),航空航天器制造业高技术产业有效发明专利数(大中型工业企业口径),电子及通信设备制造业高技术产业有效发明专利数(大中型工业企业口径),通信设备制造业高技术产业有效发明专利数(大中型工业企业口径),雷达及配套设备制造业高技术产业有效发明专利数(大中型工业企业口径),广播电视设备制造业高技术产业有效发明专利数(大中型工业企业口径),电子器件制造业高技术产业有效发明专利数(大中型工业企业口径),电子元件制造业高技术产业有效发明专利数(大中型工业企业口径),家用视听设备制造业高技术产业有效发明专利数(大中型工业企业口径),其他电子设备制造高技术产业有效发明专利数(大中型工业企业口径),电子计算机及办公设备制造业高技术产业有效发明专利数(大中型工业企业口径),电子计算机整机制造业高技术产业有效发明专利数(大中型工业企业口径),电子计算机外部设备制造业高技术产业有效发明专利数(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业有效发明专利数(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业有效发明专利数(大中型工业企业口径),仪器仪表制造业高技术产业有效发明专利数(大中型工业企业口径)
2019,365523,,,,,,,,,,,,,,,,,,,
2018,327965,,,,,,,,,,,,,,,,,,,
2017,306431,,,,,,,,,,,,,,,,,,,
2016,257234,,,,,,,,,,,,,,,,,,,
2015,199728,,,,,,,,,,,,,,,,,,,
2014,147927,,,,,,,,,,,,,,,,,,,
2013,115884,,,,,,,,,,,,,,,,,,,
2012,97878,,,,,,,,,,,,,,,,,,,
2011,67428,,,,,,,,,,,,,,,,,,,
2010,50166,5672.0,2598.0,2270.0,402.0,700.0,33677.0,23979.0,63.0,278.0,4451.0,2840.0,1538.0,528.0,7552.0,4641.0,1818.0,2565.0,658.0,1907.0
2009,31830,3911.0,1762.0,1677.0,294.0,565.0,21298.0,14770.0,43.0,149.0,3607.0,1176.0,1165.0,388.0,4192.0,2738.0,881.0,1864.0,434.0,1430.0
2008,23915,3170.0,1300.0,1388.0,293.0,400.0,15418.0,10222.0,82.0,158.0,1911.0,821.0,1941.0,283.0,3344.0,1466.0,1692.0,1583.0,527.0,1056.0
2007,13386,2482.0,943.0,1157.0,276.0,270.0,6532.0,3492.0,45.0,135.0,1122.0,673.0,946.0,119.0,3210.0,1961.0,1169.0,892.0,180.0,712.0
2006,8141,1965.0,717.0,1042.0,119.0,228.0,3807.0,1713.0,4.0,14.0,783.0,528.0,729.0,36.0,1174.0,180.0,974.0,967.0,202.0,765.0
2005,6658,1134.0,495.0,497.0,49.0,192.0,4268.0,2959.0,5.0,13.0,540.0,369.0,371.0,11.0,473.0,146.0,323.0,591.0,90.0,501.0
2004,4535,902.0,246.0,180.0,31.0,73.0,2453.0,1442.0,27.0,7.0,354.0,384.0,239.0,,711.0,391.0,199.0,396.0,114.0,282.0
2003,3356,459.0,89.0,134.0,26.0,141.0,2100.0,1394.0,6.0,8.0,313.0,176.0,197.0,6.0,271.0,106.0,163.0,385.0,49.0,336.0
2002,,485.0,158.0,116.0,43.0,126.0,1068.0,766.0,13.0,1.0,68.0,105.0,97.0,18.0,38.0,22.0,15.0,135.0,46.0,89.0
2001,,308.0,51.0,87.0,24.0,105.0,828.0,578.0,10.0,8.0,36.0,43.0,138.0,15.0,115.0,80.0,31.0,197.0,105.0,92.0
2000,1443,,,,,,,,,,,,,,,,,,,
