年份,外商及港澳台商投资工业企业固定资产原价合计,煤炭开采和洗选业外商及港澳台商投资工业企业固定资产原价合计,石油和天然气开采业外商及港澳台商投资工业企业固定资产原价合计,黑色金属矿采选业外商及港澳台商投资工业企业固定资产原价合计,有色金属矿采选业外商及港澳台商投资工业企业固定资产原价合计,非金属矿采选业外商及港澳台商投资工业企业固定资产原价合计,其他采矿业外商及港澳台商投资工业企业固定资产原价合计,农副食品加工业外商及港澳台商投资工业企业固定资产原价合计,食品制造业外商及港澳台商投资工业企业固定资产原价合计,饮料制造业外商及港澳台商投资工业企业固定资产原价合计,烟草制品业外商及港澳台商投资工业企业固定资产原价合计,纺织业外商及港澳台商投资工业企业固定资产原价合计,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业固定资产原价合计,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业固定资产原价合计,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业固定资产原价合计,家具制造业外商及港澳台商投资工业企业固定资产原价合计,造纸及纸制品业外商及港澳台商投资工业企业固定资产原价合计,印刷业和记录媒介的复制外商及港澳台商投资工业企业固定资产原价合计,文教体育用品制造业外商及港澳台商投资工业企业固定资产原价合计,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业固定资产原价合计,化学原料及化学制品制造业外商及港澳台商投资工业企业固定资产原价合计,医药制造业外商及港澳台商投资工业企业固定资产原价合计,化学纤维制造业外商及港澳台商投资工业企业固定资产原价合计,橡胶制品业外商及港澳台商投资工业企业固定资产原价合计,塑料制品业外商及港澳台商投资工业企业固定资产原价合计,非金属矿物制品业外商及港澳台商投资工业企业固定资产原价合计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业固定资产原价合计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业固定资产原价合计,金属制品业外商及港澳台商投资工业企业固定资产原价合计,通用设备制造业外商及港澳台商投资工业企业固定资产原价合计,专用设备制造业外商及港澳台商投资工业企业固定资产原价合计,交通运输设备制造业外商及港澳台商投资工业企业固定资产原价合计,电气机械及器材制造业外商及港澳台商投资工业企业固定资产原价合计,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业固定资产原价合计,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业固定资产原价合计,工艺品及其他制造业外商及港澳台商投资工业企业固定资产原价合计,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业固定资产原价合计,电力、热力的生产和供应业外商及港澳台商投资工业企业固定资产原价合计,燃气生产和供应业外商及港澳台商投资工业企业固定资产原价合计,水的生产和供应业外商及港澳台商投资工业企业固定资产原价合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,84358.87921,613.15541,884.55978,76.41232,55.73392,76.69082,,2660.36666,1571.77896,1889.7444,7.9664,2692.95179,1192.22668,792.40594,424.9183,454.33885,2719.82167,537.16599,481.25522,1675.74957,7676.84927,1439.63583,996.22042,1211.07193,1932.4215,3549.54442,3568.17438,1947.37146,1929.11633,3223.76411,2078.11667,8127.68421,4297.88384,13782.26728,874.1234,446.96971,81.8615,7007.14953,753.48455,627.92619
2010,77608.96989,376.99007,447.76653,52.93231,128.53627,84.08638,,2412.87817,1401.10001,1627.70547,7.57685,2645.84279,1205.11105,753.82445,343.44937,454.94809,2514.24634,557.95495,484.14355,1465.9203,6593.0918,1300.82307,826.53193,1078.01159,1943.27805,3213.92587,3017.07557,1689.57652,1923.95989,2970.09193,1953.17965,6998.41644,3753.14651,14077.75355,776.06361,444.16987,62.29886,6799.10964,605.63861,617.81398
2009,65507.52788,200.33286,510.26903,30.98192,120.6598,83.16784,,2084.19654,1216.6212,1428.32611,7.53368,2354.78233,1101.89444,649.00192,310.92407,392.93917,2159.85597,509.06032,485.23779,1387.20204,5254.62664,1160.22837,754.48067,1024.63186,1780.02738,2764.09709,2291.25145,1330.66506,1662.11174,2458.04152,1557.97963,6027.77142,3250.08694,10246.75632,686.92556,433.96155,60.72066,6624.92209,547.46253,557.79237
2008,60440.67936,157.96764,542.29908,38.26869,114.59749,89.54832,0.19433,1465.73212,1108.78095,1416.51097,9.29972,2367.74235,1114.91223,655.06495,307.83594,382.312,2167.53447,507.51641,464.6659,931.94564,4708.98708,950.38142,743.91693,951.03889,1709.71134,2641.14576,2030.10246,1178.07844,1513.25784,2206.60999,1430.14834,5687.32573,2900.86398,9787.04366,660.22418,415.18975,49.44423,6044.93716,500.63394,488.90904
