年份,外商及港澳台商投资工业企业主营业务成本,煤炭开采和洗选业外商及港澳台商投资工业企业主营业务成本,石油和天然气开采业外商及港澳台商投资工业企业主营业务成本,黑色金属矿采选业外商及港澳台商投资工业企业主营业务成本,有色金属矿采选业外商及港澳台商投资工业企业主营业务成本,非金属矿采选业外商及港澳台商投资工业企业主营业务成本,其他采矿业外商及港澳台商投资工业企业主营业务成本,农副食品加工业外商及港澳台商投资工业企业主营业务成本,食品制造业外商及港澳台商投资工业企业主营业务成本,饮料制造业外商及港澳台商投资工业企业主营业务成本,烟草制品业外商及港澳台商投资工业企业主营业务成本,纺织业外商及港澳台商投资工业企业主营业务成本,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业主营业务成本,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业主营业务成本,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业主营业务成本,家具制造业外商及港澳台商投资工业企业主营业务成本,造纸及纸制品业外商及港澳台商投资工业企业主营业务成本,印刷业和记录媒介的复制外商及港澳台商投资工业企业主营业务成本,文教体育用品制造业外商及港澳台商投资工业企业主营业务成本,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业主营业务成本,化学原料及化学制品制造业外商及港澳台商投资工业企业主营业务成本,医药制造业外商及港澳台商投资工业企业主营业务成本,化学纤维制造业外商及港澳台商投资工业企业主营业务成本,橡胶制品业外商及港澳台商投资工业企业主营业务成本,塑料制品业外商及港澳台商投资工业企业主营业务成本,非金属矿物制品业外商及港澳台商投资工业企业主营业务成本,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务成本,有色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务成本,金属制品业外商及港澳台商投资工业企业主营业务成本,通用设备制造业外商及港澳台商投资工业企业主营业务成本,专用设备制造业外商及港澳台商投资工业企业主营业务成本,交通运输设备制造业外商及港澳台商投资工业企业主营业务成本,电气机械及器材制造业外商及港澳台商投资工业企业主营业务成本,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业主营业务成本,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业主营业务成本,工艺品及其他制造业外商及港澳台商投资工业企业主营业务成本,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业主营业务成本,电力、热力的生产和供应业外商及港澳台商投资工业企业主营业务成本,燃气生产和供应业外商及港澳台商投资工业企业主营业务成本,水的生产和供应业外商及港澳台商投资工业企业主营业务成本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,183931.68,837.6825,429.50282,160.88689,71.77725,92.90052,,8370.92544,3410.23776,2613.28855,2.6356,5789.20057,3840.12326,3180.88571,787.96105,1245.96027,2833.77977,691.463,1413.23254,4038.11427,12756.37472,2276.97677,1717.2495,1862.57316,3837.43705,4189.07322,7571.22349,4220.30296,4845.23648,7465.38622,4884.33622,22266.34898,12898.51514,44199.02101,2946.78033,1964.97849,461.57858,2654.39186,962.78499,140.55596
2010,159273.1,590.96718,379.42175,94.27605,221.12031,100.04259,,7177.74277,2588.37503,2086.71942,2.26072,5155.77387,3706.72145,2910.84754,732.61972,1195.99567,2608.51034,637.22644,1396.17148,3250.42355,9881.67181,1884.1692,1355.10987,1615.36111,3650.13394,3617.12534,6252.19007,3558.69866,4283.9855,6454.5665,4364.64177,19787.96263,11098.31073,38789.79668,2623.13545,1658.33467,394.59923,2313.09274,727.45317,127.54971
2009,127247.8,303.15266,220.34877,64.43474,212.89516,93.24137,,6223.98198,2252.96476,1736.08193,2.12398,4272.78063,3410.00331,2390.01449,624.35136,978.58354,2048.98832,573.46575,1179.99673,2213.26286,7297.28306,1611.8427,1012.18489,1408.28944,2972.42828,2975.55111,5379.54107,2692.77668,3360.11242,4999.0635,3239.66842,14932.05216,8665.37883,31522.16419,2079.05075,1271.21395,217.46168,2100.1454,608.6932,102.22351
