年份,外商及港澳台商投资工业企业主营业务税金及附加,煤炭开采和洗选业外商及港澳台商投资工业企业主营业务税金及附加,石油和天然气开采业外商及港澳台商投资工业企业主营业务税金及附加,黑色金属矿采选业外商及港澳台商投资工业企业主营业务税金及附加,有色金属矿采选业外商及港澳台商投资工业企业主营业务税金及附加,非金属矿采选业外商及港澳台商投资工业企业主营业务税金及附加,其他采矿业外商及港澳台商投资工业企业主营业务税金及附加,农副食品加工业外商及港澳台商投资工业企业主营业务税金及附加,食品制造业外商及港澳台商投资工业企业主营业务税金及附加,饮料制造业外商及港澳台商投资工业企业主营业务税金及附加,烟草制品业外商及港澳台商投资工业企业主营业务税金及附加,纺织业外商及港澳台商投资工业企业主营业务税金及附加,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业主营业务税金及附加,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业主营业务税金及附加,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业主营业务税金及附加,家具制造业外商及港澳台商投资工业企业主营业务税金及附加,造纸及纸制品业外商及港澳台商投资工业企业主营业务税金及附加,印刷业和记录媒介的复制外商及港澳台商投资工业企业主营业务税金及附加,文教体育用品制造业外商及港澳台商投资工业企业主营业务税金及附加,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业主营业务税金及附加,化学原料及化学制品制造业外商及港澳台商投资工业企业主营业务税金及附加,医药制造业外商及港澳台商投资工业企业主营业务税金及附加,化学纤维制造业外商及港澳台商投资工业企业主营业务税金及附加,橡胶制品业外商及港澳台商投资工业企业主营业务税金及附加,塑料制品业外商及港澳台商投资工业企业主营业务税金及附加,非金属矿物制品业外商及港澳台商投资工业企业主营业务税金及附加,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务税金及附加,有色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务税金及附加,金属制品业外商及港澳台商投资工业企业主营业务税金及附加,通用设备制造业外商及港澳台商投资工业企业主营业务税金及附加,专用设备制造业外商及港澳台商投资工业企业主营业务税金及附加,交通运输设备制造业外商及港澳台商投资工业企业主营业务税金及附加,电气机械及器材制造业外商及港澳台商投资工业企业主营业务税金及附加,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业主营业务税金及附加,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业主营业务税金及附加,工艺品及其他制造业外商及港澳台商投资工业企业主营业务税金及附加,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业主营业务税金及附加,电力、热力的生产和供应业外商及港澳台商投资工业企业主营业务税金及附加,燃气生产和供应业外商及港澳台商投资工业企业主营业务税金及附加,水的生产和供应业外商及港澳台商投资工业企业主营业务税金及附加
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1665.28,28.14615,53.23676,1.55911,1.15793,1.80153,,19.45107,22.11062,80.10209,0.05426,24.10291,20.35563,16.44104,4.66275,6.86048,10.22313,3.63127,5.93477,331.37022,60.61667,22.09858,4.35678,8.9315,15.09494,28.07591,13.19243,15.34216,19.1473,31.66605,20.18104,656.62216,35.81673,63.54905,9.44397,7.66064,0.96497,12.06472,5.65455,3.59889
2010,1488.98,7.15744,37.42802,1.29071,1.30966,2.01243,,34.08048,20.55649,65.73177,0.00981,13.44764,17.72694,10.97051,4.08424,3.44271,6.60774,1.38333,4.29676,299.6026,54.54745,8.91248,2.31409,5.08728,13.30208,16.98637,9.71371,11.60087,14.0154,16.48778,12.1353,705.84851,37.93183,27.83528,3.85605,6.30449,0.56173,4.0333,3.1727,3.19088
2009,1162.81,3.81956,10.84795,0.92924,1.64061,1.91937,,26.75546,17.38877,66.33941,0.0058,13.48079,14.12728,10.62051,4.21916,5.70691,7.05996,2.03494,3.33287,235.28563,33.48303,6.66839,2.48681,5.62303,9.28021,19.43755,8.40272,15.34338,16.27561,15.04152,10.32538,517.2083,30.76126,19.72555,5.77854,6.28551,0.0904,9.94111,2.91681,2.21579
2008,884.89,9.31935,40.49546,1.21175,1.32316,1.55811,,27.96218,10.43519,62.52581,0.00402,12.86151,14.67692,10.13628,3.58646,4.09673,5.41332,1.01333,3.30279,46.27399,43.19493,4.88948,1.10325,4.30058,7.81343,15.82799,18.27074,13.61472,14.50541,21.64382,10.99884,378.21322,31.97102,38.3274,7.43821,7.44076,1.09192,4.50848,1.7813,1.75798
2007,653.89,1.60076,17.60275,1.31612,0.38966,3.20715,,13.05562,4.80964,56.57848,0.00236,9.41801,10.63525,7.38,2.87633,3.18591,4.2946,0.60662,2.70455,43.43344,11.05273,4.16236,2.15289,3.42388,4.87434,8.86687,6.02308,15.25179,10.05541,7.28847,4.11685,349.77404,11.2404,17.37382,2.14298,5.36729,0.14621,4.81033,1.04343,1.62542
