年份,外商及港澳台商投资工业企业国家资本金,煤炭开采和洗选业外商及港澳台商投资工业企业国家资本金,石油和天然气开采业外商及港澳台商投资工业企业国家资本金,黑色金属矿采选业外商及港澳台商投资工业企业国家资本金,有色金属矿采选业外商及港澳台商投资工业企业国家资本金,非金属矿采选业外商及港澳台商投资工业企业国家资本金,其他采矿业外商及港澳台商投资工业企业国家资本金,农副食品加工业外商及港澳台商投资工业企业国家资本金,食品制造业外商及港澳台商投资工业企业国家资本金,饮料制造业外商及港澳台商投资工业企业国家资本金,烟草制品业外商及港澳台商投资工业企业国家资本金,纺织业外商及港澳台商投资工业企业国家资本金,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业国家资本金,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业国家资本金,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业国家资本金,家具制造业外商及港澳台商投资工业企业国家资本金,造纸及纸制品业外商及港澳台商投资工业企业国家资本金,印刷业和记录媒介的复制外商及港澳台商投资工业企业国家资本金,文教体育用品制造业外商及港澳台商投资工业企业国家资本金,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业国家资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业国家资本金,医药制造业外商及港澳台商投资工业企业国家资本金,化学纤维制造业外商及港澳台商投资工业企业国家资本金,橡胶制品业外商及港澳台商投资工业企业国家资本金,塑料制品业外商及港澳台商投资工业企业国家资本金,非金属矿物制品业外商及港澳台商投资工业企业国家资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业国家资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业国家资本金,金属制品业外商及港澳台商投资工业企业国家资本金,通用设备制造业外商及港澳台商投资工业企业国家资本金,专用设备制造业外商及港澳台商投资工业企业国家资本金,交通运输设备制造业外商及港澳台商投资工业企业国家资本金,电气机械及器材制造业外商及港澳台商投资工业企业国家资本金,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业国家资本金,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业国家资本金,工艺品及其他制造业外商及港澳台商投资工业企业国家资本金,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业国家资本金,电力、热力的生产和供应业外商及港澳台商投资工业企业国家资本金,燃气生产和供应业外商及港澳台商投资工业企业国家资本金,水的生产和供应业外商及港澳台商投资工业企业国家资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1442.56788,9.3348,0.0807,0.08,0.58782,,,20.26711,6.76624,20.82823,2.25802,9.03747,2.26881,0.42356,1.8933,2.1866,86.9368,6.16229,0.30521,5.26772,46.69918,32.97919,21.81233,14.24616,11.30575,35.76085,67.63302,57.96392,20.44946,70.08245,13.12476,316.7854,30.20809,147.65395,3.97909,0.75424,1.32049,266.00353,36.47104,72.6503
2010,1406.55671,2.5238,0.22644,0.11005,2.48869,0.79009,,18.06757,7.18561,14.95009,,36.91818,1.96027,0.49879,2.94769,1.02844,32.91504,7.4055,0.38433,38.18379,51.66888,30.71612,7.44164,3.04216,6.31723,37.06959,32.76707,34.96826,32.97962,48.47596,14.19606,387.93896,27.64469,68.27988,3.82025,0.68106,0.3685,347.35014,39.06095,63.18532
2009,1440.50361,9.30026,0.22644,0.11006,0.15586,0.98405,,20.1964,6.15561,18.00629,0.61553,10.34917,1.19429,0.1885,4.36968,0.41092,23.48314,6.48126,0.72053,68.83842,85.84391,29.01142,16.25666,4.18519,5.38181,33.51082,55.87853,28.01816,31.81346,41.2425,17.27073,303.17978,29.51673,64.87472,6.3723,0.60155,1.22004,414.00861,37.13366,63.39662
2008,1343.92453,2.2235,107.72483,,2.01146,0.003,,20.29521,5.96119,22.3349,2.25802,10.21157,1.63184,1.05321,5.50055,0.5354,25.78851,9.64083,0.30891,82.04763,58.39117,28.05227,17.57333,16.03159,8.13372,41.90885,56.3917,39.57448,17.15972,38.24928,15.26519,267.08583,32.23163,72.19314,8.64709,0.73815,0.59281,242.61687,38.08466,45.47249
