年份,外商及港澳台商投资工业企业累计折旧,煤炭开采和洗选业外商及港澳台商投资工业企业累计折旧,石油和天然气开采业外商及港澳台商投资工业企业累计折旧,黑色金属矿采选业外商及港澳台商投资工业企业累计折旧,有色金属矿采选业外商及港澳台商投资工业企业累计折旧,非金属矿采选业外商及港澳台商投资工业企业累计折旧,其他采矿业外商及港澳台商投资工业企业累计折旧,农副食品加工业外商及港澳台商投资工业企业累计折旧,食品制造业外商及港澳台商投资工业企业累计折旧,饮料制造业外商及港澳台商投资工业企业累计折旧,烟草制品业外商及港澳台商投资工业企业累计折旧,纺织业外商及港澳台商投资工业企业累计折旧,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业累计折旧,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业累计折旧,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业累计折旧,家具制造业外商及港澳台商投资工业企业累计折旧,造纸及纸制品业外商及港澳台商投资工业企业累计折旧,印刷业和记录媒介的复制外商及港澳台商投资工业企业累计折旧,文教体育用品制造业外商及港澳台商投资工业企业累计折旧,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业累计折旧,化学原料及化学制品制造业外商及港澳台商投资工业企业累计折旧,医药制造业外商及港澳台商投资工业企业累计折旧,化学纤维制造业外商及港澳台商投资工业企业累计折旧,橡胶制品业外商及港澳台商投资工业企业累计折旧,塑料制品业外商及港澳台商投资工业企业累计折旧,非金属矿物制品业外商及港澳台商投资工业企业累计折旧,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业累计折旧,有色金属冶炼及压延加工业外商及港澳台商投资工业企业累计折旧,金属制品业外商及港澳台商投资工业企业累计折旧,通用设备制造业外商及港澳台商投资工业企业累计折旧,专用设备制造业外商及港澳台商投资工业企业累计折旧,交通运输设备制造业外商及港澳台商投资工业企业累计折旧,电气机械及器材制造业外商及港澳台商投资工业企业累计折旧,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业累计折旧,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业累计折旧,工艺品及其他制造业外商及港澳台商投资工业企业累计折旧,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业累计折旧,电力、热力的生产和供应业外商及港澳台商投资工业企业累计折旧,燃气生产和供应业外商及港澳台商投资工业企业累计折旧,水的生产和供应业外商及港澳台商投资工业企业累计折旧
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,36483.25031,235.76484,267.68918,18.55908,13.45579,40.50841,,1359.87624,652.22746,825.80323,4.71789,1170.35066,504.66222,326.48004,238.98309,187.59501,986.98065,272.7674,206.55363,713.41542,2758.02123,584.76713,404.94718,549.6388,897.91294,1224.86663,1597.68596,744.58131,863.26481,1279.86382,914.53221,3289.71747,1845.37838,7438.15912,436.80188,195.6369,29.97233,2981.63225,192.08727,227.39245
2010,30267.42992,88.55495,205.51487,10.88176,32.51348,35.89807,,1191.38404,564.04018,644.71195,4.50493,1070.70512,477.50077,298.87418,147.41462,181.23494,839.94431,250.4671,207.04044,521.27128,2225.18281,523.60398,309.5787,419.81832,849.27547,1055.34047,1090.90223,532.60892,767.67041,1117.52799,744.82535,2827.69058,1468.74619,5863.52771,345.55308,172.88219,20.22454,2815.75263,135.25297,209.00839
2009,25051.58252,31.64876,143.48915,5.77264,25.26364,30.5009,,989.74062,464.04692,546.42575,4.21301,901.85078,410.15604,255.7146,123.91227,147.38452,678.88762,229.23938,196.15963,442.56528,1579.38376,457.63713,266.26931,359.24126,762.73551,912.47565,740.79244,403.605,644.6263,916.29436,567.30221,2253.85828,1281.26165,4692.88132,301.10841,169.41278,14.88394,2809.86601,113.97461,177.00108
2008,22436.32248,31.85959,258.75883,6.02908,21.37253,38.49686,0.09935,549.66808,418.38017,620.64699,4.96324,884.64651,401.40626,252.97251,112.45003,134.30919,665.89048,216.23264,185.53716,383.06994,1482.94674,347.65085,232.22023,324.73647,689.29203,848.50315,584.06091,374.99911,572.88689,793.60482,492.24468,2012.09466,1133.02579,4020.97233,272.14248,146.8274,15.33984,2626.39109,110.32709,169.26648
