年份,外商及港澳台商投资工业企业存货,煤炭开采和洗选业外商及港澳台商投资工业企业存货,石油和天然气开采业外商及港澳台商投资工业企业存货,黑色金属矿采选业外商及港澳台商投资工业企业存货,有色金属矿采选业外商及港澳台商投资工业企业存货,非金属矿采选业外商及港澳台商投资工业企业存货,其他采矿业外商及港澳台商投资工业企业存货,农副食品加工业外商及港澳台商投资工业企业存货,食品制造业外商及港澳台商投资工业企业存货,饮料制造业外商及港澳台商投资工业企业存货,烟草制品业外商及港澳台商投资工业企业存货,纺织业外商及港澳台商投资工业企业存货,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业存货,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业存货,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业存货,家具制造业外商及港澳台商投资工业企业存货,造纸及纸制品业外商及港澳台商投资工业企业存货,印刷业和记录媒介的复制外商及港澳台商投资工业企业存货,文教体育用品制造业外商及港澳台商投资工业企业存货,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业存货,化学原料及化学制品制造业外商及港澳台商投资工业企业存货,医药制造业外商及港澳台商投资工业企业存货,化学纤维制造业外商及港澳台商投资工业企业存货,橡胶制品业外商及港澳台商投资工业企业存货,塑料制品业外商及港澳台商投资工业企业存货,非金属矿物制品业外商及港澳台商投资工业企业存货,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业存货,有色金属冶炼及压延加工业外商及港澳台商投资工业企业存货,金属制品业外商及港澳台商投资工业企业存货,通用设备制造业外商及港澳台商投资工业企业存货,专用设备制造业外商及港澳台商投资工业企业存货,交通运输设备制造业外商及港澳台商投资工业企业存货,电气机械及器材制造业外商及港澳台商投资工业企业存货,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业存货,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业存货,工艺品及其他制造业外商及港澳台商投资工业企业存货,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业存货,电力、热力的生产和供应业外商及港澳台商投资工业企业存货,燃气生产和供应业外商及港澳台商投资工业企业存货,水的生产和供应业外商及港澳台商投资工业企业存货
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,23075.24308,127.1571,26.37263,13.73322,9.62234,7.0191,,974.0061,396.496,402.52209,0.27573,912.20665,573.51201,398.26277,128.38991,228.42004,434.41691,115.73695,243.86201,501.51256,1383.50157,519.67834,223.98309,284.22489,559.88669,592.05854,956.84205,544.60273,738.28014,1682.78807,1196.26213,2496.21602,1663.06543,3639.76353,466.05318,300.84796,93.0423,186.96196,47.23784,6.4225
2010,20623.81629,94.80522,24.84319,11.87814,21.30203,8.91618,,918.65973,332.3396,342.41576,0.3035,872.41306,551.005,386.25299,132.74495,224.21198,398.77062,111.22081,230.93946,439.15103,1215.21474,437.47138,185.83001,250.8122,536.64344,506.85522,895.04706,425.71319,696.33788,1377.92429,1010.70554,2131.62399,1616.25133,3360.05098,370.4604,240.78399,60.149,164.70498,33.0297,6.03372
2009,16469.73304,35.44721,19.70195,5.9773,22.42339,9.07068,,722.62466,298.5114,303.54354,0.21197,728.49459,485.37156,340.92029,127.83422,195.50769,318.8333,97.04883,211.64506,350.92827,920.91117,371.61905,135.06448,220.8803,461.43964,446.13035,667.3072,343.04586,625.63321,1059.03165,766.85197,1660.50545,1244.63134,2516.53043,300.02309,203.63185,52.14759,145.13161,51.56976,3.55113
2008,16801.21897,31.52302,18.15111,8.10409,23.34927,9.82886,0.00763,602.95348,295.65668,320.81934,0.28193,712.31297,484.35609,371.70549,134.37368,221.18278,355.51341,106.35471,242.54449,275.09807,976.22932,313.80636,134.1128,238.11449,483.43022,488.9809,719.23463,344.40202,654.75281,1196.49534,804.04613,1718.52767,1229.25131,2539.46561,310.94376,198.81976,55.08549,155.11619,23.12399,3.16307
2007,15126.22224,10.96512,16.1696,11.52166,5.82916,8.06014,0.00181,645.60091,237.88533,281.42804,2.01921,706.90932,413.80565,360.34648,122.18726,209.66988,302.20532,102.41766,218.19929,324.0863,881.5479,245.16188,147.75753,179.40879,460.56408,386.20073,613.06859,292.39305,553.46987,979.96918,571.92653,1354.4942,1187.78442,2652.44231,290.15787,187.02951,25.31751,111.73452,24.90168,1.58395
