年份,外商及港澳台商投资工业企业负债合计,煤炭开采和洗选业外商及港澳台商投资工业企业负债合计,石油和天然气开采业外商及港澳台商投资工业企业负债合计,黑色金属矿采选业外商及港澳台商投资工业企业负债合计,有色金属矿采选业外商及港澳台商投资工业企业负债合计,非金属矿采选业外商及港澳台商投资工业企业负债合计,其他采矿业外商及港澳台商投资工业企业负债合计,农副食品加工业外商及港澳台商投资工业企业负债合计,食品制造业外商及港澳台商投资工业企业负债合计,饮料制造业外商及港澳台商投资工业企业负债合计,烟草制品业外商及港澳台商投资工业企业负债合计,纺织业外商及港澳台商投资工业企业负债合计,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业负债合计,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业负债合计,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业负债合计,家具制造业外商及港澳台商投资工业企业负债合计,造纸及纸制品业外商及港澳台商投资工业企业负债合计,印刷业和记录媒介的复制外商及港澳台商投资工业企业负债合计,文教体育用品制造业外商及港澳台商投资工业企业负债合计,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业负债合计,化学原料及化学制品制造业外商及港澳台商投资工业企业负债合计,医药制造业外商及港澳台商投资工业企业负债合计,化学纤维制造业外商及港澳台商投资工业企业负债合计,橡胶制品业外商及港澳台商投资工业企业负债合计,塑料制品业外商及港澳台商投资工业企业负债合计,非金属矿物制品业外商及港澳台商投资工业企业负债合计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业负债合计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业负债合计,金属制品业外商及港澳台商投资工业企业负债合计,通用设备制造业外商及港澳台商投资工业企业负债合计,专用设备制造业外商及港澳台商投资工业企业负债合计,交通运输设备制造业外商及港澳台商投资工业企业负债合计,电气机械及器材制造业外商及港澳台商投资工业企业负债合计,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业负债合计,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业负债合计,工艺品及其他制造业外商及港澳台商投资工业企业负债合计,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业负债合计,电力、热力的生产和供应业外商及港澳台商投资工业企业负债合计,燃气生产和供应业外商及港澳台商投资工业企业负债合计,水的生产和供应业外商及港澳台商投资工业企业负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,92130.82,1066.07118,556.78618,88.36199,54.48124,60.67619,,3411.92944,1660.17222,1540.65037,1.43624,2682.47866,1534.68949,997.58371,309.90618,604.96059,2684.5716,399.65638,512.37647,1677.62987,6720.07652,1572.603,1075.49308,981.35543,1892.78304,2965.61862,3818.18919,2065.60502,2157.29083,4490.55993,3031.99999,12257.00482,6401.20115,15785.16286,1163.9147,637.7776,291.77338,3708.4403,772.6647,496.88953
2010,82038.76,498.51221,491.32255,76.77704,151.45982,61.62982,,3046.04419,1393.01133,1385.70571,1.36796,2565.15414,1426.35825,1018.81824,313.17827,582.23112,2407.49666,380.77271,514.00537,1556.18405,5866.72171,1326.7591,836.90966,845.04625,1763.22285,2559.55955,3380.70354,1817.51871,2057.0271,3981.60052,2756.77353,11296.01662,5621.83292,13549.3031,1012.53359,522.43692,192.43996,3685.87873,614.82756,481.61478
2009,69928.77,401.3752,439.28026,48.70001,132.25105,67.30976,,2403.66643,1181.24668,1177.44863,1.95969,2251.70356,1316.34058,909.75582,305.82407,492.95708,1952.40209,361.26631,493.24729,1428.07562,4622.89919,1134.7854,670.70864,812.00154,1543.16457,2278.23106,2837.07737,1647.04505,1799.48105,3146.79288,2178.57456,8910.65913,4472.14334,11655.16207,1098.24121,457.37349,162.20668,3467.13227,1250.30647,419.97344
2008,62831.0,306.89486,172.31123,40.36859,125.94721,58.37931,0.20434,1831.54871,1089.35526,1177.0942,2.25897,2191.70906,1393.74701,889.91833,316.69007,490.55928,1955.9049,363.32554,511.96003,1338.63171,4211.29281,985.18727,675.49258,852.13063,1581.39085,2229.93387,2568.20415,1329.19734,1717.32613,2972.60158,1981.51631,6882.35245,4011.28352,11098.74518,785.63816,476.55597,111.34795,3267.52854,473.38232,363.08771
