年份,外商及港澳台商投资工业企业应收账款净额,煤炭开采和洗选业外商及港澳台商投资工业企业应收账款净额,石油和天然气开采业外商及港澳台商投资工业企业应收账款净额,黑色金属矿采选业外商及港澳台商投资工业企业应收账款净额,有色金属矿采选业外商及港澳台商投资工业企业应收账款净额,非金属矿采选业外商及港澳台商投资工业企业应收账款净额,其他采矿业外商及港澳台商投资工业企业应收账款净额,农副食品加工业外商及港澳台商投资工业企业应收账款净额,食品制造业外商及港澳台商投资工业企业应收账款净额,饮料制造业外商及港澳台商投资工业企业应收账款净额,烟草制品业外商及港澳台商投资工业企业应收账款净额,纺织业外商及港澳台商投资工业企业应收账款净额,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业应收账款净额,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业应收账款净额,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业应收账款净额,家具制造业外商及港澳台商投资工业企业应收账款净额,造纸及纸制品业外商及港澳台商投资工业企业应收账款净额,印刷业和记录媒介的复制外商及港澳台商投资工业企业应收账款净额,文教体育用品制造业外商及港澳台商投资工业企业应收账款净额,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业应收账款净额,化学原料及化学制品制造业外商及港澳台商投资工业企业应收账款净额,医药制造业外商及港澳台商投资工业企业应收账款净额,化学纤维制造业外商及港澳台商投资工业企业应收账款净额,橡胶制品业外商及港澳台商投资工业企业应收账款净额,塑料制品业外商及港澳台商投资工业企业应收账款净额,非金属矿物制品业外商及港澳台商投资工业企业应收账款净额,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业应收账款净额,有色金属冶炼及压延加工业外商及港澳台商投资工业企业应收账款净额,金属制品业外商及港澳台商投资工业企业应收账款净额,通用设备制造业外商及港澳台商投资工业企业应收账款净额,专用设备制造业外商及港澳台商投资工业企业应收账款净额,交通运输设备制造业外商及港澳台商投资工业企业应收账款净额,电气机械及器材制造业外商及港澳台商投资工业企业应收账款净额,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业应收账款净额,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业应收账款净额,工艺品及其他制造业外商及港澳台商投资工业企业应收账款净额,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业应收账款净额,电力、热力的生产和供应业外商及港澳台商投资工业企业应收账款净额,燃气生产和供应业外商及港澳台商投资工业企业应收账款净额,水的生产和供应业外商及港澳台商投资工业企业应收账款净额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,27132.04395,501.91454,6.27288,35.00057,3.37767,9.84765,,400.32154,428.88866,224.80149,1.0276,678.54581,437.5305,425.05826,76.7752,181.46128,466.34012,176.63136,172.22698,170.16653,1552.00518,470.31805,92.20508,286.16914,670.9208,628.49209,314.60229,354.90361,760.49044,1619.84297,1214.02174,3078.29435,2710.12946,7609.2851,594.29185,249.76984,60.07558,349.5894,80.77589,39.67245
2010,24176.29964,128.18168,4.73046,19.44488,20.35065,10.1371,,333.15515,316.43314,185.82868,1.40738,626.67687,422.14994,410.90221,68.59493,173.78525,445.6036,162.04977,183.24632,174.44288,1375.89782,400.56647,69.34416,240.65131,630.82938,571.57282,290.36807,362.59287,713.60573,1479.53139,1113.65919,2657.29943,2420.98505,6938.16653,536.85078,226.49694,42.17927,346.70295,43.49391,28.38468
2009,20860.8541,112.44556,4.85295,16.73281,23.01864,11.11603,,303.51775,282.97496,161.68028,0.65244,562.57963,407.37197,304.97505,58.85666,149.60207,346.4378,143.9307,181.40215,123.0595,1086.66724,347.63189,69.69605,234.301,557.34173,503.37718,258.04802,292.92925,600.53463,1175.86903,833.38798,2097.02788,1890.49937,5977.36811,442.84578,190.81649,26.6961,312.76342,743.85899,23.98701
2008,17123.55885,77.5033,11.2817,15.86906,10.52612,12.40376,0.00925,272.50964,266.99915,161.81294,0.60093,516.28669,413.64887,279.39602,49.83497,128.38794,362.8384,147.90189,164.49381,105.92327,922.18206,291.65119,71.95298,213.62032,551.21547,474.37576,226.1643,227.34834,586.76929,1046.21429,694.9331,1386.30332,1645.32934,4878.1298,388.15308,168.83186,19.50134,276.68806,31.99757,23.96967
