年份,外商及港澳台商投资工业企业利润总额,煤炭开采和洗选业外商及港澳台商投资工业企业利润总额,石油和天然气开采业外商及港澳台商投资工业企业利润总额,黑色金属矿采选业外商及港澳台商投资工业企业利润总额,有色金属矿采选业外商及港澳台商投资工业企业利润总额,非金属矿采选业外商及港澳台商投资工业企业利润总额,其他采矿业外商及港澳台商投资工业企业利润总额,农副食品加工业外商及港澳台商投资工业企业利润总额,食品制造业外商及港澳台商投资工业企业利润总额,饮料制造业外商及港澳台商投资工业企业利润总额,烟草制品业外商及港澳台商投资工业企业利润总额,纺织业外商及港澳台商投资工业企业利润总额,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业利润总额,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业利润总额,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业利润总额,家具制造业外商及港澳台商投资工业企业利润总额,造纸及纸制品业外商及港澳台商投资工业企业利润总额,印刷业和记录媒介的复制外商及港澳台商投资工业企业利润总额,文教体育用品制造业外商及港澳台商投资工业企业利润总额,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业利润总额,化学原料及化学制品制造业外商及港澳台商投资工业企业利润总额,医药制造业外商及港澳台商投资工业企业利润总额,化学纤维制造业外商及港澳台商投资工业企业利润总额,橡胶制品业外商及港澳台商投资工业企业利润总额,塑料制品业外商及港澳台商投资工业企业利润总额,非金属矿物制品业外商及港澳台商投资工业企业利润总额,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业利润总额,有色金属冶炼及压延加工业外商及港澳台商投资工业企业利润总额,金属制品业外商及港澳台商投资工业企业利润总额,通用设备制造业外商及港澳台商投资工业企业利润总额,专用设备制造业外商及港澳台商投资工业企业利润总额,交通运输设备制造业外商及港澳台商投资工业企业利润总额,电气机械及器材制造业外商及港澳台商投资工业企业利润总额,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业利润总额,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业利润总额,工艺品及其他制造业外商及港澳台商投资工业企业利润总额,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业利润总额,电力、热力的生产和供应业外商及港澳台商投资工业企业利润总额,燃气生产和供应业外商及港澳台商投资工业企业利润总额,水的生产和供应业外商及港澳台商投资工业企业利润总额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,15494.22,257.3146,400.27826,43.82072,28.67227,15.35579,,518.38333,434.89131,290.26308,1.24596,412.60364,352.15367,307.07718,64.61117,86.71608,220.83477,104.86802,66.57039,86.87422,1365.0666,412.58769,152.92149,94.61741,268.51878,508.70299,302.12035,267.87214,385.99965,825.34598,532.89933,3113.56351,959.40988,1783.73523,254.15076,143.51248,27.93515,223.34241,136.92498,42.45545
2010,15019.55,171.75287,371.30189,29.20913,31.32278,13.63783,,506.40226,360.74955,259.39872,0.82972,365.40302,340.79936,261.57855,50.08605,90.02377,261.01207,90.65253,70.48888,213.63784,1285.25141,411.2234,143.65365,127.371,292.64781,489.81073,322.16858,269.20535,377.52033,790.05861,552.56459,2852.75275,1063.12356,1725.63414,237.10054,132.93773,19.31979,277.97919,126.11119,34.82689
2009,10107.05,98.28308,234.3204,9.76112,22.86839,11.24897,,350.0215,283.60501,238.68346,0.53511,236.48761,255.97844,178.03886,30.61553,62.32221,180.15226,83.18331,48.42028,174.05645,784.62279,329.99493,68.95247,128.87643,202.28171,295.72612,198.73254,190.94537,224.70493,513.53902,334.14174,1796.56652,782.35573,1055.10336,169.19186,83.08144,5.89164,326.86596,90.20596,26.69159
2008,8242.63,88.33466,430.74173,28.99669,30.47795,11.05663,-0.03742,290.88558,204.07179,186.69677,0.80759,175.02141,187.16276,135.94295,30.72814,39.24382,139.02643,74.10559,28.71707,-94.8879,591.15084,260.09605,47.37083,51.93297,169.27635,262.44493,298.41378,163.24831,220.51171,508.54858,316.08663,1112.86009,648.8429,1136.4933,168.76089,83.73744,1.9483,115.36008,66.63365,31.81596
