年份,外商及港澳台商投资工业企业法人资本金,煤炭开采和洗选业外商及港澳台商投资工业企业法人资本金,石油和天然气开采业外商及港澳台商投资工业企业法人资本金,黑色金属矿采选业外商及港澳台商投资工业企业法人资本金,有色金属矿采选业外商及港澳台商投资工业企业法人资本金,非金属矿采选业外商及港澳台商投资工业企业法人资本金,其他采矿业外商及港澳台商投资工业企业法人资本金,农副食品加工业外商及港澳台商投资工业企业法人资本金,食品制造业外商及港澳台商投资工业企业法人资本金,饮料制造业外商及港澳台商投资工业企业法人资本金,烟草制品业外商及港澳台商投资工业企业法人资本金,纺织业外商及港澳台商投资工业企业法人资本金,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业法人资本金,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业法人资本金,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业法人资本金,家具制造业外商及港澳台商投资工业企业法人资本金,造纸及纸制品业外商及港澳台商投资工业企业法人资本金,印刷业和记录媒介的复制外商及港澳台商投资工业企业法人资本金,文教体育用品制造业外商及港澳台商投资工业企业法人资本金,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业法人资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业法人资本金,医药制造业外商及港澳台商投资工业企业法人资本金,化学纤维制造业外商及港澳台商投资工业企业法人资本金,橡胶制品业外商及港澳台商投资工业企业法人资本金,塑料制品业外商及港澳台商投资工业企业法人资本金,非金属矿物制品业外商及港澳台商投资工业企业法人资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业法人资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业法人资本金,金属制品业外商及港澳台商投资工业企业法人资本金,通用设备制造业外商及港澳台商投资工业企业法人资本金,专用设备制造业外商及港澳台商投资工业企业法人资本金,交通运输设备制造业外商及港澳台商投资工业企业法人资本金,电气机械及器材制造业外商及港澳台商投资工业企业法人资本金,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业法人资本金,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业法人资本金,工艺品及其他制造业外商及港澳台商投资工业企业法人资本金,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业法人资本金,电力、热力的生产和供应业外商及港澳台商投资工业企业法人资本金,燃气生产和供应业外商及港澳台商投资工业企业法人资本金,水的生产和供应业外商及港澳台商投资工业企业法人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,8216.49619,47.06217,1.33284,13.26467,8.87089,4.20464,,219.24502,140.07795,200.01962,1.2633,264.67319,130.22095,100.39922,51.55345,42.60865,294.32382,62.95472,34.62676,221.98756,745.48283,153.68766,119.70485,46.81766,190.44154,374.61007,240.86933,149.26544,220.37157,360.52415,222.84795,1056.15298,493.72433,763.14803,72.86986,48.70893,9.67743,962.14424,97.46728,49.29064
2010,7264.72667,38.92444,1.15364,5.52995,29.22282,5.15727,,180.99165,127.25565,187.99345,3.24168,247.23638,118.2326,74.3061,54.10061,41.14106,329.7176,68.27978,32.47218,179.64996,644.10633,149.89485,114.76128,52.1747,203.53507,334.11495,282.826,147.45498,185.44967,348.02187,195.32332,858.34158,459.13043,605.11928,70.18215,50.54247,14.87111,705.97656,63.38958,54.90367
2009,6423.2206,40.53606,1.15364,4.21821,32.79443,6.33191,,177.34167,139.24211,140.88611,2.25802,231.12552,114.8765,77.38787,42.46095,35.62048,309.36214,66.97335,30.3137,141.04923,480.71552,120.33089,82.02514,62.0451,177.16523,312.32419,263.08433,141.22306,172.32063,312.02236,138.93625,814.54165,373.25127,583.98176,69.34879,42.31248,9.30971,563.38249,64.72577,46.24208
2008,5550.02278,11.03567,3.5135,3.06864,27.61344,6.85998,,132.25641,95.76264,129.95275,0.8924,212.59095,87.50042,61.66576,48.91594,33.22739,239.54053,65.71419,23.40722,110.72797,416.89849,115.47964,92.31337,48.99634,145.81167,270.14527,221.79821,115.80611,149.64442,244.21986,129.5036,758.91312,292.71847,566.16875,52.2699,35.66089,10.25854,501.40732,49.03056,38.73245
