年份,外商及港澳台商投资工业企业所有者权益合计,煤炭开采和洗选业外商及港澳台商投资工业企业所有者权益合计,石油和天然气开采业外商及港澳台商投资工业企业所有者权益合计,黑色金属矿采选业外商及港澳台商投资工业企业所有者权益合计,有色金属矿采选业外商及港澳台商投资工业企业所有者权益合计,非金属矿采选业外商及港澳台商投资工业企业所有者权益合计,其他采矿业外商及港澳台商投资工业企业所有者权益合计,农副食品加工业外商及港澳台商投资工业企业所有者权益合计,食品制造业外商及港澳台商投资工业企业所有者权益合计,饮料制造业外商及港澳台商投资工业企业所有者权益合计,烟草制品业外商及港澳台商投资工业企业所有者权益合计,纺织业外商及港澳台商投资工业企业所有者权益合计,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业所有者权益合计,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业所有者权益合计,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业所有者权益合计,家具制造业外商及港澳台商投资工业企业所有者权益合计,造纸及纸制品业外商及港澳台商投资工业企业所有者权益合计,印刷业和记录媒介的复制外商及港澳台商投资工业企业所有者权益合计,文教体育用品制造业外商及港澳台商投资工业企业所有者权益合计,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业所有者权益合计,化学原料及化学制品制造业外商及港澳台商投资工业企业所有者权益合计,医药制造业外商及港澳台商投资工业企业所有者权益合计,化学纤维制造业外商及港澳台商投资工业企业所有者权益合计,橡胶制品业外商及港澳台商投资工业企业所有者权益合计,塑料制品业外商及港澳台商投资工业企业所有者权益合计,非金属矿物制品业外商及港澳台商投资工业企业所有者权益合计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业所有者权益合计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业所有者权益合计,金属制品业外商及港澳台商投资工业企业所有者权益合计,通用设备制造业外商及港澳台商投资工业企业所有者权益合计,专用设备制造业外商及港澳台商投资工业企业所有者权益合计,交通运输设备制造业外商及港澳台商投资工业企业所有者权益合计,电气机械及器材制造业外商及港澳台商投资工业企业所有者权益合计,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业所有者权益合计,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业所有者权益合计,工艺品及其他制造业外商及港澳台商投资工业企业所有者权益合计,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业所有者权益合计,电力、热力的生产和供应业外商及港澳台商投资工业企业所有者权益合计,燃气生产和供应业外商及港澳台商投资工业企业所有者权益合计,水的生产和供应业外商及港澳台商投资工业企业所有者权益合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,69702.34,499.61248,183.28666,107.04539,80.62144,47.15761,,2071.2937,1588.31592,1336.85424,7.67412,2459.98379,1458.82683,1125.12848,325.59389,496.72897,2139.89113,522.327,493.35301,862.01432,5802.22957,1859.4449,690.58338,785.84861,1780.24232,2677.6949,1781.08173,1560.06879,1940.69987,3970.27015,2621.12993,8135.72506,4571.31441,9919.81807,1204.20812,598.05235,93.40283,2741.77271,686.98659,476.05257
2010,66258.92,417.59594,121.73724,75.23701,176.63472,56.23118,,1769.14163,1326.21704,1240.92355,7.45959,2400.06236,1485.24398,993.22959,314.16756,497.38,1976.52271,526.44379,504.27619,764.42316,5040.03651,1672.85625,633.02382,777.81441,1821.62485,2437.07054,1685.19588,1372.91396,1906.99101,3518.42962,2511.50884,7116.18713,4345.65733,11434.02592,1042.35768,597.29385,75.8702,2644.3115,519.96521,452.8612
2009,54251.47,239.86964,86.29274,59.75182,186.54112,55.41582,,1538.36894,1223.3655,1056.77112,6.31076,2197.01914,1351.68327,812.91814,290.81169,431.8547,1613.0465,478.54666,496.74792,615.7067,4029.1167,1421.69134,497.27186,739.67836,1575.2607,2016.51738,1498.32688,1141.75114,1635.82241,2863.68628,1944.56905,5743.12487,3588.76962,7881.02281,893.02211,542.58905,59.6245,2549.04881,467.85284,421.69685
2008,49307.2,195.66802,303.78046,56.9475,181.47866,67.42272,-0.01602,1242.82717,996.99522,1107.88193,7.3674,2072.14155,1226.96835,759.40947,318.74401,405.04535,1447.51633,469.3099,467.00642,492.86017,3458.22017,1119.40843,505.68761,650.69304,1467.43139,1899.60981,1474.18279,995.24291,1537.80997,2553.08808,1725.77862,4963.5395,3200.03153,7688.88281,848.10738,502.04464,50.37196,2107.98602,391.59854,348.13445
