年份,外商及港澳台商投资工业企业主营业务收入,煤炭开采和洗选业外商及港澳台商投资工业企业主营业务收入,石油和天然气开采业外商及港澳台商投资工业企业主营业务收入,黑色金属矿采选业外商及港澳台商投资工业企业主营业务收入,有色金属矿采选业外商及港澳台商投资工业企业主营业务收入,非金属矿采选业外商及港澳台商投资工业企业主营业务收入,其他采矿业外商及港澳台商投资工业企业主营业务收入,农副食品加工业外商及港澳台商投资工业企业主营业务收入,食品制造业外商及港澳台商投资工业企业主营业务收入,饮料制造业外商及港澳台商投资工业企业主营业务收入,烟草制品业外商及港澳台商投资工业企业主营业务收入,纺织业外商及港澳台商投资工业企业主营业务收入,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业主营业务收入,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业主营业务收入,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业主营业务收入,家具制造业外商及港澳台商投资工业企业主营业务收入,造纸及纸制品业外商及港澳台商投资工业企业主营业务收入,印刷业和记录媒介的复制外商及港澳台商投资工业企业主营业务收入,文教体育用品制造业外商及港澳台商投资工业企业主营业务收入,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业主营业务收入,化学原料及化学制品制造业外商及港澳台商投资工业企业主营业务收入,医药制造业外商及港澳台商投资工业企业主营业务收入,化学纤维制造业外商及港澳台商投资工业企业主营业务收入,橡胶制品业外商及港澳台商投资工业企业主营业务收入,塑料制品业外商及港澳台商投资工业企业主营业务收入,非金属矿物制品业外商及港澳台商投资工业企业主营业务收入,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务收入,有色金属冶炼及压延加工业外商及港澳台商投资工业企业主营业务收入,金属制品业外商及港澳台商投资工业企业主营业务收入,通用设备制造业外商及港澳台商投资工业企业主营业务收入,专用设备制造业外商及港澳台商投资工业企业主营业务收入,交通运输设备制造业外商及港澳台商投资工业企业主营业务收入,电气机械及器材制造业外商及港澳台商投资工业企业主营业务收入,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业主营业务收入,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业主营业务收入,工艺品及其他制造业外商及港澳台商投资工业企业主营业务收入,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业主营业务收入,电力、热力的生产和供应业外商及港澳台商投资工业企业主营业务收入,燃气生产和供应业外商及港澳台商投资工业企业主营业务收入,水的生产和供应业外商及港澳台商投资工业企业主营业务收入
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,216304.29,1182.51089,919.67081,220.98285,116.64076,130.16363,,9289.23088,4618.42128,3579.5366,4.98562,6618.9314,4682.99646,3792.07978,927.7073,1462.45668,3345.65508,880.41225,1611.16926,4644.9403,15605.20227,3551.71024,1955.01804,2127.57255,4483.4362,5164.87937,8204.73854,4787.08874,5632.83683,9151.02982,5983.24155,27917.81035,15031.12499,48042.70395,3481.17586,2271.769,501.31358,3001.04307,1153.93372,228.17449
2010,188729.41,854.29598,807.88017,135.17474,270.53853,135.83389,,8063.88842,3607.63296,2913.98013,4.01055,5906.43338,4462.80773,3447.83981,848.41574,1413.43464,3115.45504,802.80304,1605.59467,3901.14731,12408.80759,3030.97227,1564.70482,1894.38239,4283.64086,4472.45752,6841.7282,4009.20849,4996.03813,7960.16071,5411.99418,24824.69926,13219.92329,42272.3556,3082.62651,1927.54634,430.22564,2697.65936,895.86288,207.25035
2009,150263.06,415.72916,485.40781,82.78653,254.58655,128.81217,,6980.9188,3113.72948,2492.80407,3.54039,4880.75587,4055.72279,2783.37709,718.94308,1155.1907,2467.17374,727.42191,1357.94701,2743.18995,9167.10967,2545.87239,1132.44493,1695.89729,3477.52698,3605.59464,5803.15975,3033.8106,3926.27531,6158.14311,4007.49855,18589.56903,10361.32529,34244.44479,2456.66248,1481.21934,234.96319,2581.84532,738.09722,173.55844
