年份,外商及港澳台商投资工业企业管理费用,煤炭开采和洗选业外商及港澳台商投资工业企业管理费用,石油和天然气开采业外商及港澳台商投资工业企业管理费用,黑色金属矿采选业外商及港澳台商投资工业企业管理费用,有色金属矿采选业外商及港澳台商投资工业企业管理费用,非金属矿采选业外商及港澳台商投资工业企业管理费用,其他采矿业外商及港澳台商投资工业企业管理费用,农副食品加工业外商及港澳台商投资工业企业管理费用,食品制造业外商及港澳台商投资工业企业管理费用,饮料制造业外商及港澳台商投资工业企业管理费用,烟草制品业外商及港澳台商投资工业企业管理费用,纺织业外商及港澳台商投资工业企业管理费用,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业管理费用,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业管理费用,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业管理费用,家具制造业外商及港澳台商投资工业企业管理费用,造纸及纸制品业外商及港澳台商投资工业企业管理费用,印刷业和记录媒介的复制外商及港澳台商投资工业企业管理费用,文教体育用品制造业外商及港澳台商投资工业企业管理费用,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业管理费用,化学原料及化学制品制造业外商及港澳台商投资工业企业管理费用,医药制造业外商及港澳台商投资工业企业管理费用,化学纤维制造业外商及港澳台商投资工业企业管理费用,橡胶制品业外商及港澳台商投资工业企业管理费用,塑料制品业外商及港澳台商投资工业企业管理费用,非金属矿物制品业外商及港澳台商投资工业企业管理费用,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业管理费用,有色金属冶炼及压延加工业外商及港澳台商投资工业企业管理费用,金属制品业外商及港澳台商投资工业企业管理费用,通用设备制造业外商及港澳台商投资工业企业管理费用,专用设备制造业外商及港澳台商投资工业企业管理费用,交通运输设备制造业外商及港澳台商投资工业企业管理费用,电气机械及器材制造业外商及港澳台商投资工业企业管理费用,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业管理费用,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业管理费用,工艺品及其他制造业外商及港澳台商投资工业企业管理费用,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业管理费用,电力、热力的生产和供应业外商及港澳台商投资工业企业管理费用,燃气生产和供应业外商及港澳台商投资工业企业管理费用,水的生产和供应业外商及港澳台商投资工业企业管理费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,8280.98717,42.14627,29.86573,6.8759,15.25408,9.8544,,213.85575,193.67902,159.27542,1.25235,254.86774,221.39016,167.33761,35.71854,75.66326,120.86951,55.57442,91.60914,77.28836,574.64438,258.063,58.23723,90.64878,219.79674,229.98186,144.36995,105.13413,230.92103,532.59281,374.90803,1165.13269,638.45865,1460.16909,185.36922,77.70384,7.50297,79.13665,49.67229,26.16617
2010,7544.2502,27.6099,10.79974,5.23009,17.20407,8.82418,,210.43317,167.24386,140.42666,1.07677,246.24587,231.30784,163.86265,37.86846,76.48901,123.31998,52.81487,88.45438,71.54307,494.86254,232.47562,37.46602,80.76959,218.31573,203.36141,137.51466,84.45722,221.85378,482.73792,325.59993,1111.90348,599.20505,1249.42966,155.10805,80.60158,6.7515,77.19492,38.62289,25.26408
2009,5991.91135,15.31477,7.8932,3.14755,13.85768,8.30866,,139.49209,142.18692,111.04484,0.99264,210.287,208.10346,123.59957,29.55138,62.6895,93.46255,49.69794,79.23331,61.64844,390.54923,191.4784,24.10787,76.96608,175.56747,170.23598,87.10718,69.84115,182.27203,383.02386,254.68815,849.18774,478.24432,975.48388,127.60203,70.47669,5.42484,66.09835,30.52827,22.51633
2008,5830.76588,14.78269,8.95883,3.86641,15.55199,9.09471,0.01573,148.44523,122.10356,110.41763,1.42296,196.35708,208.6047,121.97159,30.51358,62.83228,93.51733,47.20043,80.20407,60.01597,383.30052,155.45225,24.07874,74.87357,176.66419,165.67726,111.25502,69.77597,184.73987,368.06998,244.67866,707.71632,473.83233,1027.58115,134.70378,71.99106,5.61202,67.7592,26.60533,20.52189
