年份,外商及港澳台商投资工业企业实收资本,煤炭开采和洗选业外商及港澳台商投资工业企业实收资本,石油和天然气开采业外商及港澳台商投资工业企业实收资本,黑色金属矿采选业外商及港澳台商投资工业企业实收资本,有色金属矿采选业外商及港澳台商投资工业企业实收资本,非金属矿采选业外商及港澳台商投资工业企业实收资本,其他采矿业外商及港澳台商投资工业企业实收资本,农副食品加工业外商及港澳台商投资工业企业实收资本,食品制造业外商及港澳台商投资工业企业实收资本,饮料制造业外商及港澳台商投资工业企业实收资本,烟草制品业外商及港澳台商投资工业企业实收资本,纺织业外商及港澳台商投资工业企业实收资本,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业实收资本,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业实收资本,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业实收资本,家具制造业外商及港澳台商投资工业企业实收资本,造纸及纸制品业外商及港澳台商投资工业企业实收资本,印刷业和记录媒介的复制外商及港澳台商投资工业企业实收资本,文教体育用品制造业外商及港澳台商投资工业企业实收资本,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业实收资本,化学原料及化学制品制造业外商及港澳台商投资工业企业实收资本,医药制造业外商及港澳台商投资工业企业实收资本,化学纤维制造业外商及港澳台商投资工业企业实收资本,橡胶制品业外商及港澳台商投资工业企业实收资本,塑料制品业外商及港澳台商投资工业企业实收资本,非金属矿物制品业外商及港澳台商投资工业企业实收资本,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业实收资本,有色金属冶炼及压延加工业外商及港澳台商投资工业企业实收资本,金属制品业外商及港澳台商投资工业企业实收资本,通用设备制造业外商及港澳台商投资工业企业实收资本,专用设备制造业外商及港澳台商投资工业企业实收资本,交通运输设备制造业外商及港澳台商投资工业企业实收资本,电气机械及器材制造业外商及港澳台商投资工业企业实收资本,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业实收资本,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业实收资本,工艺品及其他制造业外商及港澳台商投资工业企业实收资本,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业实收资本,电力、热力的生产和供应业外商及港澳台商投资工业企业实收资本,燃气生产和供应业外商及港澳台商投资工业企业实收资本,水的生产和供应业外商及港澳台商投资工业企业实收资本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,40969.05282,136.37214,9.15273,26.02667,31.20147,25.7301,,1024.61491,873.07645,911.01777,5.05738,1635.26902,777.86289,567.28744,219.54692,319.11684,1473.15475,299.35104,349.8881,473.87984,3792.49431,820.10854,461.66309,553.45349,1201.42734,1677.92254,941.85734,836.53529,1176.84796,2425.38322,1365.92248,3840.49816,2611.02412,6509.22074,563.72319,298.96558,54.62748,1973.38266,344.23022,362.15861
2010,39442.56162,98.04558,50.65084,25.33978,53.65529,33.41485,,938.91813,810.7481,864.93908,4.70323,1771.16712,830.3233,569.15441,232.03619,342.95749,1471.52097,316.64159,382.15753,471.83451,3429.70846,833.89047,437.86465,547.69813,1244.04268,1581.57788,959.00666,779.99281,1229.19586,1999.99369,1393.04897,3573.86088,2544.27041,6282.09266,553.80227,331.81174,54.66623,1827.50268,262.45591,307.87059
2009,36510.08209,81.87409,49.93101,19.9875,59.6667,34.87691,,873.44596,767.34423,768.70917,4.3351,1651.99993,841.67222,549.18354,227.97196,307.57455,1256.21695,305.86321,401.24601,451.27765,2980.34458,722.62982,388.67496,525.95279,1181.98404,1471.77092,938.14273,701.89072,1156.71932,1829.01744,1343.13803,3315.70006,2337.13691,5816.0571,532.78852,333.5176,45.94192,1693.18689,253.31611,288.99494
2008,34469.69213,60.74428,155.70984,18.19605,53.5593,37.67853,0.0498,785.16401,731.78604,746.03258,4.8286,1619.55247,832.38587,539.13104,228.29284,306.42439,1151.0601,314.7634,379.34378,445.03047,2622.78816,648.20313,408.71092,491.32813,1163.39321,1458.69394,881.35761,613.40342,1100.71277,1716.68047,1121.50205,3097.99733,2156.03115,5667.47612,515.37751,332.84289,43.21964,1532.40926,238.60933,249.2217
