年份,外商及港澳台商投资工业企业资产总计,煤炭开采和洗选业外商及港澳台商投资工业企业资产总计,石油和天然气开采业外商及港澳台商投资工业企业资产总计,黑色金属矿采选业外商及港澳台商投资工业企业资产总计,有色金属矿采选业外商及港澳台商投资工业企业资产总计,非金属矿采选业外商及港澳台商投资工业企业资产总计,其他采矿业外商及港澳台商投资工业企业资产总计,农副食品加工业外商及港澳台商投资工业企业资产总计,食品制造业外商及港澳台商投资工业企业资产总计,饮料制造业外商及港澳台商投资工业企业资产总计,烟草制品业外商及港澳台商投资工业企业资产总计,纺织业外商及港澳台商投资工业企业资产总计,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业资产总计,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业资产总计,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业资产总计,家具制造业外商及港澳台商投资工业企业资产总计,造纸及纸制品业外商及港澳台商投资工业企业资产总计,印刷业和记录媒介的复制外商及港澳台商投资工业企业资产总计,文教体育用品制造业外商及港澳台商投资工业企业资产总计,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业资产总计,化学原料及化学制品制造业外商及港澳台商投资工业企业资产总计,医药制造业外商及港澳台商投资工业企业资产总计,化学纤维制造业外商及港澳台商投资工业企业资产总计,橡胶制品业外商及港澳台商投资工业企业资产总计,塑料制品业外商及港澳台商投资工业企业资产总计,非金属矿物制品业外商及港澳台商投资工业企业资产总计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业资产总计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业资产总计,金属制品业外商及港澳台商投资工业企业资产总计,通用设备制造业外商及港澳台商投资工业企业资产总计,专用设备制造业外商及港澳台商投资工业企业资产总计,交通运输设备制造业外商及港澳台商投资工业企业资产总计,电气机械及器材制造业外商及港澳台商投资工业企业资产总计,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业资产总计,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业资产总计,工艺品及其他制造业外商及港澳台商投资工业企业资产总计,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业资产总计,电力、热力的生产和供应业外商及港澳台商投资工业企业资产总计,燃气生产和供应业外商及港澳台商投资工业企业资产总计,水的生产和供应业外商及港澳台商投资工业企业资产总计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,161987.74,1566.59074,740.17286,195.40847,135.20121,111.24661,,5502.70218,3258.17423,2887.4193,9.11036,5153.02799,2997.11163,2136.82113,636.02028,1104.30162,4831.64099,924.11903,1003.40294,2538.71415,12530.44413,3440.77804,1767.6071,1770.34893,3677.5463,5652.12651,5613.69461,3626.45798,4110.98379,8479.87344,5663.78405,20469.81343,10979.63207,25741.96044,2369.57401,1237.73671,385.17983,6325.26783,1440.74476,972.99864
2010,148552.32,919.74829,613.05985,157.34269,335.56961,117.97308,,4828.50135,2726.32513,2635.42453,8.82755,4983.97801,2917.12963,2017.48566,628.27739,1082.08726,4389.87275,908.31174,1020.56097,2322.12847,10919.154,3001.67343,1470.43903,1623.73865,3589.9547,5005.14287,5104.06821,3196.38821,3972.96438,7507.88064,5278.19512,18440.3327,9985.91929,24996.15108,2055.3527,1123.00646,268.79021,6330.84876,1135.20991,934.50606
2009,124477.56,641.24485,525.573,108.53118,319.21644,122.92025,,3955.32775,2410.46214,2238.42292,8.27045,4452.06891,2673.5355,1732.83137,597.60752,927.39415,3570.85999,839.98837,990.55731,2044.53065,8669.93965,2563.92495,1168.16893,1554.03761,3121.79255,4298.98038,4345.93856,2790.92509,3440.36283,6016.98803,4136.61229,14785.19653,8071.80069,19550.14679,1995.68099,1004.27505,221.83136,6020.18831,1719.44062,841.98171
2008,112145.01,502.56288,476.09169,97.31609,307.42587,125.80203,0.18832,3074.37588,2086.35048,2284.97613,9.62637,4263.85061,2620.71536,1649.3278,635.43408,895.57186,3403.42123,832.63545,978.96645,1831.49188,7669.51298,2104.5957,1181.18019,1502.82367,3048.82224,4129.54368,4042.38694,2324.44025,3255.1361,5525.68966,3707.29493,11852.51407,7211.31505,18787.62799,1633.95572,978.60061,161.71991,5375.51456,864.98086,711.22216
