年份,外商及港澳台商投资工业企业港澳台资本金,煤炭开采和洗选业外商及港澳台商投资工业企业港澳台资本金,石油和天然气开采业外商及港澳台商投资工业企业港澳台资本金,黑色金属矿采选业外商及港澳台商投资工业企业港澳台资本金,有色金属矿采选业外商及港澳台商投资工业企业港澳台资本金,非金属矿采选业外商及港澳台商投资工业企业港澳台资本金,其他采矿业外商及港澳台商投资工业企业港澳台资本金,农副食品加工业外商及港澳台商投资工业企业港澳台资本金,食品制造业外商及港澳台商投资工业企业港澳台资本金,饮料制造业外商及港澳台商投资工业企业港澳台资本金,烟草制品业外商及港澳台商投资工业企业港澳台资本金,纺织业外商及港澳台商投资工业企业港澳台资本金,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业港澳台资本金,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业港澳台资本金,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业港澳台资本金,家具制造业外商及港澳台商投资工业企业港澳台资本金,造纸及纸制品业外商及港澳台商投资工业企业港澳台资本金,印刷业和记录媒介的复制外商及港澳台商投资工业企业港澳台资本金,文教体育用品制造业外商及港澳台商投资工业企业港澳台资本金,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业港澳台资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业港澳台资本金,医药制造业外商及港澳台商投资工业企业港澳台资本金,化学纤维制造业外商及港澳台商投资工业企业港澳台资本金,橡胶制品业外商及港澳台商投资工业企业港澳台资本金,塑料制品业外商及港澳台商投资工业企业港澳台资本金,非金属矿物制品业外商及港澳台商投资工业企业港澳台资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业港澳台资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业港澳台资本金,金属制品业外商及港澳台商投资工业企业港澳台资本金,通用设备制造业外商及港澳台商投资工业企业港澳台资本金,专用设备制造业外商及港澳台商投资工业企业港澳台资本金,交通运输设备制造业外商及港澳台商投资工业企业港澳台资本金,电气机械及器材制造业外商及港澳台商投资工业企业港澳台资本金,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业港澳台资本金,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业港澳台资本金,工艺品及其他制造业外商及港澳台商投资工业企业港澳台资本金,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业港澳台资本金,电力、热力的生产和供应业外商及港澳台商投资工业企业港澳台资本金,燃气生产和供应业外商及港澳台商投资工业企业港澳台资本金,水的生产和供应业外商及港澳台商投资工业企业港澳台资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,10362.15,48.44131,4.82638,4.2225,9.77786,6.52971,,217.18845,235.05579,205.58057,1.11606,756.13384,351.07675,226.44782,77.32609,121.93386,387.09039,141.37878,163.4664,66.2925,770.47641,162.81322,175.51513,94.32454,440.9496,541.39504,221.91692,303.3098,354.17617,323.88733,315.05089,369.57863,628.57818,1877.97174,128.83897,122.40462,19.15888,344.38703,77.23951,66.29233
2010,10343.5598,31.75516,44.97268,11.81192,3.48382,9.22689,,222.45133,170.87869,180.53213,1.04155,790.3784,392.66121,254.56935,62.30238,126.06576,345.28876,137.33035,184.77573,79.97627,653.91134,157.21216,165.30446,94.90454,467.20119,486.64785,215.39306,258.11286,425.16841,330.35168,327.48706,401.02295,680.9896,1835.39114,163.50795,145.74784,17.39822,332.36228,61.8821,74.06073
2009,9749.77518,7.15773,46.16805,9.91022,5.59827,9.91859,,195.62056,174.2679,169.20605,1.04155,768.75174,407.58116,248.16506,74.43479,115.93608,337.93292,132.36694,206.71784,57.793,544.70172,151.88295,148.52576,106.26357,441.81551,427.40179,206.11016,236.50079,424.90563,317.46348,309.09629,346.26424,630.64864,1771.24326,132.14713,153.12557,13.81801,306.67295,50.98419,61.63509
2008,9308.87634,9.45163,44.14065,7.79066,3.53155,11.19338,,172.97926,175.39965,162.938,0.99599,772.89569,390.80797,237.09082,66.70219,126.09155,313.29897,154.3773,196.70227,69.8591,494.64396,110.00299,146.69618,109.79873,429.12796,436.59112,192.12788,175.71185,374.75062,295.64044,322.15096,328.46857,575.96683,1660.68296,143.24728,163.14887,13.87079,309.81118,60.33832,49.85222
