年份,外商及港澳台商投资工业企业应付帐款,煤炭开采和洗选业外商及港澳台商投资工业企业应付帐款,石油和天然气开采业外商及港澳台商投资工业企业应付帐款,黑色金属矿采选业外商及港澳台商投资工业企业应付帐款,有色金属矿采选业外商及港澳台商投资工业企业应付帐款,非金属矿采选业外商及港澳台商投资工业企业应付帐款,其他采矿业外商及港澳台商投资工业企业应付帐款,农副食品加工业外商及港澳台商投资工业企业应付帐款,食品制造业外商及港澳台商投资工业企业应付帐款,饮料制造业外商及港澳台商投资工业企业应付帐款,烟草制品业外商及港澳台商投资工业企业应付帐款,纺织业外商及港澳台商投资工业企业应付帐款,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业应付帐款,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业应付帐款,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业应付帐款,家具制造业外商及港澳台商投资工业企业应付帐款,造纸及纸制品业外商及港澳台商投资工业企业应付帐款,印刷业和记录媒介的复制外商及港澳台商投资工业企业应付帐款,文教体育用品制造业外商及港澳台商投资工业企业应付帐款,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业应付帐款,化学原料及化学制品制造业外商及港澳台商投资工业企业应付帐款,医药制造业外商及港澳台商投资工业企业应付帐款,化学纤维制造业外商及港澳台商投资工业企业应付帐款,橡胶制品业外商及港澳台商投资工业企业应付帐款,塑料制品业外商及港澳台商投资工业企业应付帐款,非金属矿物制品业外商及港澳台商投资工业企业应付帐款,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业应付帐款,有色金属冶炼及压延加工业外商及港澳台商投资工业企业应付帐款,金属制品业外商及港澳台商投资工业企业应付帐款,通用设备制造业外商及港澳台商投资工业企业应付帐款,专用设备制造业外商及港澳台商投资工业企业应付帐款,交通运输设备制造业外商及港澳台商投资工业企业应付帐款,电气机械及器材制造业外商及港澳台商投资工业企业应付帐款,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业应付帐款,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业应付帐款,工艺品及其他制造业外商及港澳台商投资工业企业应付帐款,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业应付帐款,电力、热力的生产和供应业外商及港澳台商投资工业企业应付帐款,燃气生产和供应业外商及港澳台商投资工业企业应付帐款,水的生产和供应业外商及港澳台商投资工业企业应付帐款
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,28798.10283,403.84892,66.55444,25.05884,4.86437,7.43087,,670.8761,442.51074,369.56225,0.08667,578.50429,379.9752,329.26121,62.67856,204.82316,512.34503,135.4311,213.05012,428.86571,1491.53717,362.38946,139.19185,251.47561,564.39053,574.40049,609.53885,360.67506,582.91196,1367.04954,1047.20066,4387.94547,2150.6592,8748.41902,564.61451,202.20029,115.57869,304.90617,111.41251,25.87821
2010,26332.33978,123.80479,62.97974,17.00118,11.44796,6.8808,,686.46287,380.51965,272.91986,0.06084,576.77555,417.06764,362.49324,66.47158,217.80304,439.8548,137.67167,226.44855,348.68016,1287.24743,288.80053,102.04696,212.83003,599.52171,524.17831,657.91948,309.79519,624.61784,1276.60061,999.41581,4050.40816,2109.96527,7786.47236,535.93676,168.923,43.46983,286.95307,86.46445,25.42906
2009,21223.38924,17.69425,51.62822,5.98503,9.71416,9.55117,,482.41803,295.31575,215.74349,0.02781,495.40539,387.61066,315.38697,60.56578,181.72003,375.11068,116.00611,199.1294,243.13933,980.64322,260.73621,93.3283,204.56708,491.04236,438.26545,466.57324,271.4637,527.90624,980.31334,804.64428,3331.41671,1660.4328,6323.38537,426.43612,147.40527,33.0302,248.75975,53.49276,17.39458
2008,18450.72549,75.34003,23.47874,6.08272,10.15354,9.31137,0.00121,364.51605,302.43845,220.56794,0.06712,501.32689,438.43673,332.61717,66.59902,183.26352,384.48561,124.46014,228.94945,199.51882,843.83343,200.54879,84.80643,195.29975,536.83714,441.04643,489.07361,228.5017,505.91661,924.80842,713.57263,2142.95264,1528.03649,5334.47032,375.8359,145.97958,27.50803,202.76553,44.71244,12.6051
