年份,外商及港澳台商投资工业企业营业利润,煤炭开采和洗选业外商及港澳台商投资工业企业营业利润,石油和天然气开采业外商及港澳台商投资工业企业营业利润,黑色金属矿采选业外商及港澳台商投资工业企业营业利润,有色金属矿采选业外商及港澳台商投资工业企业营业利润,非金属矿采选业外商及港澳台商投资工业企业营业利润,其他采矿业外商及港澳台商投资工业企业营业利润,农副食品加工业外商及港澳台商投资工业企业营业利润,食品制造业外商及港澳台商投资工业企业营业利润,饮料制造业外商及港澳台商投资工业企业营业利润,烟草制品业外商及港澳台商投资工业企业营业利润,纺织业外商及港澳台商投资工业企业营业利润,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业营业利润,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业营业利润,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业营业利润,家具制造业外商及港澳台商投资工业企业营业利润,造纸及纸制品业外商及港澳台商投资工业企业营业利润,印刷业和记录媒介的复制外商及港澳台商投资工业企业营业利润,文教体育用品制造业外商及港澳台商投资工业企业营业利润,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业营业利润,化学原料及化学制品制造业外商及港澳台商投资工业企业营业利润,医药制造业外商及港澳台商投资工业企业营业利润,化学纤维制造业外商及港澳台商投资工业企业营业利润,橡胶制品业外商及港澳台商投资工业企业营业利润,塑料制品业外商及港澳台商投资工业企业营业利润,非金属矿物制品业外商及港澳台商投资工业企业营业利润,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业营业利润,有色金属冶炼及压延加工业外商及港澳台商投资工业企业营业利润,金属制品业外商及港澳台商投资工业企业营业利润,通用设备制造业外商及港澳台商投资工业企业营业利润,专用设备制造业外商及港澳台商投资工业企业营业利润,交通运输设备制造业外商及港澳台商投资工业企业营业利润,电气机械及器材制造业外商及港澳台商投资工业企业营业利润,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业营业利润,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业营业利润,工艺品及其他制造业外商及港澳台商投资工业企业营业利润,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业营业利润,电力、热力的生产和供应业外商及港澳台商投资工业企业营业利润,燃气生产和供应业外商及港澳台商投资工业企业营业利润,水的生产和供应业外商及港澳台商投资工业企业营业利润
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,16095.5793,260.35907,399.03213,44.06354,29.31127,14.98507,,578.16125,447.8401,290.38316,1.12493,417.54035,355.1008,310.68915,65.7421,88.15271,227.5711,103.84123,68.10829,102.29209,1426.22447,421.47889,153.71873,96.87299,271.73731,506.728,363.52367,371.2887,401.69091,828.10265,532.16283,3114.62474,1031.17445,1955.88527,258.87765,158.62939,34.39334,189.30548,135.85999,39.0015
2010,15560.76574,168.4692,371.62175,29.20454,32.42192,14.64553,,544.54629,378.84369,254.9544,0.67543,374.03401,321.01749,271.46721,51.26998,91.65963,264.53909,90.29672,87.01264,230.47557,1338.17606,423.35975,144.26074,135.38037,302.11505,488.26011,416.63559,319.95188,401.20246,794.6317,569.69596,2881.23603,1093.33318,1856.87159,245.27516,133.59555,25.27535,257.86729,123.01998,33.46685
2009,10606.93744,100.72413,235.71605,9.75837,22.56534,12.21673,,394.53531,300.44882,239.8739,0.46227,247.28751,256.51006,188.77434,31.95651,65.76629,184.57773,83.50077,58.3068,189.14427,811.54029,337.68402,66.17997,135.48249,219.11865,302.07108,287.98102,219.57744,246.93271,539.67472,333.12471,1813.75587,829.43699,1144.17199,179.47825,88.90482,6.74765,307.18536,91.88632,23.87789
2008,8888.76674,87.81724,491.83585,28.95021,31.48054,13.12441,-0.04151,329.77265,231.9522,181.35138,0.65265,194.2872,199.71795,148.08125,30.29781,45.35973,145.1365,73.18662,35.89383,-69.53916,695.2006,269.01619,47.42349,63.17456,182.15376,259.06987,433.15831,212.32584,243.65911,521.03721,322.15786,1105.2348,694.79123,1203.66158,171.08953,85.71964,3.0999,84.45882,68.63007,24.38702
