年份,外商及港澳台商投资工业企业个人资本金,煤炭开采和洗选业外商及港澳台商投资工业企业个人资本金,石油和天然气开采业外商及港澳台商投资工业企业个人资本金,黑色金属矿采选业外商及港澳台商投资工业企业个人资本金,有色金属矿采选业外商及港澳台商投资工业企业个人资本金,非金属矿采选业外商及港澳台商投资工业企业个人资本金,其他采矿业外商及港澳台商投资工业企业个人资本金,农副食品加工业外商及港澳台商投资工业企业个人资本金,食品制造业外商及港澳台商投资工业企业个人资本金,饮料制造业外商及港澳台商投资工业企业个人资本金,烟草制品业外商及港澳台商投资工业企业个人资本金,纺织业外商及港澳台商投资工业企业个人资本金,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业个人资本金,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业个人资本金,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业个人资本金,家具制造业外商及港澳台商投资工业企业个人资本金,造纸及纸制品业外商及港澳台商投资工业企业个人资本金,印刷业和记录媒介的复制外商及港澳台商投资工业企业个人资本金,文教体育用品制造业外商及港澳台商投资工业企业个人资本金,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业个人资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业个人资本金,医药制造业外商及港澳台商投资工业企业个人资本金,化学纤维制造业外商及港澳台商投资工业企业个人资本金,橡胶制品业外商及港澳台商投资工业企业个人资本金,塑料制品业外商及港澳台商投资工业企业个人资本金,非金属矿物制品业外商及港澳台商投资工业企业个人资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业个人资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业个人资本金,金属制品业外商及港澳台商投资工业企业个人资本金,通用设备制造业外商及港澳台商投资工业企业个人资本金,专用设备制造业外商及港澳台商投资工业企业个人资本金,交通运输设备制造业外商及港澳台商投资工业企业个人资本金,电气机械及器材制造业外商及港澳台商投资工业企业个人资本金,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业个人资本金,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业个人资本金,工艺品及其他制造业外商及港澳台商投资工业企业个人资本金,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业个人资本金,电力、热力的生产和供应业外商及港澳台商投资工业企业个人资本金,燃气生产和供应业外商及港澳台商投资工业企业个人资本金,水的生产和供应业外商及港澳台商投资工业企业个人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1655.00949,2.89936,0.45,3.86816,2.68065,3.4845,,69.96771,28.21401,28.881,0.42,92.11413,52.16154,33.44774,15.23839,10.70465,38.29003,14.96045,10.47088,20.46068,89.50012,42.26962,16.73535,15.51539,42.65662,75.15604,27.89337,34.72325,52.01596,410.17094,45.80629,101.16549,103.46993,75.64873,32.54843,17.97884,1.66134,22.34211,15.38613,3.65166
2010,1253.90344,0.47,0.45,5.07169,2.72977,3.60025,,64.11644,35.64821,28.28501,0.42,105.05515,44.23407,32.6691,13.05384,6.48252,43.22412,7.34294,11.20619,19.91645,78.60626,34.18584,19.95662,11.3323,28.62182,66.77718,61.22042,29.11286,52.30854,109.95601,56.92152,66.06789,79.13519,69.99041,11.54594,14.98216,1.91177,26.73436,9.18052,1.38008
2009,1038.33689,1.61672,,3.01014,1.60774,2.96146,,60.10745,32.34803,22.40861,0.42,98.82554,42.94314,19.34815,11.57414,8.98347,31.36807,5.69314,10.75719,19.67788,63.5273,31.79238,15.95934,15.02745,34.08777,56.77573,30.53004,24.89148,39.67897,61.13801,45.39805,65.75154,52.29217,77.83949,9.63197,16.40792,1.72894,16.88696,3.00651,2.334
2008,1149.75671,4.20493,,3.19751,2.46524,4.23839,0.03652,56.58516,39.32878,31.55823,0.42,95.15258,42.00406,23.71828,12.77345,7.65585,32.03485,7.96332,9.97116,23.74094,104.00435,31.44492,16.97481,10.26254,39.9161,65.80047,33.5437,28.14495,51.59218,105.10846,34.18257,64.4755,57.83947,53.59366,9.98205,13.89939,0.86435,23.31181,5.56385,2.20233
