年份,外商及港澳台商投资工业企业单位数,煤炭开采和洗选业外商及港澳台商投资工业企业单位数,石油和天然气开采业外商及港澳台商投资工业企业单位数,黑色金属矿采选业外商及港澳台商投资工业企业单位数,有色金属矿采选业外商及港澳台商投资工业企业单位数,非金属矿采选业外商及港澳台商投资工业企业单位数,其他采矿业外商及港澳台商投资工业企业单位数,农副食品加工业外商及港澳台商投资工业企业单位数,食品制造业外商及港澳台商投资工业企业单位数,饮料制造业外商及港澳台商投资工业企业单位数,烟草制品业外商及港澳台商投资工业企业单位数,纺织业外商及港澳台商投资工业企业单位数,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业单位数,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业单位数,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业单位数,家具制造业外商及港澳台商投资工业企业单位数,造纸及纸制品业外商及港澳台商投资工业企业单位数,印刷业和记录媒介的复制外商及港澳台商投资工业企业单位数,文教体育用品制造业外商及港澳台商投资工业企业单位数,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业单位数,化学原料及化学制品制造业外商及港澳台商投资工业企业单位数,医药制造业外商及港澳台商投资工业企业单位数,化学纤维制造业外商及港澳台商投资工业企业单位数,橡胶制品业外商及港澳台商投资工业企业单位数,塑料制品业外商及港澳台商投资工业企业单位数,非金属矿物制品业外商及港澳台商投资工业企业单位数,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业单位数,有色金属冶炼及压延加工业外商及港澳台商投资工业企业单位数,金属制品业外商及港澳台商投资工业企业单位数,通用设备制造业外商及港澳台商投资工业企业单位数,专用设备制造业外商及港澳台商投资工业企业单位数,交通运输设备制造业外商及港澳台商投资工业企业单位数,电气机械及器材制造业外商及港澳台商投资工业企业单位数,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业单位数,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业单位数,工艺品及其他制造业外商及港澳台商投资工业企业单位数,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业单位数,电力、热力的生产和供应业外商及港澳台商投资工业企业单位数,燃气生产和供应业外商及港澳台商投资工业企业单位数,水的生产和供应业外商及港澳台商投资工业企业单位数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,57216.0,40.0,18.0,37.0,56.0,90.0,,2014.0,1223.0,744.0,3.0,4307.0,3938.0,1931.0,639.0,1007.0,1162.0,589.0,1271.0,182.0,3537.0,951.0,295.0,681.0,3068.0,2392.0,521.0,741.0,2914.0,3794.0,2642.0,3208.0,4263.0,5510.0,1132.0,1328.0,157.0,461.0,251.0,119.0
2010,74045.0,36.0,18.0,43.0,63.0,133.0,,2453.0,1558.0,842.0,3.0,5663.0,5906.0,2575.0,930.0,1359.0,1492.0,744.0,1830.0,220.0,4302.0,1140.0,321.0,931.0,4231.0,3072.0,574.0,857.0,3941.0,4884.0,3564.0,3677.0,5347.0,6695.0,1498.0,2064.0,173.0,496.0,250.0,160.0
2009,75376.0,38.0,17.0,45.0,67.0,147.0,,2600.0,1601.0,818.0,3.0,5673.0,6319.0,2670.0,1002.0,1361.0,1494.0,785.0,1907.0,207.0,4281.0,1144.0,321.0,1005.0,4236.0,3094.0,583.0,855.0,4067.0,4862.0,3598.0,3637.0,5500.0,6714.0,1523.0,2176.0,164.0,481.0,233.0,148.0
2008,77847.0,42.0,11.0,46.0,75.0,150.0,1.0,2621.0,1601.0,807.0,4.0,5903.0,6659.0,2838.0,1075.0,1436.0,1551.0,802.0,1996.0,221.0,4293.0,1144.0,356.0,1022.0,4355.0,3154.0,616.0,900.0,4308.0,4993.0,3772.0,3642.0,5601.0,6905.0,1613.0,2307.0,179.0,489.0,223.0,136.0
2007,67456.0,31.0,10.0,35.0,59.0,139.0,1.0,2474.0,1475.0,717.0,6.0,5590.0,6047.0,2713.0,1026.0,1265.0,1390.0,725.0,1800.0,199.0,3658.0,1035.0,301.0,848.0,3892.0,2843.0,575.0,769.0,3565.0,3880.0,2771.0,2828.0,4612.0,5782.0,1467.0,2113.0,124.0,443.0,165.0,83.0
