年份,外商及港澳台商投资工业企业利息支出,煤炭开采和洗选业外商及港澳台商投资工业企业利息支出,石油和天然气开采业外商及港澳台商投资工业企业利息支出,黑色金属矿采选业外商及港澳台商投资工业企业利息支出,有色金属矿采选业外商及港澳台商投资工业企业利息支出,非金属矿采选业外商及港澳台商投资工业企业利息支出,其他采矿业外商及港澳台商投资工业企业利息支出,农副食品加工业外商及港澳台商投资工业企业利息支出,食品制造业外商及港澳台商投资工业企业利息支出,饮料制造业外商及港澳台商投资工业企业利息支出,烟草制品业外商及港澳台商投资工业企业利息支出,纺织业外商及港澳台商投资工业企业利息支出,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业利息支出,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业利息支出,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业利息支出,家具制造业外商及港澳台商投资工业企业利息支出,造纸及纸制品业外商及港澳台商投资工业企业利息支出,印刷业和记录媒介的复制外商及港澳台商投资工业企业利息支出,文教体育用品制造业外商及港澳台商投资工业企业利息支出,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业利息支出,化学原料及化学制品制造业外商及港澳台商投资工业企业利息支出,医药制造业外商及港澳台商投资工业企业利息支出,化学纤维制造业外商及港澳台商投资工业企业利息支出,橡胶制品业外商及港澳台商投资工业企业利息支出,塑料制品业外商及港澳台商投资工业企业利息支出,非金属矿物制品业外商及港澳台商投资工业企业利息支出,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业利息支出,有色金属冶炼及压延加工业外商及港澳台商投资工业企业利息支出,金属制品业外商及港澳台商投资工业企业利息支出,通用设备制造业外商及港澳台商投资工业企业利息支出,专用设备制造业外商及港澳台商投资工业企业利息支出,交通运输设备制造业外商及港澳台商投资工业企业利息支出,电气机械及器材制造业外商及港澳台商投资工业企业利息支出,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业利息支出,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业利息支出,工艺品及其他制造业外商及港澳台商投资工业企业利息支出,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业利息支出,电力、热力的生产和供应业外商及港澳台商投资工业企业利息支出,燃气生产和供应业外商及港澳台商投资工业企业利息支出,水的生产和供应业外商及港澳台商投资工业企业利息支出
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1576.38465,12.91696,3.35021,1.92813,1.13189,1.58213,,91.44422,21.68353,18.95273,0.00899,71.65936,27.32434,22.31769,8.5052,9.7862,59.61033,6.5309,7.4501,42.50396,143.54096,26.06225,32.66175,21.56031,34.16875,70.01887,93.27142,74.27985,40.47676,60.71355,41.70819,111.6446,114.84601,112.61471,12.3553,12.92947,4.78714,130.46719,11.87832,17.71238
2010,1023.07153,10.3368,0.95945,0.66461,3.63201,1.221,,49.9709,12.55071,12.46637,-0.01804,51.42433,21.75045,15.18787,6.55261,7.09582,47.62524,4.34465,5.73984,36.81207,91.21086,16.03479,20.24364,15.76408,24.88095,48.0974,62.28883,46.68559,28.84717,37.04465,23.44401,45.56103,67.26981,51.14563,6.46073,9.76939,2.56885,113.68952,8.17239,15.57552
2009,978.03768,8.15839,0.60091,0.50823,2.48604,1.18221,,41.65192,15.75649,14.16044,-0.05325,46.18772,20.27856,14.57327,6.89346,6.80603,46.90415,4.44273,6.42277,26.04386,89.93008,15.99676,16.79046,20.69814,22.43952,43.06569,53.89314,37.72399,27.28732,32.19752,20.69157,64.07702,46.11437,72.88678,5.62972,8.23157,2.99959,113.33211,5.73838,15.31002
2008,1170.49158,6.69591,0.60802,0.95821,3.12266,0.97462,0.00543,49.95196,16.82399,17.10815,-0.00357,54.25317,22.36151,16.44313,7.84332,7.71839,58.91917,5.50157,6.79241,33.06893,108.90512,18.25801,26.25475,25.1026,31.6982,55.18202,61.73865,39.02929,35.22488,34.33012,25.85461,60.04773,65.68627,112.99068,5.28757,9.5526,3.71598,118.19725,9.1971,15.09117
