年份,外商及港澳台商投资工业企业流动资产合计,煤炭开采和洗选业外商及港澳台商投资工业企业流动资产合计,石油和天然气开采业外商及港澳台商投资工业企业流动资产合计,黑色金属矿采选业外商及港澳台商投资工业企业流动资产合计,有色金属矿采选业外商及港澳台商投资工业企业流动资产合计,非金属矿采选业外商及港澳台商投资工业企业流动资产合计,其他采矿业外商及港澳台商投资工业企业流动资产合计,农副食品加工业外商及港澳台商投资工业企业流动资产合计,食品制造业外商及港澳台商投资工业企业流动资产合计,饮料制造业外商及港澳台商投资工业企业流动资产合计,烟草制品业外商及港澳台商投资工业企业流动资产合计,纺织业外商及港澳台商投资工业企业流动资产合计,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业流动资产合计,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业流动资产合计,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业流动资产合计,家具制造业外商及港澳台商投资工业企业流动资产合计,造纸及纸制品业外商及港澳台商投资工业企业流动资产合计,印刷业和记录媒介的复制外商及港澳台商投资工业企业流动资产合计,文教体育用品制造业外商及港澳台商投资工业企业流动资产合计,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业流动资产合计,化学原料及化学制品制造业外商及港澳台商投资工业企业流动资产合计,医药制造业外商及港澳台商投资工业企业流动资产合计,化学纤维制造业外商及港澳台商投资工业企业流动资产合计,橡胶制品业外商及港澳台商投资工业企业流动资产合计,塑料制品业外商及港澳台商投资工业企业流动资产合计,非金属矿物制品业外商及港澳台商投资工业企业流动资产合计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业流动资产合计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业流动资产合计,金属制品业外商及港澳台商投资工业企业流动资产合计,通用设备制造业外商及港澳台商投资工业企业流动资产合计,专用设备制造业外商及港澳台商投资工业企业流动资产合计,交通运输设备制造业外商及港澳台商投资工业企业流动资产合计,电气机械及器材制造业外商及港澳台商投资工业企业流动资产合计,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业流动资产合计,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业流动资产合计,工艺品及其他制造业外商及港澳台商投资工业企业流动资产合计,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业流动资产合计,电力、热力的生产和供应业外商及港澳台商投资工业企业流动资产合计,燃气生产和供应业外商及港澳台商投资工业企业流动资产合计,水的生产和供应业外商及港澳台商投资工业企业流动资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,95334.64,931.45616,59.28527,110.38843,56.22688,51.41539,,3539.30899,1869.21262,1365.82846,5.37662,3003.60409,1997.4755,1409.69114,368.49579,706.3497,2157.39427,571.48086,636.67856,1209.85414,6306.62539,2050.29571,923.39217,878.50494,2247.1154,2593.18416,2819.00721,2016.21565,2584.93961,5562.92491,3919.63298,13212.20899,7432.12461,17538.18873,1706.03038,883.503,315.82717,1532.44465,531.00341,231.95031
2010,84328.64,430.2463,103.16022,87.74509,145.67819,42.88029,,3029.42078,1493.62123,1205.82765,4.83722,2829.14145,1849.42445,1333.54399,359.55677,685.85736,1874.71027,513.62455,641.09158,1104.35572,5337.86556,1741.13539,760.8469,778.85097,2139.35259,2188.1713,2607.21783,1678.99079,2392.1024,4947.05282,3525.77077,12243.80158,6696.42241,15109.3675,1483.26069,736.89507,209.22675,1384.05025,425.69992,207.83166
2009,69082.13,312.17396,82.50692,66.35419,131.14178,44.55244,,2384.27652,1278.89067,1015.76517,4.61589,2420.7807,1655.17277,1127.26911,330.2566,567.58887,1436.09253,473.01827,598.64189,836.29793,4086.12233,1462.06677,562.50858,718.15023,1755.66612,1844.45939,2074.2777,1403.88081,2048.2403,3893.89586,2685.1358,9208.44728,5340.64255,12439.95148,1496.37807,635.63877,163.94923,1250.21113,1075.76795,171.34492
2008,60340.18,240.31952,89.98795,51.2337,130.59992,47.46436,0.09202,1761.83502,1102.91099,1029.93379,4.82955,2277.59373,1608.62448,1048.86848,325.26754,553.40427,1387.07052,455.3418,611.84005,722.34873,3611.87469,1216.45581,533.56062,680.16772,1748.859,1773.95875,2004.29081,1170.84836,1999.49434,3591.14738,2401.70671,6715.00883,4661.73208,11341.7325,1124.31262,606.85434,113.4466,1165.27542,292.62317,137.26529
