年份,外商及港澳台商投资工业企业外商资本金,煤炭开采和洗选业外商及港澳台商投资工业企业外商资本金,石油和天然气开采业外商及港澳台商投资工业企业外商资本金,黑色金属矿采选业外商及港澳台商投资工业企业外商资本金,有色金属矿采选业外商及港澳台商投资工业企业外商资本金,非金属矿采选业外商及港澳台商投资工业企业外商资本金,其他采矿业外商及港澳台商投资工业企业外商资本金,农副食品加工业外商及港澳台商投资工业企业外商资本金,食品制造业外商及港澳台商投资工业企业外商资本金,饮料制造业外商及港澳台商投资工业企业外商资本金,烟草制品业外商及港澳台商投资工业企业外商资本金,纺织业外商及港澳台商投资工业企业外商资本金,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业外商资本金,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业外商资本金,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业外商资本金,家具制造业外商及港澳台商投资工业企业外商资本金,造纸及纸制品业外商及港澳台商投资工业企业外商资本金,印刷业和记录媒介的复制外商及港澳台商投资工业企业外商资本金,文教体育用品制造业外商及港澳台商投资工业企业外商资本金,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业外商资本金,化学原料及化学制品制造业外商及港澳台商投资工业企业外商资本金,医药制造业外商及港澳台商投资工业企业外商资本金,化学纤维制造业外商及港澳台商投资工业企业外商资本金,橡胶制品业外商及港澳台商投资工业企业外商资本金,塑料制品业外商及港澳台商投资工业企业外商资本金,非金属矿物制品业外商及港澳台商投资工业企业外商资本金,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业外商资本金,有色金属冶炼及压延加工业外商及港澳台商投资工业企业外商资本金,金属制品业外商及港澳台商投资工业企业外商资本金,通用设备制造业外商及港澳台商投资工业企业外商资本金,专用设备制造业外商及港澳台商投资工业企业外商资本金,交通运输设备制造业外商及港澳台商投资工业企业外商资本金,电气机械及器材制造业外商及港澳台商投资工业企业外商资本金,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业外商资本金,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业外商资本金,工艺品及其他制造业外商及港澳台商投资工业企业外商资本金,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业外商资本金,电力、热力的生产和供应业外商及港澳台商投资工业企业外商资本金,燃气生产和供应业外商及港澳台商投资工业企业外商资本金,水的生产和供应业外商及港澳台商投资工业企业外商资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,19106.39286,28.3365,2.46281,4.4228,7.48023,10.99078,,478.06154,459.18126,437.44907,,501.05453,237.74416,203.21724,71.64545,138.99783,771.11443,65.48997,138.97935,157.40492,2117.07972,423.26508,122.55945,381.05273,508.85662,641.04351,376.81049,286.16282,518.29019,1252.51681,762.23205,1975.6522,1329.2032,3632.72855,321.42251,107.37926,21.90033,329.03859,115.58716,169.57872
2010,18938.84636,24.15918,3.84808,2.67617,9.42546,14.11792,,434.66446,464.4989,443.00012,,583.50277,268.19786,205.0397,96.79447,164.24063,708.5652,90.49395,151.00063,153.40615,1987.55939,457.0548,127.97895,385.16989,529.74049,645.5112,364.32674,307.2323,522.52893,1153.21144,794.75457,1845.29507,1268.7313,3690.77674,302.74434,117.72988,19.5765,400.02472,87.68805,113.57941
2009,17682.75992,22.91692,2.38288,2.59587,18.17257,13.88189,,405.99599,410.5499,413.34442,,530.14639,269.7577,199.38562,93.45981,145.08535,547.0704,89.63158,151.1365,161.9265,1797.6955,382.82764,121.68161,334.17355,515.50914,630.41066,377.86647,266.26502,479.17228,1089.44214,828.30931,1773.88052,1220.05791,3302.66605,313.75215,120.15307,19.21092,422.22845,94.67099,115.34625
2008,16864.37411,25.9202,0.33086,3.90679,16.59979,14.26361,0.01328,382.69143,411.62684,393.34679,0.26219,510.93171,301.68909,210.99736,93.08388,136.2295,530.43416,71.58994,147.06348,156.52448,1531.08016,356.68343,132.46063,304.13883,524.25451,630.51902,373.02129,251.51345,496.86111,1019.65685,617.20825,1664.07711,1180.09239,3305.01203,297.41188,117.69171,17.25456,442.34053,83.07449,112.5165
