年份,外商及港澳台商投资工业企业财务费用,煤炭开采和洗选业外商及港澳台商投资工业企业财务费用,石油和天然气开采业外商及港澳台商投资工业企业财务费用,黑色金属矿采选业外商及港澳台商投资工业企业财务费用,有色金属矿采选业外商及港澳台商投资工业企业财务费用,非金属矿采选业外商及港澳台商投资工业企业财务费用,其他采矿业外商及港澳台商投资工业企业财务费用,农副食品加工业外商及港澳台商投资工业企业财务费用,食品制造业外商及港澳台商投资工业企业财务费用,饮料制造业外商及港澳台商投资工业企业财务费用,烟草制品业外商及港澳台商投资工业企业财务费用,纺织业外商及港澳台商投资工业企业财务费用,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业财务费用,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业财务费用,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业财务费用,家具制造业外商及港澳台商投资工业企业财务费用,造纸及纸制品业外商及港澳台商投资工业企业财务费用,印刷业和记录媒介的复制外商及港澳台商投资工业企业财务费用,文教体育用品制造业外商及港澳台商投资工业企业财务费用,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业财务费用,化学原料及化学制品制造业外商及港澳台商投资工业企业财务费用,医药制造业外商及港澳台商投资工业企业财务费用,化学纤维制造业外商及港澳台商投资工业企业财务费用,橡胶制品业外商及港澳台商投资工业企业财务费用,塑料制品业外商及港澳台商投资工业企业财务费用,非金属矿物制品业外商及港澳台商投资工业企业财务费用,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业财务费用,有色金属冶炼及压延加工业外商及港澳台商投资工业企业财务费用,金属制品业外商及港澳台商投资工业企业财务费用,通用设备制造业外商及港澳台商投资工业企业财务费用,专用设备制造业外商及港澳台商投资工业企业财务费用,交通运输设备制造业外商及港澳台商投资工业企业财务费用,电气机械及器材制造业外商及港澳台商投资工业企业财务费用,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业财务费用,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业财务费用,工艺品及其他制造业外商及港澳台商投资工业企业财务费用,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业财务费用,电力、热力的生产和供应业外商及港澳台商投资工业企业财务费用,燃气生产和供应业外商及港澳台商投资工业企业财务费用,水的生产和供应业外商及港澳台商投资工业企业财务费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1164.49443,12.51243,5.54934,0.69134,1.04078,2.10957,,34.29079,9.47696,10.40555,-0.04695,72.09871,31.74943,24.13407,9.69049,10.65549,51.12743,5.91956,8.10592,38.55866,110.60096,26.21658,27.416,18.577,35.75427,66.79654,94.42494,71.99349,38.64675,47.69217,35.92141,-3.73114,126.25395,-40.36948,8.83202,15.42776,3.73861,129.87705,8.17948,14.1765
2010,1137.01531,10.08393,2.78966,0.75049,3.05589,1.5895,,40.39227,13.81039,11.12198,-0.01754,61.27334,31.81479,21.12178,8.5553,9.64106,47.37533,5.55183,9.8306,34.31996,90.87273,22.72695,21.56028,18.47318,33.30696,49.93472,71.05054,50.66964,36.69492,47.37884,31.52939,36.57031,102.90478,48.95504,8.38196,13.58828,3.79127,115.10568,6.74785,13.71143
2009,1145.35251,8.90146,2.98242,0.56406,2.62577,1.41273,,45.23272,18.85581,19.92793,-0.05296,55.45279,26.59863,17.41775,9.19151,9.88805,53.4684,5.1983,9.99841,27.88351,99.71273,25.19609,18.21839,23.16383,28.4101,46.86006,59.97506,42.16879,34.18676,43.44534,24.22316,68.5731,60.10882,95.20839,7.64896,11.25965,3.54488,114.78108,7.2052,15.91483
2008,1033.82481,5.91497,3.80771,0.66053,1.47459,1.58346,0.00669,42.63083,15.03609,11.444,-0.02881,56.05671,30.29183,16.52169,9.7469,8.69535,42.04403,5.81648,8.94438,31.40613,79.65639,22.72255,23.4711,23.67987,31.76997,52.01451,63.74545,39.27542,36.30017,43.48539,29.4364,14.50943,86.31599,44.10285,4.98651,12.25969,3.04032,113.89649,6.70286,10.39989
