年份,外商及港澳台商投资工业企业产成品,煤炭开采和洗选业外商及港澳台商投资工业企业产成品,石油和天然气开采业外商及港澳台商投资工业企业产成品,黑色金属矿采选业外商及港澳台商投资工业企业产成品,有色金属矿采选业外商及港澳台商投资工业企业产成品,非金属矿采选业外商及港澳台商投资工业企业产成品,其他采矿业外商及港澳台商投资工业企业产成品,农副食品加工业外商及港澳台商投资工业企业产成品,食品制造业外商及港澳台商投资工业企业产成品,饮料制造业外商及港澳台商投资工业企业产成品,烟草制品业外商及港澳台商投资工业企业产成品,纺织业外商及港澳台商投资工业企业产成品,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业产成品,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业产成品,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业产成品,家具制造业外商及港澳台商投资工业企业产成品,造纸及纸制品业外商及港澳台商投资工业企业产成品,印刷业和记录媒介的复制外商及港澳台商投资工业企业产成品,文教体育用品制造业外商及港澳台商投资工业企业产成品,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业产成品,化学原料及化学制品制造业外商及港澳台商投资工业企业产成品,医药制造业外商及港澳台商投资工业企业产成品,化学纤维制造业外商及港澳台商投资工业企业产成品,橡胶制品业外商及港澳台商投资工业企业产成品,塑料制品业外商及港澳台商投资工业企业产成品,非金属矿物制品业外商及港澳台商投资工业企业产成品,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业产成品,有色金属冶炼及压延加工业外商及港澳台商投资工业企业产成品,金属制品业外商及港澳台商投资工业企业产成品,通用设备制造业外商及港澳台商投资工业企业产成品,专用设备制造业外商及港澳台商投资工业企业产成品,交通运输设备制造业外商及港澳台商投资工业企业产成品,电气机械及器材制造业外商及港澳台商投资工业企业产成品,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业产成品,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业产成品,工艺品及其他制造业外商及港澳台商投资工业企业产成品,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业产成品,电力、热力的生产和供应业外商及港澳台商投资工业企业产成品,燃气生产和供应业外商及港澳台商投资工业企业产成品,水的生产和供应业外商及港澳台商投资工业企业产成品
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,7973.65956,56.14054,5.41429,6.78983,2.2923,3.54461,,403.30315,177.43072,135.28907,0.04887,362.56167,281.86849,129.56095,49.89567,68.41444,144.78916,46.7393,71.52424,115.48745,581.25966,215.91135,97.79961,129.76485,210.71641,262.65879,247.52484,152.83516,237.41851,476.12288,436.03216,841.03141,617.63018,1068.10092,118.55851,135.37017,65.31812,10.01911,8.16381,0.32836
2010,6588.14993,50.62679,5.41091,5.87572,6.99252,4.36891,,319.44339,139.43926,100.91656,0.11297,305.07878,237.05915,114.29343,49.29864,63.83427,128.6849,44.43661,60.47729,99.64423,470.50328,169.34671,72.94193,109.31323,191.10755,210.90934,206.98631,117.09324,223.78492,395.26523,316.52201,737.04832,528.97923,874.90776,97.81199,84.76889,33.39913,3.17692,8.2006,0.08901
2009,5634.62393,4.24972,2.08713,2.55589,9.36902,4.78013,,284.2,139.37108,98.7197,0.04531,278.06552,216.87115,104.24291,54.2732,59.73255,123.04435,35.51828,56.49654,89.55472,393.77185,150.75689,58.98455,96.19919,165.35607,202.2049,194.01809,104.01309,197.96758,338.90757,250.34603,577.78032,426.90421,698.36152,83.05245,86.08967,36.03485,3.38207,7.07652,0.23931
2008,5782.24371,6.59834,4.61177,4.63698,6.6608,3.96469,,254.4047,129.87221,101.8174,0.04179,293.16312,187.60309,98.578,46.04268,59.83064,148.6994,36.98884,61.44694,86.14028,417.50963,133.34756,67.35394,110.2424,174.81321,214.73807,242.08128,135.0229,184.78459,360.35401,256.16459,617.54551,424.10646,706.29692,82.29876,75.78748,42.97711,2.46096,3.12986,0.1268
2007,4862.8535,4.4015,0.03453,1.90597,2.3866,4.55244,,245.99732,107.64006,93.24271,0.6077,280.50578,154.80051,96.58514,43.26064,51.44936,103.47463,33.14024,55.80713,80.24568,354.81918,106.57533,66.89605,72.44028,169.15638,157.81578,176.69678,91.92569,166.68525,261.6273,176.11325,448.9545,401.14464,686.69952,81.15234,66.78005,13.2908,1.808,1.95526,0.27918
