年份,外商及港澳台商投资工业企业固定资产合计,煤炭开采和洗选业外商及港澳台商投资工业企业固定资产合计,石油和天然气开采业外商及港澳台商投资工业企业固定资产合计,黑色金属矿采选业外商及港澳台商投资工业企业固定资产合计,有色金属矿采选业外商及港澳台商投资工业企业固定资产合计,非金属矿采选业外商及港澳台商投资工业企业固定资产合计,其他采矿业外商及港澳台商投资工业企业固定资产合计,农副食品加工业外商及港澳台商投资工业企业固定资产合计,食品制造业外商及港澳台商投资工业企业固定资产合计,饮料制造业外商及港澳台商投资工业企业固定资产合计,烟草制品业外商及港澳台商投资工业企业固定资产合计,纺织业外商及港澳台商投资工业企业固定资产合计,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业固定资产合计,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业固定资产合计,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业固定资产合计,家具制造业外商及港澳台商投资工业企业固定资产合计,造纸及纸制品业外商及港澳台商投资工业企业固定资产合计,印刷业和记录媒介的复制外商及港澳台商投资工业企业固定资产合计,文教体育用品制造业外商及港澳台商投资工业企业固定资产合计,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业固定资产合计,化学原料及化学制品制造业外商及港澳台商投资工业企业固定资产合计,医药制造业外商及港澳台商投资工业企业固定资产合计,化学纤维制造业外商及港澳台商投资工业企业固定资产合计,橡胶制品业外商及港澳台商投资工业企业固定资产合计,塑料制品业外商及港澳台商投资工业企业固定资产合计,非金属矿物制品业外商及港澳台商投资工业企业固定资产合计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业固定资产合计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业固定资产合计,金属制品业外商及港澳台商投资工业企业固定资产合计,通用设备制造业外商及港澳台商投资工业企业固定资产合计,专用设备制造业外商及港澳台商投资工业企业固定资产合计,交通运输设备制造业外商及港澳台商投资工业企业固定资产合计,电气机械及器材制造业外商及港澳台商投资工业企业固定资产合计,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业固定资产合计,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业固定资产合计,工艺品及其他制造业外商及港澳台商投资工业企业固定资产合计,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业固定资产合计,电力、热力的生产和供应业外商及港澳台商投资工业企业固定资产合计,燃气生产和供应业外商及港澳台商投资工业企业固定资产合计,水的生产和供应业外商及港澳台商投资工业企业固定资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,51234.22871,433.66009,639.47897,59.87979,45.97181,50.28563,,1438.3783,1013.07916,1119.46008,3.25781,1626.26722,745.89944,504.03182,204.75646,287.03167,1859.55234,277.50004,289.45434,987.0219,5155.74152,977.31555,641.09253,746.74905,1107.56407,2508.06818,2091.02569,1366.51396,1143.4935,2101.13212,1250.99872,5187.59689,2587.82035,6686.20205,461.44266,271.64218,57.03074,4193.10111,623.60425,491.12672
2010,51558.65928,390.66864,505.49632,47.06096,102.67898,49.89413,,1342.58724,913.88006,1034.62042,3.28354,1707.64524,783.29063,498.92293,213.09602,296.95323,1789.39035,324.32108,297.76246,1005.43333,4660.92917,897.55009,556.7158,724.98618,1154.58346,2311.5503,2148.44674,1296.53785,1267.12812,1974.98251,1299.96722,4743.12956,2516.82734,8630.01046,453.11099,289.44884,43.0672,4296.81118,533.44882,452.44189
2009,44513.13015,249.10882,431.5752,29.24859,102.17062,57.689,,1206.68453,878.85324,934.18555,3.49147,1578.74143,772.74974,431.94064,208.14332,275.08925,1624.44876,299.18782,305.741,1003.2564,3911.2869,801.34909,532.39389,709.33751,1098.18649,2015.62186,1912.43146,1071.33996,1112.566,1669.68968,1085.26563,4343.0695,2168.25219,5866.74693,413.48182,288.95844,48.363,4140.67394,499.09133,432.71915
2008,41788.32614,177.92031,369.15403,36.07453,102.70978,63.9039,0.09498,1010.93752,764.13359,981.06005,4.46651,1616.75713,781.92548,444.85614,218.67986,275.69765,1613.38329,309.4209,300.73406,647.41146,3494.44444,692.15849,561.81613,724.14954,1091.21233,1944.34279,1709.34234,865.32229,1034.41625,1535.98294,1024.4143,4072.61393,1931.30081,6212.28442,417.64728,294.98484,36.44068,3640.936,439.40598,345.78919
