年份,外商及港澳台商投资工业企业销售费用,煤炭开采和洗选业外商及港澳台商投资工业企业销售费用,石油和天然气开采业外商及港澳台商投资工业企业销售费用,黑色金属矿采选业外商及港澳台商投资工业企业销售费用,有色金属矿采选业外商及港澳台商投资工业企业销售费用,非金属矿采选业外商及港澳台商投资工业企业销售费用,其他采矿业外商及港澳台商投资工业企业销售费用,农副食品加工业外商及港澳台商投资工业企业销售费用,食品制造业外商及港澳台商投资工业企业销售费用,饮料制造业外商及港澳台商投资工业企业销售费用,烟草制品业外商及港澳台商投资工业企业销售费用,纺织业外商及港澳台商投资工业企业销售费用,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业销售费用,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业销售费用,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业销售费用,家具制造业外商及港澳台商投资工业企业销售费用,造纸及纸制品业外商及港澳台商投资工业企业销售费用,印刷业和记录媒介的复制外商及港澳台商投资工业企业销售费用,文教体育用品制造业外商及港澳台商投资工业企业销售费用,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业销售费用,化学原料及化学制品制造业外商及港澳台商投资工业企业销售费用,医药制造业外商及港澳台商投资工业企业销售费用,化学纤维制造业外商及港澳台商投资工业企业销售费用,橡胶制品业外商及港澳台商投资工业企业销售费用,塑料制品业外商及港澳台商投资工业企业销售费用,非金属矿物制品业外商及港澳台商投资工业企业销售费用,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业销售费用,有色金属冶炼及压延加工业外商及港澳台商投资工业企业销售费用,金属制品业外商及港澳台商投资工业企业销售费用,通用设备制造业外商及港澳台商投资工业企业销售费用,专用设备制造业外商及港澳台商投资工业企业销售费用,交通运输设备制造业外商及港澳台商投资工业企业销售费用,电气机械及器材制造业外商及港澳台商投资工业企业销售费用,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业销售费用,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业销售费用,工艺品及其他制造业外商及港澳台商投资工业企业销售费用,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业销售费用,电力、热力的生产和供应业外商及港澳台商投资工业企业销售费用,燃气生产和供应业外商及港澳台商投资工业企业销售费用,水的生产和供应业外商及港澳台商投资工业企业销售费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,6859.42761,29.14424,3.17075,3.38213,1.01814,11.11357,,239.46815,557.73271,436.75354,0.07882,119.1145,203.55022,109.94171,29.68966,50.06576,125.72957,23.85961,34.07235,50.27599,800.16083,577.73731,18.96606,66.70868,358.42551,173.12681,51.61844,40.79639,129.64472,287.62544,202.25879,808.54166,449.35028,676.93438,97.50962,48.28032,3.60819,4.49178,28.05769,7.42329
2010,5948.14044,21.60896,1.11974,2.70606,2.54639,10.66605,,214.42203,459.26752,395.18334,0.07323,113.45485,184.33203,91.42893,26.99156,46.22651,122.35968,22.12156,34.20624,44.59515,717.16031,500.25927,17.47845,61.31321,106.84666,158.62765,53.13445,38.85593,122.9577,266.37481,189.89554,730.94292,428.60173,592.7432,81.68143,50.25656,4.13232,5.63829,21.39281,6.53737
2009,4965.81162,12.118,0.93497,2.02885,2.8277,11.31565,,157.32227,412.29345,347.98556,0.07054,91.53068,152.55964,67.32714,24.47391,38.03736,98.40662,19.57836,28.5714,38.40876,603.02055,395.20389,14.07272,54.87546,89.20086,121.12255,44.7806,31.07795,97.4066,205.6663,138.41163,599.22305,347.3852,578.09312,69.85485,38.12482,2.46734,2.97222,21.63996,5.42109
2008,4858.69142,12.48769,1.23358,2.24743,3.35832,13.76211,0.00995,147.10888,357.50767,320.3786,0.22561,86.38675,145.15469,65.36106,25.53657,40.35791,84.21287,20.82058,30.69547,54.42121,559.46663,327.60359,12.31026,51.57835,87.88011,129.5426,55.81546,33.58913,109.15126,212.60835,143.22937,518.29553,342.45514,723.80902,73.89934,39.74136,3.12692,3.32492,15.09788,4.89925
